"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"9/4/2020 20:38:26","60.44","4.84","0","9.79","75.07","credit_card","pickup"
"9/21/2020 14:31:51","26.78","2.14","0","1.08","30","credit_card","pickup"
"Total","87.22","6.98","0","10.87","105.07","",""
"","","","","","","",""
"All Orders","105.07","","(all orders including cash and credit card paid orders)","","","",""
"Pre-Paid Orders","105.07","","(orders where the customer paid with a credit card online)","","","",""
"MenuStar Fees","10.73","","(includes credit card processing fee)","","","",""
"Adjustments","0","","(credits/debts posted to your account)","","","",""
"Net Payout","94.34","","(amount will be paid in your account in 3-4 days)","","","",""
