"Delivery Date","Order #",Name,Location,"Food Total",Period,"Check Date"
09/10/2020,1023876,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",17.99,20,10/02/2020
09/10/2020,1029969,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",17.99,20,10/02/2020
09/10/2020,1029933,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",18.24,20,10/02/2020
09/10/2020,1025496,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",17.99,20,10/02/2020
09/10/2020,1025166,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",17.99,20,10/02/2020
09/10/2020,1025165,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",14.74,20,10/02/2020
09/10/2020,1025154,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",14.74,20,10/02/2020
09/10/2020,1025090,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",17.99,20,10/02/2020
09/10/2020,1024907,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",14.74,20,10/02/2020
09/10/2020,1024601,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",17.99,20,10/02/2020
09/10/2020,1024580,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",14.74,20,10/02/2020
09/10/2020,1024571,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",14.74,20,10/02/2020
09/10/2020,1024546,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",17.99,20,10/02/2020
09/10/2020,1024293,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",17.99,20,10/02/2020
09/10/2020,1024065,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",17.99,20,10/02/2020
09/10/2020,1024055,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",12.99,20,10/02/2020
09/10/2020,1024040,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",14.74,20,10/02/2020
09/10/2020,1023909,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",17.99,20,10/02/2020
09/10/2020,1023530,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",25.24,20,10/02/2020
09/10/2020,1030601,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",15.98,20,10/02/2020
