Store Name,Store ID,Order ID,Dining Mode,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Promo Spend on Delivery,Tax on Promo Spend on Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-0.84,0,0,-0.84,9/8/20
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,0.84,0,0,0.84,9/8/20
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-13.41,0,0,-13.41,9/14/20
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-7.77,0,0,-7.77,9/14/20
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-5.12,0,0,-5.12,9/14/20
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-4.4,0,0,-4.4,9/14/20
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-4.28,0,0,-4.28,9/14/20
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-3.15,0,0,-3.15,9/14/20
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,3.15,0,0,3.15,9/14/20
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,4.28,0,0,4.28,9/14/20
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,4.4,0,0,4.4,9/14/20
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,5.12,0,0,5.12,9/14/20
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,7.77,0,0,7.77,9/14/20
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,13.41,0,0,13.41,9/14/20
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-12.74,0,0,-12.74,9/21/20
