"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","DOORDASH_ORDER_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_AMOUNT","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE"
"05:16:00","2020-10-07","22:16:00","2020-10-06","2020-10-12 07:39:27.048319000","2020-10-12",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","f6ca6b72-f3e8-4ed8-873c-62dbbf6a8f17","=""bf6a8f17""","NULL","NULL","Order Received Time: 2020-10-07 03:59:43.451090000
Order Pickup Time: 2020-10-07 05:16:00.804721000","Picked Up","USD",26.20,2.03,3.93,0.00,0.00,24.30,0.00,"1245574922",0.00,0.00
"04:53:16","2020-10-06","21:53:16","2020-10-05","2020-10-09 07:35:23.913887000","2020-10-09",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","add6f423-d8ec-43bb-9041-5acd21966952","=""21966952""","NULL","NULL","Order Received Time: 2020-10-06 03:35:33.750153000
Order Pickup Time: 2020-10-06 04:53:16.578747000","Picked Up","USD",34.22,2.65,5.13,0.00,0.00,31.74,0.00,"1241982451",0.00,0.00
"04:44:16","2020-10-08","21:44:16","2020-10-07","2020-10-12 07:39:27.048319000","2020-10-12",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","b8d324a2-e29e-4a2f-8c4a-6ba61ca10e4b","=""1ca10e4b""","NULL","NULL","Order Received Time: 2020-10-08 03:22:16.700551000
Order Pickup Time: 2020-10-08 04:44:16.386735000","Picked Up","USD",49.96,3.87,7.49,0.00,0.00,46.34,0.00,"1249253609",0.00,0.00
"04:37:48","2020-10-11","21:37:48","2020-10-10","2020-10-14 08:28:48.619593000","2020-10-14",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","90df413e-64fb-4b16-90f5-4f1f8a21bc5b","=""8a21bc5b""","NULL","NULL","Order Received Time: 2020-10-11 03:48:32.784919000
Order Pickup Time: 2020-10-11 04:37:48.972272000","Delivered","USD",16.99,1.32,2.55,0.00,0.99,14.77,0.00,"1261928822",0.00,0.00
"04:21:48","2020-10-16","21:21:48","2020-10-15","2020-10-19 07:35:15.487266000","2020-10-19",486867,223895,"Aroma Pizza & Pasta","NULL","ERROR_CHARGE","125763735","=""e1f88fff""","NULL","NULL","Issue: 1 Create Your Own Pasta food quality
1 Combo Calzone food quality
1 Tiramisu food quality
1 Aloe Vera Water food quality
1 Soda (6 Pack) food quality
Customer Explanation: Hi Seth,

Thank you for contacting our support team. We sincerely apologize for the issue with your order and have processed $8.89 back to your original payment method.

We've also credited your account $48.76 for the inconvenience. These credits are available immediately and will automatically be applied towards your next order.

Note: Due to differences in bank processing times, your refund timeline may vary. Pending charges will be removed from your statement or updated to reflect the final charge within three business days. Charges already processed will be refunded to your original payment method within five to seven business days.

If you have any questions or need help, our support teams are available at the links below!

Best regards,
DoorDash and Caviar Support
help.doordash.com / help.trycaviar.com

*Please do not reply to this email. Replies are not delivered to sender.","Delivered","USD",38.90,0.00,0.00,0.00,0.00,0.00,38.90,"1280493001",0.00,0.00
"04:20:50","2020-10-18","21:20:50","2020-10-17","2020-10-21 08:23:05.410017000","2020-10-21",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","3b50f2d6-ea9e-4b36-9a28-cb919ce14337","=""9ce14337""","NULL","NULL","Order Received Time: 2020-10-18 03:57:37.181987000
Order Pickup Time: 2020-10-18 04:20:50.164241000","Delivered","USD",75.68,5.87,11.35,0.00,0.00,70.20,0.00,"1289415293",0.00,0.00
"04:17:36","2020-10-10","21:17:36","2020-10-09","2020-10-13 07:37:10.529244000","2020-10-13",486867,223895,"Aroma Pizza & Pasta","NULL","ERROR_CHARGE","123968429","=""558ec146""","NULL","NULL","Issue: 1 Tiramisu food quality
1 Cheesecake food quality
Customer Explanation: Hi Cooper,

Thank you for contacting our support team. We sincerely apologize for the issue with your order.

We have issued credits to your account in the amount of $10.14 for the inconvenience.

These credits are available immediately and will automatically be applied towards your next order.

If you have any questions or need help, our support teams are available at the links below!

Best regards,
DoorDash and Caviar Support
help.doordash.com / help.trycaviar.com

*Please do not reply to this email. Replies are not delivered to sender.","Delivered","USD",8.34,0.00,0.00,0.00,0.00,0.00,8.34,"1257755514",0.00,0.00
"04:15:39","2020-10-25","21:15:39","2020-10-24","2020-10-28 07:36:17.045193000","2020-10-28",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","65efbacf-5026-4f2c-9762-93add436423d","=""d436423d""","NULL","NULL","Order Received Time: 2020-10-25 03:49:58.508542000
Order Pickup Time: 2020-10-25 04:15:39.388347000","Delivered","USD",26.96,2.09,4.04,0.00,0.00,25.01,0.00,"1317724801",0.00,0.00
"04:15:26","2020-10-25","21:15:26","2020-10-24","2020-10-28 07:36:17.045193000","2020-10-28",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","0634aab1-9d2f-4b8d-9ee7-8da488b85458","=""88b85458""","NULL","NULL","Order Received Time: 2020-10-25 03:00:44.031668000
Order Pickup Time: 2020-10-25 04:15:26.324937000","Picked Up","USD",16.73,1.30,2.51,0.00,0.00,15.52,0.00,"1317724303",0.00,0.00
"04:14:00","2020-10-30","21:14:00","2020-10-29","2020-11-02 08:36:13.050258000","2020-11-02",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","3e5f92c6-66d5-4232-ad00-55d56ce9eb59","=""6ce9eb59""","NULL","NULL","Order Received Time: 2020-10-30 03:52:08.988717000
Order Pickup Time: 2020-10-30 04:14:00.266039000","Delivered","USD",30.21,2.34,4.53,0.00,0.99,27.03,0.00,"1337293507",0.00,0.00
