"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-428112987321493","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/2/20","6:51 PM","26.98","0","6.99","2.63","7.32","43.92","-8.49","0","-1.64","0","0"
"T-AwAAD06iC05oUAWmEeuT_0uKKlimGQ","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","Adjustment created:44091298-7191048 .BM.","10/3/20","11:27 AM","0","0","0.00","0.00","0","4.99","0","0","0","0","0"
"O-647413012165857","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/5/20","6:01 PM","34.06","0","1.99","2.79","5.82","44.66","-9.01","0","-1.66","0","0"
"O-871613193256064","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/24/20","4:47 PM","35.98","0","4.99","3.18","6.62","50.77","-10.24","0","-1.85","0","0"
"O-036612987963346","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/3/20","2:33 PM","72.44","0","1.99","5.45","5.00","84.88","-18.61","0","-2.77","0","-4.00"
"O-770912995603953","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/3/20","5:27 PM","14.73","0","0.00","1.14","2.38","18.25","-3.68","0","-0.86","0","0"
"O-591513185022444","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/22/20","7:08 PM","19.98","0","6.99","2.09","4.35","33.41","-6.74","0","-1.32","0","0"
"O-064613066394965","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/10/20","9:41 PM","41.53","0","6.99","3.76","10.46","62.74","-12.13","0","-2.21","0","0"
"O-323913139841270","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/17/20","6:48 PM","21.97","0","0.00","1.70","3.55","27.22","-5.49","0","-1.13","0","0"
"O-915613097588601","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/14/20","5:41 PM","17.99","0","6.99","1.93","0","26.91","-6.25","0","-1.12","0","0"
"O-311913054499488","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/9/20","7:14 PM","18.74","0","4.99","1.84","3.84","29.41","-5.93","0","-1.20","0","0"
"O-718513206808907","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/24/20","6:21 PM","30.96","0","6.99","2.63","0","40.58","-9.49","0","-1.42","0","-4.00"
"O-382213167463707","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/20/20","8:43 PM","26.32","0","1.99","2.19","6.10","36.60","-7.08","0","-1.42","0","0"
"O-342513036793054","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/7/20","5:45 PM","41.44","0","0.00","3.21","0","44.65","-10.36","0","-1.66","0","0"
"O-045812989848609","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/3/20","3:05 PM","20.98","0","4.99","1.71","2.77","30.45","-6.49","0","-1.11","0","-4.00"
"O-972013132885935","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/17/20","9:02 PM","27.98","0","4.99","2.25","1.00","36.22","-8.24","0","-1.28","0","-4.00"
"O-042713158927058","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/19/20","6:35 PM","36.71","0","4.99","3.24","5.00","49.94","-10.43","0","-1.82","0","0"
"O-462913188662935","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/22/20","6:52 PM","23.73","0","4.99","2.23","4.64","35.59","-7.18","0","-1.39","0","0"
"O-259813077528636","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/11/20","7:29 PM","25.97","0","4.99","2.09","4.96","38.01","-7.74","0","-1.34","0","-4.00"
"O-306513074122133","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/11/20","7:44 PM","28.97","0","4.99","2.64","6.17","42.77","-8.49","0","-1.60","0","0"
"O-865112990611633","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/4/20","12:48 PM","19.74","0","1.99","1.68","4.68","28.09","-5.43","0","-1.16","0","0"
"O-899513144488875","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/19/20","5:00 PM","24.73","0","6.99","2.15","6.77","40.64","-7.93","0","-1.42","0","-4.00"
"O-828113203941875","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/24/20","5:59 PM","76.78","0","1.99","6.10","5.00","89.87","-19.69","0","-3.04","0","0"
"O-948313106887434","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/14/20","9:43 PM","38.32","0","6.99","3.51","7.32","56.14","-11.33","0","-2.01","0","0"
"O-911313000112019","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/4/20","6:02 PM","19.17","0","8.99","2.19","3.04","33.39","-7.04","0","-1.32","0","0"
"O-654413260945167","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/30/20","8:37 PM","56.69","0","6.99","4.62","13.66","81.96","-15.92","0","-2.68","0","-4.00"
"O-347213162641255","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/21/20","11:45 AM","17.99","0","1.99","1.23","3.78","24.99","-5.00","0","-0.94","0","-4.00"
"O-718113253346170","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/30/20","12:23 PM","13.99","0","0.00","1.08","1.51","16.58","-3.50","0","-0.81","0","0"
"O-134013142108645","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/18/20","6:40 PM","34.14","0","1.99","2.80","5.84","44.77","-9.03","0","-1.67","0","0"
"O-593313085680024","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/12/20","5:21 PM","40.96","0","0.00","3.17","0","44.13","-10.24","0","-1.65","0","0"
"O-826413245465819","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/29/20","1:00 PM","10.23","0","0.00","0.79","1.10","12.12","-2.56","0","-0.67","0","0"
"O-036612977907702","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/1/20","7:07 PM","27.15","0","0.00","2.10","0","29.25","-6.79","0","-1.19","0","0"
"O-502713102057384","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/15/20","5:11 PM","19.74","0","1.99","1.68","3.51","26.92","-5.43","0","-1.12","0","0"
"O-718113263342098","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/30/20","9:51 PM","22.98","0","8.99","2.48","6.89","41.34","-7.99","0","-1.56","0","0"
"O-786012994663994","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/4/20","5:34 PM","23.24","0","2.99","2.03","4.24","32.50","-6.56","0","-1.29","0","0"
"O-386513172805271","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/21/20","9:18 PM","19.27","0","0.00","1.49","0","20.76","-4.82","0","-0.93","0","0"
"O-654413260962403","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/30/20","7:49 PM","49.97","0","6.99","4.41","10.66","72.03","-14.24","0","-2.50","0","0"
"T-AwAAD06id0FmIAT3Eeuravfh7LJbJQ","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","GH Credit for Smart Promotions","10/2/20","2:37 PM","0","0","0.00","0.00","0","140.00","0","0","0","0","0"
"O-703113050348351","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/10/20","12:15 PM","66.91","0","8.99","5.58","5.00","86.48","-18.98","0","-2.82","0","-4.00"
"O-492412997102862","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/3/20","7:21 PM","50.11","0","1.99","4.03","8.42","64.55","-13.03","0","-2.27","0","0"
"O-251013155004203","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/20/20","1:03 PM","12.58","0","0.00","0.97","2.02","15.57","-3.15","0","-0.77","0","0"
"O-212512993852311","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/4/20","3:33 PM","33.48","0","4.99","2.67","5.00","46.14","-9.62","0","-1.59","0","-4.00"
"O-113813043099206","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/8/20","6:08 PM","16.57","0","6.99","1.82","2.54","27.92","-5.89","0","-1.15","0","0"
"O-841113261823461","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/31/20","5:29 PM","18.57","0","6.99","1.98","2.75","30.29","-6.39","0","-1.22","0","0"
"T-AwAAD06ih2Y2UAWZEeuuNWEAjFr9Qg","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","44091298-7191048 AM","10/3/20","9:57 AM","0","0","0.00","0.00","0","15.48","0","0","0","0","0"
"O-882513177010169","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/21/20","5:37 PM","34.97","0","0.00","2.71","0","37.68","-8.74","0","-1.45","0","0"
"O-656213124017105","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/16/20","6:35 PM","34.64","0","2.99","2.91","6.08","46.62","-9.41","0","-1.72","0","0"
"O-324313208769426","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/25/20","5:10 PM","12.48","0","0.00","0.97","0","13.45","-3.12","0","-0.71","0","0"
"O-259813077528636","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-259813077528636","Change of Plans","10/11/20","7:29 PM","-25.97","0","-4.99","-2.09","-4.96","-38.01","7.74","0","1.34","0","4.00"
"O-323913119859507","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/16/20","2:44 PM","17.06","0","0.00","1.32","1.00","19.38","-4.27","0","-0.89","0","0"
"O-992113094148087","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/14/20","1:07 PM","10.99","0","0.00","0.85","0","11.84","-2.75","0","-0.66","0","0"
"O-218813033637652","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/8/20","6:00 PM","27.48","0","0.00","2.13","4.44","34.05","-6.87","0","-1.34","0","0"
"O-654413270968904","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/31/20","8:51 PM","19.97","0","6.99","2.09","5.81","34.86","-6.74","0","-1.36","0","0"
"O-500113025256822","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/7/20","3:45 PM","30.95","0","6.99","2.63","4.88","45.45","-9.49","0","-1.56","0","-4.00"
"O-307513025489788","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/6/20","9:04 PM","49.71","0","0.00","3.85","0","53.56","-12.43","0","-1.93","0","0"
"O-662513114344171","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/16/20","11:54 AM","13.98","0","0.00","0.77","1.48","16.23","-3.50","0","-0.67","0","-4.00"
"O-510813125218966","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/16/20","8:21 PM","16.98","0","2.99","1.24","0","21.21","-4.99","0","-0.82","0","-4.00"
"O-791813077655563","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/11/20","7:42 PM","27.98","0","4.99","2.25","2.00","37.22","-8.24","0","-1.31","0","-4.00"
"O-024613207605096","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/24/20","6:53 PM","20.76","0","2.99","1.84","2.56","28.15","-5.94","0","-1.16","0","0"
"O-565713213558465","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/26/20","12:18 PM","47.38","0","8.99","4.37","9.11","69.85","-14.09","0","-2.43","0","0"
"O-356813053454291","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/9/20","6:22 PM","24.96","0","8.99","2.63","3.66","40.24","-8.49","0","-1.53","0","0"
