Store Name,Store ID,Order ID,Dining Mode,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Promo Spend on Delivery,Tax on Promo Spend on Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,9.68,0,0,9.68,
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-3.4,0,0,-3.4,2020-10-05
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-1.18,0,0,-1.18,2020-10-05
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-0.63,0,0,-0.63,2020-10-05
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,0.63,0,0,0.63,2020-10-05
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,1.18,0,0,1.18,2020-10-05
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,3.4,0,0,3.4,2020-10-05
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-1.82,0,0,-1.82,2020-10-12
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Credits,1.6,0,0,1.6,2020-10-12
Aroma Pizza,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,29.75,0,0,29.75,2020-10-26
Aroma Pizza,,#45007,Delivery - Partner Using Uber App,Completed,2020-10-02,18:14,17.99,1.39,19.38,0,0,0,0,0,0,0,0,19.38,-5.4,0,0,0,0,0,,0,0,0,13.98,2020-10-05
Aroma Pizza,,#38B14,Delivery - Partner Using Uber App,Completed,2020-10-02,18:49,21.99,1.7,23.69,0,0,0,0,0,0,0,0,23.69,-6.6,0,0,0,0,0,,0,0,0,17.09,2020-10-05
