"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","DOORDASH_ORDER_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_AMOUNT","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE"
"07:09:05","2020-11-17","23:09:05","2020-11-16","2020-11-20 08:35:44.146924000","2020-11-20",486867,223895,"Aroma Pizza & Pasta","NULL","STORE_PAYMENT","137245320","=""02ebd98f""","NULL","NULL","merchant_payment_adjustment","Delivered","USD",6.38,0.00,0.00,0.00,0.00,6.38,0.00,"1414824292",0.00,0.00
"07:08:49","2020-11-17","23:08:49","2020-11-16","2020-11-20 08:35:44.146924000","2020-11-20",486867,223895,"Aroma Pizza & Pasta","NULL","STORE_PAYMENT","137245298","=""4d126e34""","NULL","NULL","merchant_payment_adjustment","Delivered","USD",4.52,0.00,0.00,0.00,0.00,4.52,0.00,"1414824046",0.00,0.00
"06:43:02","2020-11-19","22:43:02","2020-11-18","2020-11-23 08:37:53.230224000","2020-11-23",486867,223895,"Aroma Pizza & Pasta","NULL","ERROR_CHARGE","137866550","=""4360c09a""","NULL","NULL","Issue: 1 Ricotta Heaven Pizza incorrect
Customer Explanation: Hi Jessica,

Thank you for contacting our support team. We sincerely apologize for the issue with your order.

We have issued credits to your account in the amount of $48.16 for the inconvenience.

These credits are available immediately and will automatically be applied towards your next order.

If you have any questions or need help, our support teams are available at the links below!

Best regards,
DoorDash and Caviar Support
help.doordash.com / help.trycaviar.com

*Please do not reply to this email. Replies are not delivered to sender.","Delivered","USD",10.43,0.00,0.00,0.00,0.00,0.00,10.43,"1422833607",0.00,0.00
"05:58:38","2020-11-10","21:58:38","2020-11-09","2020-11-13 08:36:11.307499000","2020-11-13",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","9a2f3820-d7fd-40e7-9572-c2dc52162fe3","=""52162fe3""","NULL","NULL","Order Received Time: 2020-11-10 04:43:16.106973000
Order Pickup Time: 2020-11-10 05:58:38.290980000","Picked Up","USD",18.73,1.45,2.81,0.00,0.00,17.37,0.00,"1384716288",0.00,0.00
"05:31:32","2020-11-22","21:31:32","2020-11-21","2020-11-25 08:35:24.702266000","2020-11-25",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","49108e9e-e029-4a9a-b128-0914a2826a9b","=""a2826a9b""","NULL","NULL","Order Received Time: 2020-11-22 04:58:56.846818000
Order Pickup Time: 2020-11-22 05:31:32.722608000","Delivered","USD",17.99,1.39,2.70,0.00,0.00,16.68,0.00,"1436591289",0.00,0.00
"05:23:53","2020-11-10","21:23:53","2020-11-09","2020-11-13 08:36:11.307499000","2020-11-13",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","0dbe21cb-aee9-4516-a960-3566dd1ef8de","=""dd1ef8de""","NULL","NULL","Order Received Time: 2020-11-10 04:59:06.223686000
Order Pickup Time: 2020-11-10 05:23:53.716294000","Delivered","USD",16.98,1.32,2.55,0.00,0.00,15.75,0.00,"1384672990",0.00,0.00
"05:17:01","2020-11-14","21:17:01","2020-11-13","2020-11-17 08:35:57.952728000","2020-11-17",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","2868cecd-28d3-4a1b-a91a-7aea05c3d09f","=""05c3d09f""","NULL","NULL","Order Received Time: 2020-11-14 04:57:32.923656000
Order Pickup Time: 2020-11-14 05:17:01.083400000","Picked Up","USD",34.97,2.71,5.25,0.00,0.00,32.43,0.00,"1401939618",0.00,0.00
"05:16:56","2020-11-04","21:16:56","2020-11-03","2020-11-09 08:36:57.020665000","2020-11-09",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","f600d39e-4a87-49d7-8bd2-bbb9d5c210b9","=""d5c210b9""","NULL","NULL","Order Received Time: 2020-11-04 04:53:09.620752000
Order Pickup Time: 2020-11-04 05:16:56.593239000","Delivered","USD",13.98,1.08,2.10,0.00,0.00,12.96,0.00,"1358969709",0.00,0.00
"05:14:04","2020-11-22","21:14:04","2020-11-21","2020-11-25 08:35:24.702266000","2020-11-25",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","f0bea160-1357-400c-9ba4-42f568ab4ec5","=""68ab4ec5""","NULL","NULL","Order Received Time: 2020-11-22 04:57:29.846679000
Order Pickup Time: 2020-11-22 05:14:04.932075000","Delivered","USD",18.82,1.46,2.82,0.00,0.99,16.47,0.00,"1436552074",0.00,0.00
"05:12:36","2020-11-26","21:12:36","2020-11-25","2020-11-30 08:37:16.083644000","2020-11-30",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","a489a5dc-d332-4729-a165-8d65ab1fdd03","=""ab1fdd03""","NULL","NULL","Order Received Time: 2020-11-26 04:53:23.755710000
Order Pickup Time: 2020-11-26 05:12:36.523909000","Delivered","USD",20.24,1.57,3.04,0.00,0.99,17.78,0.00,"1453128083",0.00,0.00
"05:12:30","2020-11-16","21:12:30","2020-11-15","2020-11-19 08:35:24.924034000","2020-11-19",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","b44d70b7-601d-420e-b801-7818e9506983","=""e9506983""","NULL","NULL","Order Received Time: 2020-11-16 04:52:19.301972000
Order Pickup Time: 2020-11-16 05:12:30.063487000","Delivered","USD",31.21,2.42,4.68,0.00,0.00,28.95,0.00,"1411023521",0.00,0.00
"05:10:55","2020-11-22","21:10:55","2020-11-21","2020-11-25 08:35:24.702266000","2020-11-25",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","d5220493-795e-4ebe-a4b0-2f15ccd2c281","=""ccd2c281""","NULL","NULL","Order Received Time: 2020-11-22 04:59:20.607748000
Order Pickup Time: 2020-11-22 05:10:55.739880000","Delivered","USD",22.49,1.74,3.37,0.00,0.99,19.87,0.00,"1436544704",0.00,0.00
"05:08:48","2020-11-15","21:08:48","2020-11-14","2020-11-18 08:35:24.294755000","2020-11-18",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","b1d3eb15-51a2-45de-a0b3-e866bf067dfd","=""bf067dfd""","NULL","NULL","Order Received Time: 2020-11-15 04:57:02.671206000
Order Pickup Time: 2020-11-15 05:08:48.959475000","Delivered","USD",15.74,1.22,2.36,0.00,0.00,14.60,0.00,"1406608373",0.00,0.00
"05:04:04","2020-11-23","21:04:04","2020-11-22","2020-11-26 08:35:16.774769000","2020-11-26",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","849fc525-67a8-4131-9e0d-a6b9ffa9678f","=""ffa9678f""","NULL","NULL","Order Received Time: 2020-11-23 04:51:50.754594000
Order Pickup Time: 2020-11-23 05:04:04.371606000","Delivered","USD",22.97,1.78,3.45,0.00,0.99,20.31,0.00,"1440927326",0.00,0.00
"05:03:03","2020-11-22","21:03:03","2020-11-21","2020-11-25 08:35:24.702266000","2020-11-25",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","ba8a22a3-cf9f-48eb-8799-f185a1b1091a","=""a1b1091a""","NULL","NULL","Order Received Time: 2020-11-22 04:42:20.880328000
Order Pickup Time: 2020-11-22 05:03:03.538875000","Delivered","USD",26.73,2.07,4.01,0.00,0.00,24.79,0.00,"1436524027",0.00,0.00
"05:02:43","2020-11-02","21:02:43","2020-11-01","2020-11-05 08:35:27.310141000","2020-11-05",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","2725d4eb-4a26-4d0f-91f1-b53f4648b243","=""4648b243""","NULL","NULL","Order Received Time: 2020-11-02 04:42:42.004178000
Order Pickup Time: 2020-11-02 05:02:43.303198000","Delivered","USD",36.45,2.82,5.47,0.00,0.99,32.81,0.00,"1351232787",0.00,0.00
"05:00:27","2020-11-19","21:00:27","2020-11-18","2020-11-23 08:37:53.230224000","2020-11-23",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","bc431616-5542-461e-bb51-ff167aff8bf3","=""7aff8bf3""","NULL","NULL","Order Received Time: 2020-11-19 04:41:03.391358000
Order Pickup Time: 2020-11-19 05:00:27.071060000","Delivered","USD",50.44,3.91,7.57,0.00,0.00,46.78,0.00,"1422694255",0.00,0.00
"05:00:01","2020-11-16","21:00:01","2020-11-15","2020-11-19 08:35:24.924034000","2020-11-19",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","3f69a0b6-38d8-47e1-9bb6-3b37d10e0ade","=""d10e0ade""","NULL","NULL","Order Received Time: 2020-11-16 04:40:12.874495000
Order Pickup Time: 2020-11-16 05:00:01.161752000","Delivered","USD",19.58,1.52,2.94,0.00,0.00,18.16,0.00,"1410998196",0.00,0.00
"05:00:00","2020-11-09","21:00:00","2020-11-08","2020-11-12 08:35:37.420740000","2020-11-12",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","b79c9370-fc65-4889-afe3-2590eaa4bed9","=""eaa4bed9""","NULL","NULL","Order Received Time: 2020-11-09 04:48:57.577515000
Order Pickup Time: 2020-11-09 05:00:00.766422000","Delivered","USD",17.48,1.35,2.62,0.00,0.00,16.21,0.00,"1380933073",0.00,0.00
"04:59:57","2020-11-09","20:59:57","2020-11-08","2020-11-12 08:35:37.420740000","2020-11-12",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","6204ce1d-1382-459a-8049-d8aaa08994d8","=""a08994d8""","NULL","NULL","Order Received Time: 2020-11-09 04:46:17.010539000
Order Pickup Time: 2020-11-09 04:59:57.442525000","Delivered","USD",16.98,1.32,2.55,0.00,0.99,14.76,0.00,"1380932958",0.00,0.00
"04:58:33","2020-11-04","20:58:33","2020-11-03","2020-11-09 08:36:57.020665000","2020-11-09",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","acd83f2d-b81f-47a5-9b0c-8568e6920f0a","=""e6920f0a""","NULL","NULL","Order Received Time: 2020-11-04 04:47:00.719273000
Order Pickup Time: 2020-11-04 04:58:33.956135000","Delivered","USD",25.32,1.96,3.80,0.00,0.99,22.49,0.00,"1358933498",0.00,0.00
"04:54:52","2020-11-07","20:54:52","2020-11-06","2020-11-10 08:35:34.440136000","2020-11-10",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","562f07f6-e0e4-4fc0-803f-498e0697eba2","=""0697eba2""","NULL","NULL","Order Received Time: 2020-11-07 04:40:04.382741000
Order Pickup Time: 2020-11-07 04:54:52.937236000","Delivered","USD",36.46,2.83,5.47,0.00,0.99,32.83,0.00,"1371982895",0.00,0.00
