"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-939913558363163","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/28/20","5:57 PM","34.96","0","0.00","2.71","3.77","41.44","-8.74","0","-1.56","0","0"
"O-574713330605434","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/7/20","12:50 PM","22.96","0","0.00","1.31","0","24.27","-5.74","0","-0.86","0","-6.00"
"O-021713550385310","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/29/20","10:49 AM","60.95","0","0.00","4.72","0","65.67","-15.24","0","-2.30","0","0"
"O-551613340405562","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/7/20","5:24 PM","39.98","0","0.00","3.10","0","43.08","-10.00","0","-1.61","0","0"
"O-721513513017361","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/24/20","7:29 PM","17.99","0","2.99","1.62","2.26","24.86","-5.25","0","-1.06","0","0"
"O-304213454138246","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/18/20","5:26 PM","27.16","0","6.99","2.64","0","36.79","-8.54","0","-1.42","0","0"
"O-065613342137817","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/7/20","9:40 PM","16.98","0","6.99","1.86","3.87","29.70","-5.99","0","-1.21","0","0"
"O-467813344128549","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/7/20","5:43 PM","17.98","0","0.00","1.39","1.94","21.31","-4.50","0","-0.95","0","0"
"O-053313279208420","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/1/20","12:57 PM","16.98","0","2.99","1.08","2.11","23.16","-4.99","0","-0.82","0","-6.00"
"O-218413393356878","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/13/20","1:48 PM","19.74","0","1.99","1.68","3.51","26.92","-5.43","0","-1.12","0","0"
"O-045513289739678","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/2/20","12:05 PM","10.99","0","0.00","0.85","1.77","13.61","-2.75","0","-0.72","0","0"
"O-045513309759791","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/3/20","6:15 PM","55.96","0","0.00","4.34","0","60.30","-13.99","0","-2.14","0","0"
"O-724313340907683","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/7/20","6:00 PM","31.47","0","1.99","2.12","3.56","39.14","-8.37","0","-1.31","0","-6.00"
"O-719113402037731","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/14/20","1:01 PM","24.97","0","0.00","1.94","0","26.91","-6.24","0","-1.12","0","0"
"T-AwAAD06i4xqqEB_WEeuoN01hOODk7w","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","71811330-3386623 WY","11/5/20","6:22 PM","0","0","0.00","0.00","0","0.75","0","0","0","0","0"
"O-120413410022317","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/14/20","7:26 PM","29.97","0","6.99","2.40","7.87","47.23","-9.24","0","-1.56","0","-6.00"
"O-971513579323054","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/30/20","5:18 PM","15.74","0","0.00","1.22","0","16.96","-3.94","0","-0.82","0","0"
"O-757413568773979","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/29/20","6:46 PM","53.20","0","6.99","4.66","9.72","74.57","-15.05","0","-2.57","0","0"
"O-315613489141901","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/22/20","12:33 PM","43.71","0","6.99","3.93","10.93","65.56","-12.68","0","-2.30","0","0"
"O-777813444375008","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/17/20","5:38 PM","31.72","0","0.00","2.46","0","34.18","-7.93","0","-1.34","0","0"
"O-694913415059673","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/14/20","6:43 PM","30.96","0","6.99","2.94","6.56","47.45","-9.49","0","-1.75","0","0"
"O-491913479745777","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/21/20","10:58 AM","100.18","0","0.00","7.76","0","107.94","-25.05","0","-3.59","0","0"
"O-506613472132709","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/20/20","6:23 PM","13.99","0","0.00","1.08","1.51","16.58","-3.50","0","-0.81","0","0"
"O-939913528325054","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/25/20","6:51 PM","28.47","0","8.99","2.91","6.06","46.43","-9.37","0","-1.72","0","0"
"O-810313290885587","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/2/20","7:26 PM","26.96","0","6.99","2.63","3.66","40.24","-8.49","0","-1.53","0","0"
"O-473313384630455","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/12/20","1:21 PM","71.52","0","8.99","5.78","12.94","99.23","-20.13","0","-3.14","0","-6.00"
"O-649913469573457","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/19/20","6:20 PM","45.95","0","4.99","3.95","8.23","63.12","-12.74","0","-2.23","0","0"
"O-521213450657791","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/19/20","4:33 PM","51.93","0","6.99","4.56","12.70","76.18","-14.73","0","-2.62","0","0"
"O-643113484771452","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/21/20","6:12 PM","31.34","0","8.99","3.13","6.00","49.46","-10.08","0","-1.81","0","0"
"O-896613444048647","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/17/20","6:14 PM","17.99","0","6.99","1.93","4.04","30.95","-6.25","0","-1.24","0","0"
"O-727513336536319","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/6/20","5:49 PM","53.92","0","0.00","4.18","5.81","63.91","-13.48","0","-2.25","0","0"
"O-932313320056481","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/5/20","5:16 PM","12.72","0","0.00","0.99","0","13.71","-3.18","0","-0.72","0","0"
"O-398113409572711","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/13/20","7:39 PM","49.98","0","4.99","4.26","11.77","71.00","-13.74","0","-2.47","0","0"
"O-508113476708726","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/20/20","7:30 PM","21.98","0","6.99","2.24","4.68","35.89","-7.24","0","-1.39","0","0"
"O-508113486708200","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/21/20","6:28 PM","27.98","0","8.99","2.87","5.98","45.82","-9.24","0","-1.70","0","0"
"O-968413487324135","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/21/20","5:52 PM","32.23","0","8.99","3.20","8.88","53.30","-10.31","0","-1.93","0","0"
"O-144213419579133","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/15/20","11:51 AM","21.98","0","0.00","1.24","0","23.22","-5.50","0","-0.83","0","-6.00"
"O-594613435373282","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/16/20","5:39 PM","27.96","0","4.99","2.56","7.10","42.61","-8.24","0","-1.60","0","0"
"O-383613376252345","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/10/20","7:21 PM","34.72","0","1.99","2.38","5.86","44.95","-9.18","0","-1.49","0","-6.00"
"O-819013490379292","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/22/20","6:03 PM","37.93","0","4.99","3.33","9.25","55.50","-10.73","0","-1.99","0","0"
"O-117713286311150","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/1/20","5:28 PM","50.11","0","0.00","3.88","5.40","59.39","-12.53","0","-2.11","0","0"
"O-724313350902040","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/8/20","6:24 PM","27.20","0","0.00","2.11","4.38","33.69","-6.80","0","-1.33","0","0"
