"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"11/8/2020 20:14:43","24.56","2.36","4.99","4.79","36.7","credit_card","delivery"
"11/29/2020 16:37:35","61.5","4.52","0","9.15","70.17","credit_card","pickup"
"Total","86.06","6.88","4.99","13.94","106.87","",""
"","","","","","","",""
"All Orders","106.87","","(all orders including cash and credit card paid orders)","","","",""
"Pre-Paid Orders","106.87","","(orders where the customer paid with a credit card online)","","","",""
"MenuStar Fees","10.69","","(includes credit card processing fee)","","","",""
"Adjustments","0","","(credits/debts posted to your account)","","","",""
"Net Payout","96.18","","(amount will be paid in your account in 3-4 days)","","","",""
