Store Name,Store ID,Order ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Promo Spend on Delivery,Tax on Promo Spend on Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date
Aroma Pizza,,#7E6E0,Delivery - Partner Using Uber App,iOS,Completed,2020-11-04,12:19,15.74,1.22,16.96,0,0,0,0,0,0,0,0,16.96,-2.99,0,0,0,0,0,,0,0,0,13.97,2020-11-09
Aroma Pizza,,#6280E,Delivery - Partner Using Uber App,Android,Completed,2020-11-04,16:24,32.18,2.49,34.67,0,0,0,0,0,0,0,0,34.67,-6.11,0,0,0,0,0,,0,0,0,28.56,2020-11-09
Aroma Pizza,,#D6ECC,Delivery - Partner Using Uber App,iOS,Completed,2020-11-04,16:27,27.98,2.17,30.15,0,0,0,0,0,0,0,0,30.15,-5.32,0,0,0,0,0,,0,0,0,24.83,2020-11-09
Aroma Pizza,,#FD911,Delivery - Partner Using Uber App,iOS,Completed,2020-11-04,17:58,39.72,3.08,42.8,0,0,0,0,0,0,0,0,42.8,-7.55,0,0,0,0,0,,0,0,0,35.25,2020-11-09
Aroma Pizza,,#B41D7,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2020-11-05,12:33,23.73,1.84,25.57,0,0,0,0,0,0,0,0,25.57,-4.51,0,0,0,0,0,,0,0,0,21.06,2020-11-09
Aroma Pizza,,#B2C47,Delivery - Partner Using Uber App,Android,Completed,2020-11-05,14:52,15.98,1.24,17.22,0,0,0,0,0,0,0,0,17.22,-3.04,0,0,0,0,0,,0,0,0,14.18,2020-11-09
Aroma Pizza,,#4EBCD,Delivery - Partner Using Uber App,iOS,Completed,2020-11-06,11:14,26.98,2.09,29.07,0,0,0,0,0,0,0,0,29.07,-5.13,0,0,0,0,0,,0,0,0,23.94,2020-11-09
Aroma Pizza,,#7E213,Delivery - Partner Using Uber App,iOS,Completed,2020-11-06,11:40,28.48,2.21,30.69,0,0,0,0,0,0,0,0,30.69,-5.41,0,0,0,0,0,,0,0,0,25.28,2020-11-09
Aroma Pizza,,#CDFFD,Delivery - Partner Using Uber App,Android,Completed,2020-11-06,16:24,29.96,2.32,32.28,0,0,0,0,0,0,0,0,32.28,-5.69,0,0,0,0,0,,0,0,0,26.59,2020-11-09
Aroma Pizza,,#95060,Pickup,iOS,Completed,2020-11-06,17:08,33.72,2.61,36.33,0,0,0,0,0,0,0,0,36.33,0,0,0,0,0,0,,0,0,0,36.33,2020-11-09
Aroma Pizza,,#C3F54,Delivery - Partner Using Uber App,Android,Completed,2020-11-06,19:56,16.98,1.32,18.3,0,0,0,0,0,0,0,0,18.3,-3.23,0,0,0,0,0,,0,0,0,15.07,2020-11-09
Aroma Pizza,,#2CD19,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2020-11-07,11:52,32.49,2.52,35.01,0,0,0,0,0,0,0,0,35.01,-6.17,0,0,0,0,0,,0,0,0,28.84,2020-11-09
Aroma Pizza,,#D9BFF,Delivery - Partner Using Uber App,iOS,Completed,2020-11-07,17:47,38.97,3.02,41.99,0,0,0,0,0,0,0,0,41.99,-7.4,0,0,0,0,0,,0,0,0,34.59,2020-11-09
Aroma Pizza,,#5E3B9,Delivery - Partner Using Uber App,iOS,Completed,2020-11-07,18:33,50.35,3.9,54.25,0,0,0,0,0,0,0,0,54.25,-9.57,0,0,0,0,0,,0,0,0,44.68,2020-11-09
Aroma Pizza,,#2CA31,Delivery - Partner Using Uber App,iOS,Completed,2020-11-08,18:32,32.46,2.52,34.98,0,0,0,0,0,0,0,0,34.98,-6.17,0,0,0,0,0,,0,0,0,28.81,2020-11-09
Aroma Pizza,,#2FD05,Delivery - Partner Using Uber App,iOS,Completed,2020-11-09,18:48,15.58,1.21,16.79,0,0,0,0,0,0,0,0,16.79,-2.96,0,0,0,0,0,,0,0,0,13.83,2020-11-16
Aroma Pizza,,#30204,Delivery - Partner Using Uber App,iOS,Completed,2020-11-09,20:02,13.99,1.08,15.07,0,0,0,0,0,0,0,0,15.07,-2.66,0,0,0,0,0,,0,0,0,12.41,2020-11-16
Aroma Pizza,,#A20D0,Delivery - Partner Using Uber App,Android,Completed,2020-11-10,17:50,53.29,4.13,57.42,0,0,0,0,0,0,0,0,57.42,-10.13,0,0,0,0,0,,0,0,0,47.29,2020-11-16
Aroma Pizza,,#49849,Delivery - Partner Using Uber App,iOS,Completed,2020-11-10,18:14,21.99,1.7,23.69,0,0,0,0,0,0,0,0,23.69,-4.18,0,0,0,0,0,,0,0,0,19.51,2020-11-16
Aroma Pizza,,#0B281,Pickup,iOS,Completed,2020-11-10,18:34,38.97,3.02,41.99,0,0,0,0,0,0,0,0,41.99,0,0,0,0,0,0,,0,0,0,41.99,2020-11-16
Aroma Pizza,,#4E29E,Delivery - Partner Using Uber App,iOS,Completed,2020-11-10,22:15,24.47,1.9,26.37,0,0,0,0,0,0,0,0,26.37,-4.65,0,0,0,0,0,,0,0,0,21.72,2020-11-16
Aroma Pizza,,#8E579,Delivery - Partner Using Uber App,iOS,Completed,2020-11-11,16:57,28.57,2.21,30.78,0,0,0,0,0,0,0,0,30.78,-5.43,0,0,0,0,0,,0,0,0,25.35,2020-11-16
Aroma Pizza,,#17A73,Delivery - Partner Using Uber App,iOS,Completed,2020-11-11,18:34,24.98,1.94,26.92,0,0,0,0,0,0,0,0,26.92,-4.75,0,0,0,0,0,,0,0,0,22.17,2020-11-16
Aroma Pizza,,#C17A9,Delivery - Partner Using Uber App,iOS,Completed,2020-11-13,17:10,17.49,1.36,18.85,0,0,0,0,0,0,0,0,18.85,-3.32,0,0,0,0,0,,0,0,0,15.53,2020-11-16
Aroma Pizza,,#5A565,Delivery - Partner Using Uber App,iOS,Completed,2020-11-13,18:38,38.46,2.98,41.44,0,0,0,0,0,0,0,0,41.44,-7.31,0,0,0,0,0,,0,0,0,34.13,2020-11-16
Aroma Pizza,,#E8C4D,Delivery - Partner Using Uber App,iOS,Completed,2020-11-13,18:58,15.99,1.24,17.23,0,0,0,0,0,0,0,0,17.23,-3.04,0,0,0,0,0,,0,0,0,14.19,2020-11-16
Aroma Pizza,,#E7D62,Delivery - Partner Using Uber App,iOS,Completed,2020-11-13,19:34,23.95,1.86,25.81,0,0,0,0,0,0,0,0,25.81,-4.55,0,0,0,0,0,,0,0,0,21.26,2020-11-16
Aroma Pizza,,#0255F,Delivery - Partner Using Uber App,Android,Completed,2020-11-14,13:27,29.94,2.32,32.26,0,0,0,0,0,0,0,0,32.26,-5.69,0,0,0,0,0,,0,0,0,26.57,2020-11-16
Aroma Pizza,,#E423D,Delivery - Partner Using Uber App,iOS,Completed,2020-11-14,14:59,29.23,2.27,31.5,0,0,0,0,0,0,0,0,31.5,-5.55,0,0,0,0,0,,0,0,0,25.95,2020-11-16
Aroma Pizza,,#19D02,Delivery - Partner Using Uber App,iOS,Completed,2020-11-14,16:35,41.54,3.22,44.76,0,0,0,0,0,0,0,0,44.76,-7.89,0,0,0,0,0,,0,0,0,36.87,2020-11-16
Aroma Pizza,,#5E6BC,Delivery - Partner Using Uber App,Android,Completed,2020-11-14,18:19,30.97,2.4,33.37,0,0,0,0,0,0,0,0,33.37,-5.88,0,0,0,0,0,,0,0,0,27.49,2020-11-16
Aroma Pizza,,#92D59,Delivery - Partner Using Uber App,Android,Completed,2020-11-14,19:34,15.48,1.2,16.68,0,0,0,0,0,0,0,0,16.68,-2.94,0,0,0,0,0,,0,0,0,13.74,2020-11-16
Aroma Pizza,,#EC76B,Delivery - Partner Using Uber App,Android,Completed,2020-11-15,12:46,19.98,1.55,21.53,0,0,0,0,0,0,0,0,21.53,-3.8,0,0,0,0,0,,0,0,0,17.73,2020-11-16
Aroma Pizza,,#EE747,Delivery - Partner Using Uber App,iOS,Completed,2020-11-15,13:58,94.91,7.36,102.27,0,0,0,0,0,0,0,0,102.27,-18.03,0,0,0,0,0,,0,0,0,84.24,2020-11-16
Aroma Pizza,,#9F0E0,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2020-11-15,17:50,35.44,2.75,38.19,0,0,0,0,0,0,0,0,38.19,-6.73,0,0,0,0,0,,0,0,0,31.46,2020-11-16
Aroma Pizza,,#CEB78,Delivery - Partner Using Uber App,iOS,Completed,2020-11-16,18:17,36.97,2.87,39.84,0,0,0,0,0,0,0,0,39.84,-7.02,0,0,0,0,0,,0,0,0,32.82,2020-11-23
Aroma Pizza,,#062EB,Delivery - Partner Using Uber App,iOS,Completed,2020-11-16,18:36,12.38,0.96,13.34,0,0,0,0,0,0,0,0,13.34,-2.35,0,0,0,0,0,,0,0,0,10.99,2020-11-23
Aroma Pizza,,#85FF9,Delivery - Partner Using Uber App,iOS,Completed,2020-11-16,20:24,29.47,2.28,31.75,0,0,0,0,0,0,0,0,31.75,-5.6,0,0,0,0,0,,0,0,0,26.15,2020-11-23
Aroma Pizza,,#24A2E,Delivery - Partner Using Uber App,iOS,Completed,2020-11-17,17:51,28.73,2.23,30.96,0,0,0,0,0,0,0,0,30.96,-5.46,0,0,0,0,0,,0,0,0,25.5,2020-11-23
Aroma Pizza,,#1ECB9,Pickup,iOS,Completed,2020-11-17,18:23,20.24,1.57,21.81,0,0,0,0,0,0,0,0,21.81,0,0,0,0,0,0,,0,0,0,21.81,2020-11-23
Aroma Pizza,,#6B419,Delivery - Partner Using Uber App,iOS,Completed,2020-11-18,17:28,19.74,1.53,21.27,0,0,0,0,0,0,0,0,21.27,-3.75,0,0,0,0,0,,0,0,0,17.52,2020-11-23
Aroma Pizza,,#598BF,Delivery - Partner Using Uber App,Android,Completed,2020-11-18,18:38,25.98,2.01,27.99,0,0,0,0,0,0,0,0,27.99,-4.94,0,0,0,0,0,,0,0,0,23.05,2020-11-23
Aroma Pizza,,#E2D1F,Delivery - Partner Using Uber App,iOS,Completed,2020-11-18,18:58,31.48,2.44,33.92,0,0,0,0,0,0,0,0,33.92,-5.98,0,0,0,0,0,,0,0,0,27.94,2020-11-23
Aroma Pizza,,#2A6B7,Delivery - Partner Using Uber App,iOS,Completed,2020-11-19,17:57,28.14,2.18,30.32,0,0,0,0,0,0,0,0,30.32,-5.35,0,0,0,0,0,,0,0,0,24.97,2020-11-23
