"STORE_ID","STORE_NAME","BUSINESS_ID","MERCHANT_STORE_ID","PAYOUT_DATE","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","commission tax","drive charge","marketing fees","error charges","adjustments","total before adjustments","net payout","TRANSACTIONS_START_LOCAL_DATE","TRANSACTIONS_END_LOCAL_DATE","TRANSACTIONS_START_UTC_DATE","TRANSACTIONS_END_UTC_DATE","PAYOUT_ID","TAX_REMITTED_BY_DOORDASH_TO_STATE"
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-01",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,398.30,398.30,"2020-12-01","2020-12-01","2020-12-01","2020-12-01","73402866",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-02",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,579.67,579.67,"2020-12-02","2020-12-02","2020-12-02","2020-12-02","73434936",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-03",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,332.69,332.69,"2020-12-03","2020-12-03","2020-12-03","2020-12-03","73481652",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-04",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,241.20,241.20,"2020-12-04","2020-12-04","2020-12-04","2020-12-04","73751138",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-07",1690.78,125.38,253.65,0.00,0.00,19.80,0.00,0.00,1542.71,1542.71,"2020-12-01","2020-12-07","2020-12-01","2020-12-07","73802115",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-08",1101.61,77.20,165.28,0.00,0.00,14.85,6.27,8.91,992.41,1001.32,"2020-12-04","2020-12-08","2020-12-04","2020-12-08","74609269",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-09",1069.27,82.86,160.40,0.00,0.00,11.88,6.49,0.00,973.36,973.36,"2020-12-05","2020-12-09","2020-12-05","2020-12-09","74645708",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-10",669.98,51.92,100.52,0.00,0.00,9.90,0.00,0.00,611.48,611.48,"2020-12-06","2020-12-10","2020-12-06","2020-12-10","74692655",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-11",579.73,44.93,86.98,0.00,0.00,6.93,0.00,0.00,530.75,530.75,"2020-12-07","2020-12-11","2020-12-07","2020-12-11","74974059",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-14",1245.18,96.51,186.81,0.00,0.00,12.87,0.00,0.00,1142.01,1142.01,"2020-12-08","2020-12-14","2020-12-08","2020-12-14","75019313",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-15",759.33,58.86,113.91,0.00,0.00,11.88,0.00,0.00,692.40,692.40,"2020-12-11","2020-12-15","2020-12-11","2020-12-15","75829810",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-16",780.57,60.48,117.10,0.00,0.00,6.93,0.00,0.00,717.02,717.02,"2020-12-12","2020-12-16","2020-12-12","2020-12-16","75866649",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-17",464.66,36.02,69.69,0.00,0.00,8.91,0.00,0.00,422.08,422.08,"2020-12-13","2020-12-17","2020-12-13","2020-12-17","75915049",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-18",474.07,35.75,69.21,0.00,0.00,5.94,8.34,0.00,426.33,426.33,"2020-12-14","2020-12-18","2020-12-14","2020-12-18","76193223",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-21",1486.18,115.19,222.97,0.00,0.00,17.82,0.00,0.00,1360.58,1360.58,"2020-12-15","2020-12-21","2020-12-15","2020-12-21","76269792",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-22",743.81,57.65,111.58,0.00,0.00,12.87,16.23,0.00,660.78,660.78,"2020-12-18","2020-12-22","2020-12-18","2020-12-22","77160902",0.00
