"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"12/8/2020 19:32:09","105.88","8.47","0","0","114.35","cash","pickup"
"Total","105.88","8.47","0","0","114.35","",""
"","","","","","","",""
"All Orders","114.35","","(all orders including cash and credit card paid orders)","","","",""
"Pre-Paid Orders","0","","(orders where the customer paid with a credit card online)","","","",""
"MenuStar Fees","8.47","","(includes credit card processing fee)","","","",""
"Adjustments","0","","(credits/debts posted to your account)","","","",""
"Net Payout","-8.47","","(amount will be paid in your account in 3-4 days)","","","",""
