Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Promo Spend on Delivery,Tax on Promo Spend on Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date
Aroma Pizza,,#7789C,4af256c0-066f-44d7-8955-6ee6ea17789c,Delivery - Partner Using Uber App,iOS,Completed,2020-12-01,12:44,17.99,1.39,19.38,0,0,0,0,0,0,0,0,19.38,-3.42,0,0,0,0,0,,0,0,-3.5,12.46,2020-12-07
Aroma Pizza,,#340CC,35a71f7f-f7c8-4358-a687-2cdb7d2340cc,Pickup,iOS,Completed,2020-12-02,14:33,11.48,0.89,12.37,0,0,0,0,0,0,0,0,12.37,0,0,0,0,0,0,,0,0,-2.76,9.61,2020-12-07
Aroma Pizza,,#9AD09,6db87c28-df96-4fd9-a3d9-879ef1c9ad09,Delivery - Partner Using Uber App,iOS,Completed,2020-12-02,17:05,18.48,1.43,19.91,0,0,0,0,0,0,0,0,19.91,-3.51,0,0,0,0,0,,0,0,-3.59,12.81,2020-12-07
Aroma Pizza,,#374DA,635b3c10-4a41-48ff-bace-b6f5592374da,Delivery - Partner Using Uber App,iOS,Completed,2020-12-08,18:41,43.93,3.4,47.33,0,0,0,0,0,0,0,0,47.33,-8.35,0,0,0,0,0,,0,0,0,38.98,2020-12-14
Aroma Pizza,,#DFD12,af970273-c8ea-421d-bd79-7905180dfd12,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2020-12-08,20:10,60.21,4.67,64.88,0,0,0,0,0,0,0,0,64.88,-11.44,0,0,0,0,0,,0,0,0,53.44,2020-12-14
Aroma Pizza,,#556BE,38fcee65-cbcc-46f0-96bb-16d2369556be,Delivery - Partner Using Uber App,iOS,Completed,2020-12-08,20:26,25.5,1.98,27.48,0,0,0,0,0,0,0,0,27.48,-4.85,0,0,0,0,0,,0,0,0,22.63,2020-12-14
Aroma Pizza,,#1CFB2,d9e3a5f2-8cb6-4bd3-aa7b-4b9493e1cfb2,Delivery - Partner Using Uber App,iOS,Completed,2020-12-08,21:26,31.47,2.44,33.91,0,0,0,0,0,0,0,0,33.91,-5.98,0,0,0,0,0,,0,0,0,27.93,2020-12-14
Aroma Pizza,,#67752,1b5dab75-bd90-430e-8eb0-312dfac67752,Delivery - Partner Using Uber App,iOS,Completed,2020-12-09,18:33,19.47,1.51,20.98,0,0,0,0,0,0,0,0,20.98,-3.7,0,0,0,0,0,,0,0,0,17.28,2020-12-14
Aroma Pizza,,#72139,7cc968c5-c221-46a3-b76f-40ff4ca72139,Delivery - Partner Using Uber App,iOS,Completed,2020-12-09,18:47,27.58,2.14,29.72,0,0,0,0,0,0,0,0,29.72,-5.24,0,0,0,0,0,,0,0,0,24.48,2020-12-14
Aroma Pizza,,#F7F24,4a5ab9db-60dc-4ca2-a253-d72d1a6f7f24,Delivery - Partner Using Uber App,iOS,Completed,2020-12-09,20:50,29.22,2.26,31.48,0,0,0,0,0,0,0,0,31.48,-5.55,0,0,0,0,0,,0,0,0,25.93,2020-12-14
Aroma Pizza,,#8051C,a4befc03-030b-488b-ad40-e3a96e68051c,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2020-12-10,12:13,25.49,1.98,27.47,0,0,0,0,0,0,0,0,27.47,-4.84,0,0,0,0,0,,0,0,0,22.63,2020-12-14
Aroma Pizza,,#1910F,c58c52ac-adf3-4ad1-9c1d-266e9a51910f,Delivery - Partner Using Uber App,Android,Completed,2020-12-10,17:15,31.48,2.44,33.92,0,0,0,0,0,0,0,0,33.92,-5.98,0,0,0,0,0,,0,0,0,27.94,2020-12-14
Aroma Pizza,,#79D50,09ceca7b-50e5-4f94-8943-5e5347a79d50,Delivery - Partner Using Uber App,iOS,Completed,2020-12-10,17:45,31.97,2.48,34.45,0,0,0,0,0,0,0,0,34.45,-6.07,0,0,0,0,0,,0,0,0,28.38,2020-12-14
Aroma Pizza,,#45F12,69ddaf15-9772-4a94-980e-6924bf145f12,Delivery - Partner Using Uber App,iOS,Completed,2020-12-10,17:53,20.73,1.61,22.34,0,0,0,0,0,0,0,0,22.34,-3.94,0,0,0,0,0,,0,0,0,18.4,2020-12-14
Aroma Pizza,,#64B67,49e2f62c-2c27-4977-82ed-3ba524464b67,Pickup,iOS,Completed,2020-12-10,18:29,41.26,3.2,44.46,0,0,0,0,0,0,0,0,44.46,0,0,0,0,0,0,,0,0,0,44.46,2020-12-14
Aroma Pizza,,#D7FE2,d0789eb3-e1ff-48ac-bb05-2df16e3d7fe2,Delivery - Partner Using Uber App,Android,Completed,2020-12-10,18:39,21.98,1.7,23.68,0,0,0,0,0,0,0,0,23.68,-4.18,0,0,0,0,0,,0,0,0,19.5,2020-12-14
Aroma Pizza,,#AE509,dde5eb7d-be85-4454-8f2c-538d03bae509,Delivery - Partner Using Uber App,Android,Completed,2020-12-10,21:40,23.81,1.85,25.66,0,0,0,0,0,0,0,0,25.66,-4.52,0,0,0,0,0,,0,0,0,21.14,2020-12-14
Aroma Pizza,,#C44B5,9ee94498-93a1-4884-9e1e-8a07258c44b5,Delivery - Partner Using Uber App,iOS,Completed,2020-12-11,11:56,20.22,1.57,21.79,0,0,0,0,0,0,0,0,21.79,-3.84,0,0,0,0,0,,0,0,0,17.95,2020-12-14
Aroma Pizza,,#6DB20,129c0877-a057-40fe-b8d9-98319cf6db20,Delivery - Partner Using Uber App,iOS,Completed,2020-12-11,14:22,34.81,2.7,37.51,0,0,0,0,0,0,0,0,37.51,-6.61,0,0,0,0,0,,0,0,0,30.9,2020-12-14
Aroma Pizza,,#7FBEF,bd22807d-4577-4c95-ab5a-1a94b0e7fbef,Delivery - Partner Using Uber App,iOS,Completed,2020-12-11,15:23,17.2,1.33,18.53,0,0,0,0,0,0,0,0,18.53,-3.27,0,0,0,0,0,,0,0,0,15.26,2020-12-14
Aroma Pizza,,#04C95,bcc75123-3d95-43bb-93ea-081519804c95,Delivery - Partner Using Uber App,iOS,Completed,2020-12-11,18:16,27.98,2.17,30.15,0,0,0,0,0,0,0,0,30.15,-5.32,0,0,0,0,0,,0,0,0,24.83,2020-12-14
Aroma Pizza,,#3B41A,e2ffaa37-eed5-4951-aa39-e93dd9e3b41a,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2020-12-11,18:57,36.3,2.81,39.11,0,0,0,0,0,0,0,0,39.11,-6.9,0,0,0,0,0,,0,0,0,32.21,2020-12-14
Aroma Pizza,,#81972,99a8ed59-d685-4b0f-bdac-8f08dd181972,Delivery - Partner Using Uber App,iOS,Completed,2020-12-13,12:02,17.98,1.39,19.37,0,0,0,0,0,0,0,0,19.37,-3.42,0,0,0,0,0,,0,0,0,15.95,2020-12-14
