Transaction Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Adjustments,Taxes,Tip,Other,You earned,Notes
Delivery,1/31/21,#DD588,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$16.45,-$6.58,$0.00,$1.27,,,$11.14,
Delivery,1/31/21,#161f8da0,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$17.98,-$7.19,$0.00,$1.39,,,$12.18,
Delivery,1/31/21,#6A37D,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.49,-$6.20,$0.00,$1.20,,,$10.49,
Adjustment,1/31/21,#FB8FC,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$0.00,$3.62,$0.00,$1.69,,,-$1.93,
Delivery,1/31/21,#FB8FC,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$32.97,-$8.55,$0.00,$0.00,,,$24.42,
Delivery,1/31/21,#299dccfb,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$22.00,-$8.80,$0.00,$1.71,,,$14.91,
Delivery,1/31/21,#7940B,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$37.47,-$14.99,$0.00,$2.90,,,$25.38,
Delivery,1/31/21,#336114194569766,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$25.98,-$10.39,$0.00,$2.01,,,$17.60,
Delivery,1/31/21,#af6d88b3,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$26.95,-$10.78,$0.00,$2.09,,,$18.26,
Delivery,1/31/21,#2d114810,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$61.45,-$24.58,$0.00,$4.76,,,$41.63,
Delivery,1/31/21,#8F3A0,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$14.99,-$1.50,$0.00,$1.16,,,$14.65,
Delivery,1/31/21,#210,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$15.49,-$6.20,$0.00,$1.21,,,$10.50,
Delivery,1/31/21,#4504d5cd,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$14.95,-$5.98,$0.00,$1.16,,,$10.13,
Delivery,1/31/21,#747814197235799,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$30.97,-$12.39,$0.00,$2.40,,,$20.98,
Delivery,1/31/21,#196,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$11.99,-$4.80,$0.00,$0.93,,,$8.12,
Delivery,1/31/21,#d5fafde3,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$28.40,-$11.36,$0.00,$2.20,,,$19.24,
Delivery,1/31/21,#e078413f,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$17.98,-$7.18,$0.00,$1.39,,,$12.19,
Delivery,1/31/21,#1d8cc12e,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$22.49,-$9.00,$0.00,$1.74,,,$15.23,
Delivery,1/31/21,#648fce78,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$21.00,-$8.40,$0.00,$1.63,,,$14.23,
Delivery,1/31/21,#142,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$28.43,-$11.37,$0.00,$2.21,,,$19.27,
Delivery,1/31/21,#3d853461,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$43.73,-$17.49,$0.00,$3.39,,,$29.63,
Delivery,1/31/21,#1793d33f,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$29.97,-$11.98,$0.00,$2.32,,,$20.31,
Adjustment,1/31/21,#2DDFB,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$0.00,$7.23,$0.00,$2.13,,,-$5.10,
Delivery,1/31/21,#2DDFB,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$49.96,-$11.50,$0.00,$0.00,,,$38.46,
Delivery,1/31/21,#81923664,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$23.98,-$9.58,$0.00,$1.86,,,$16.26,
Delivery,1/31/21,#e41e15c3,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$18.50,-$7.40,$0.00,$1.43,,,$12.53,
Delivery,1/31/21,#71A1C,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$53.00,-$21.20,$0.00,$4.11,,,$35.91,
Adjustment,1/31/21,#1D574,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$0.00,$0.90,$0.00,$1.94,,,$1.04,
Delivery,1/31/21,#1D574,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.00,-$9.10,$0.00,$0.00,,,$15.90,
Delivery,1/31/21,#C7D27,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.00,-$10.00,$0.00,$1.94,,,$16.94,
Adjustment,1/31/21,#BBFE7,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$0.00,$3.62,$0.00,$1.30,,,-$2.32,
Delivery,1/31/21,#BBFE7,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$27.97,-$6.80,$0.00,$0.00,,,$21.17,
Delivery,1/31/21,#bf48c162,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$34.97,-$13.98,$0.00,$2.71,,,$23.70,
Delivery,1/31/21,#ffa03a0c,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$31.97,-$12.79,$0.00,$2.48,,,$21.66,
Delivery,1/31/21,#1c84eed1,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$59.99,-$15.00,$0.00,$4.65,,,$49.64,
Adjustment,1/31/21,#F24D0,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$0.00,$1.50,$0.00,$1.27,,,-$0.23,
Delivery,1/31/21,#F24D0,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$21.00,-$6.90,$0.00,$0.00,,,$14.10,
Delivery,1/31/21,#ccbf9506,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$1.08,,,$9.45,
Delivery,1/31/21,#8c67af02,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$26.00,-$10.40,$0.00,$2.02,,,$17.62,
Delivery,1/31/21,#84a2d138,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$32.40,-$12.96,$0.00,$2.51,,,$21.95,
