"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-997314179775302","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/29/21","7:07 PM","20.99","0","1.99","1.78","3.71","28.47","-5.75","0","-1.17","0","0"
"O-513414132397296","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/25/21","9:15 PM","25.97","0","4.99","2.40","5.00","38.36","-7.74","0","-1.47","0","0"
"O-067214146294536","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/26/21","6:36 PM","25.98","0","2.99","2.24","3.12","34.33","-7.24","0","-1.35","0","0"
"O-786113899353535","Aroma Pizza & Pasta - Alton Pkwy","Cash Order",,"1/1/21","6:52 PM","10.99","0","0.00","0.85","0","13.61","-2.75","0","0","0","0"
"O-772914193904100","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/31/21","6:20 PM","22.56","0","1.99","1.90","2.65","29.10","-6.14","0","-1.19","0","0"
"O-619813954964513","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/7/21","5:52 PM","15.96","0","4.99","1.63","3.38","25.96","-5.24","0","-1.09","0","0"
"O-974914035830697","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/15/21","6:30 PM","47.19","0","4.99","4.05","11.25","67.48","-13.05","0","-2.36","0","0"
"O-803214100413755","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/22/21","4:50 PM","19.98","0","4.99","1.94","4.04","30.95","-6.24","0","-1.24","0","0"
"O-563214014534622","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/13/21","6:05 PM","31.05","0","6.99","2.95","6.14","47.13","-9.51","0","-1.74","0","0"
"O-700114105745694","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/22/21","7:34 PM","18.74","0","0.00","1.45","0","20.19","-4.69","0","-0.92","0","0"
"O-298214104217820","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/23/21","2:30 PM","30.97","0","4.99","2.79","3.88","42.63","-8.99","0","-1.60","0","0"
"O-817714095532492","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/22/21","11:30 AM","19.74","0","0.00","1.53","0","21.27","-4.94","0","-0.95","0","0"
"O-212713968473103","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/8/21","9:12 PM","30.73","0","2.99","2.61","5.45","41.78","-8.43","0","-1.57","0","0"
"O-732014148133317","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/26/21","6:13 PM","17.71","0","1.99","1.52","0","21.22","-4.93","0","-0.95","0","0"
"O-985314052456889","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/18/21","1:52 PM","37.95","0","1.99","2.70","4.26","46.90","-9.99","0","-1.58","0","-5.00"
"O-563214014534540","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/13/21","5:35 PM","35.98","0","0.00","2.79","3.00","41.77","-9.00","0","-1.57","0","0"
"O-619813954968039","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/7/21","6:12 PM","17.99","0","0.00","1.39","1.00","20.38","-4.50","0","-0.92","0","0"
"O-254314183406517","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/30/21","6:53 PM","37.72","0","6.99","3.46","6.02","54.19","-11.18","0","-1.95","0","0"
"O-735713979624664","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/9/21","8:49 PM","53.04","0","6.99","4.65","9.70","74.38","-15.01","0","-2.57","0","0"
"O-166713914774325","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/3/21","7:53 PM","15.73","0","2.99","1.45","2.00","22.17","-4.68","0","-0.98","0","0"
"T-AwAAD06iyEIy0FBBEeu38VnY6rRWBQ","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","GH Credit for Smart Promotions","1/6/21","9:08 AM","0","0","0.00","0.00","0","100.00","0","0","0","0","0"
"O-336114164592831","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/28/21","5:49 PM","41.97","0","4.99","3.64","7.59","58.19","-11.74","0","-2.07","0","0"
"O-727413893568213","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/1/21","5:36 PM","46.87","0","2.99","3.86","8.05","61.77","-12.47","0","-2.18","0","0"
"O-588914008755624","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/12/21","5:38 PM","19.97","0","0.00","1.55","0","21.52","-4.99","0","-0.96","0","0"
