Statement Date:,,,2/28/21,,,Merchant ID:,4445028946467,,
Statement Period:,,,2/01/21 - 2/28/21,,,Merchant Name:,Aroma Pizza and Pasta - Lake Forest,,
,,,,,,Merchant Address:,20491 Alton Parkway,,
,,,,,,,"Lake Forest, CA 92610",,
Card Processing - Visa / MasterCard / Discover / Amex,,,,,,,,,
Type,Rate,Payments,,Refunds,,Fees Collected,Fee Adjustments,Fees Adjusted,Net
V/MC/D,2.0523% + 0.15,623,"$13,961.41",0,$0.00,$379.88,$0.10,$379.98,"$13,581.43"
V/MC/D (Keyed),2.449% + 0.15,209,"$9,195.62",0,$0.00,$256.55,$0.00,$256.55,"$8,939.07"
Amex,2.9469% + 0.15,37,$912.10,0,$0.00,$32.44,-$0.01,$32.43,$879.67
Amex (Keyed),3.4847% + 0.15,19,$792.45,0,$0.00,$30.46,$0.00,$30.46,$761.99
Total,,888,"$24,861.58",0,$0.00,$699.33,$0.09,$699.42,"$24,162.16"
Credit Card Batches,,,,,,,,,
Settled Date,,Batch Date,,,Payments,Refunds,Fees,Net (Dep),
2/1/2021,,1/30/2021 9:44 PM,,,185.48,0.00,5.45,180.03,
,,1/30/2021 9:44 PM,,,885.60,0.00,24.66,860.94,
,,1/31/2021 9:46 PM,,,125.83,0.00,3.53,122.30,
2/2/2021,,1/31/2021 9:46 PM,,,612.80,0.00,18.04,594.76,
,,2/1/2021 7:28 AM,,,146.23,0.00,4.03,142.20,
2/3/2021,,2/1/2021 9:51 PM,,,42.37,0.00,1.19,41.18,
,,2/1/2021 9:51 PM,,,405.56,0.00,11.32,394.24,
2/4/2021,,2/2/2021 9:40 PM,,,35.94,0.00,1.03,34.91,
,,2/2/2021 9:40 PM,,,723.80,0.00,20.39,703.41,
2/5/2021,,2/3/2021 9:37 PM,,,107.91,0.00,2.94,104.97,
,,2/3/2021 9:37 PM,,,430.53,0.00,11.73,418.80,
2/6/2021,,2/4/2021 9:42 PM,,,428.97,0.00,12.14,416.83,
,,2/5/2021 7:45 AM,,,21.53,0.00,0.68,20.85,
2/7/2021,,2/5/2021 9:53 PM,,,"1,120.21",0.00,31.59,"1,088.62",
,,2/5/2021 9:53 PM,,,113.98,0.00,3.40,110.58,
,,2/6/2021 9:57 PM,,,633.82,0.00,18.46,615.36,
2/8/2021,,2/6/2021 9:57 PM,,,114.82,0.00,3.42,111.40,
2/9/2021,,2/7/2021 9:44 PM,,,"1,354.09",0.00,36.19,"1,317.90",
,,2/7/2021 9:44 PM,,,118.26,0.00,3.19,115.07,
2/10/2021,,2/8/2021 9:36 PM,,,343.31,0.00,10.04,333.27,
2/11/2021,,2/9/2021 9:29 PM,,,511.97,0.00,14.49,497.48,
,,2/9/2021 9:29 PM,,,81.36,0.00,2.44,78.92,
2/12/2021,,2/10/2021 9:34 PM,,,131.38,0.00,3.81,127.57,
,,2/10/2021 9:34 PM,,,448.45,0.00,13.25,435.20,
,,2/11/2021 7:48 AM,,,36.34,0.00,1.42,34.92,
2/13/2021,,2/11/2021 9:35 PM,,,542.40,0.00,15.71,526.69,
,,2/11/2021 9:35 PM,,,173.47,0.00,4.99,168.48,
,,2/12/2021 4:44 AM,,,102.26,0.00,2.80,99.46,
2/14/2021,,2/12/2021 9:49 PM,,,748.34,0.00,20.73,727.61,
,,2/12/2021 9:49 PM,,,361.70,0.00,10.85,350.85,
2/15/2021,,2/13/2021 9:45 PM,,,216.49,0.00,6.34,210.15,
,,2/13/2021 9:45 PM,,,613.65,0.00,17.31,596.34,
2/16/2021,,2/14/2021 8:42 PM,,,482.24,0.00,13.16,469.08,
,,2/14/2021 8:42 PM,,,"1,230.12",0.00,32.43,"1,197.69",
,,2/14/2021 9:58 PM,,,72.60,0.00,1.79,70.81,
2/17/2021,,2/15/2021 9:48 PM,,,586.25,0.00,16.13,570.12,
,,2/15/2021 9:48 PM,,,262.37,0.00,8.64,253.73,
,,2/16/2021 8:44 AM,,,11.84,0.00,0.44,11.40,
2/18/2021,,2/16/2021 9:36 PM,,,498.85,0.00,13.39,485.46,
,,2/17/2021 8:22 AM,,,4.83,0.00,0.25,4.58,
,,2/17/2021 8:22 AM,,,33.91,0.00,0.98,32.93,
,,2/17/2021 9:36 PM,,,126.01,0.00,3.54,122.47,
2/19/2021,,2/17/2021 9:36 PM,,,326.50,0.00,10.69,315.81,
2/20/2021,,2/18/2021 9:47 PM,,,287.58,0.00,8.40,279.18,
,,2/18/2021 9:47 PM,,,562.12,0.00,15.92,546.20,

2/21/2021,2/19/2021 9:54 PM,"1,002.40",0.00,27.96,974.44
,2/19/2021 9:54 PM,388.50,0.00,11.76,376.74
2/22/2021,2/20/2021 9:48 PM,976.37,0.00,25.15,951.22
,2/20/2021 9:48 PM,176.15,0.00,5.21,170.94
2/23/2021,2/21/2021 9:24 PM,185.28,0.00,5.28,180.00
,2/21/2021 9:24 PM,758.47,0.00,20.98,737.49
,2/21/2021 10:01 PM,65.59,0.00,1.65,63.94
2/24/2021,2/22/2021 9:41 PM,376.12,0.00,11.40,364.72
,2/22/2021 9:41 PM,31.97,0.00,0.93,31.04
,2/23/2021 7:24 AM,43.06,0.00,1.20,41.86
2/25/2021,2/23/2021 9:43 PM,239.75,0.00,6.92,232.83
,2/23/2021 9:43 PM,355.29,0.00,11.26,344.03
2/26/2021,2/24/2021 9:48 PM,464.72,0.00,12.59,452.13
,2/24/2021 9:48 PM,202.96,0.00,5.72,197.24
,2/25/2021 4:38 AM,39.84,0.00,1.13,38.71
2/27/2021,2/25/2021 9:44 PM,487.11,0.00,13.72,473.39
,2/25/2021 9:44 PM,361.64,0.00,10.82,350.82
2/28/2021,2/26/2021 10:06 PM,"1,798.98",0.00,48.02,"1,750.96"
,2/26/2021 10:06 PM,503.31,0.00,14.31,489.00
,Total,"24,861.58",0.00,699.33,"24,162.25"

Summary,
Previous Credit Card Balance,1.81
Monthly Adjustments,-0.09
Payments,-1.81
Credit Card Balance,-0.09
