,,,,,Aroma Pizza,,,,& Pasta,,
,,,,,Start Date,,,,2/1/2021,,
,,,,,End Date,,,,3/1/2021,,
,,,,,Prepaid Total,,,,$83.31,,
,,,,,Taxes Withheld,,,,$6.04,,
,Orders,,Subtotal,Tax,,Delivery,,Tip,,Total,
Card,3,,$74.92,$0.00,,$2.99,,$5.40,,$83.31,
Cash,0,,$0.00,$0.00,,$0.00,,-,,$0.00,
Total,3,,$74.92,$0.00,,$2.99,,$5.40,,$83.31,
,,,Charge,,,,,,,Note,
Prepaid Total,,,$83.31,,,,,,,,
Commission (Comm),,,($12.50),,,,,,,,
Processing (Proc),,,($3.61),,,,,,,,
Total Charges,,,($16.11),,,,,,,,
2/7/2021,,,,ID,,Tip,Total,Proc,,Comm,
1:26,PM,Takeout,CARD,25889437,,$3.00,$36.49,$1.49,,$5.47,
2/14/2021,,,,ID,,Tip,Total,Proc,,Comm,
12:16,PM,Delivery,CARD,26030632,,$2.40,$21.38,$0.99,,$3.21,
2/17/2021,,,,ID,,Tip,Total,Proc,,Comm,
5:43,PM,Takeout,CARD,26097190,,$0.00,$25.44,$1.13,,$3.82,
Phone: (866) 654-8777     Email: support@eatstreet.com,,,,,,,,,,,
