,"902 Broadway New York, NY 10010",Aroma Pizza & Pasta,,
,"Activity Period: Mon Feb 1, 2021 to Sun","20491 Alton Pkwy, Lake Forest CA, 92630",,
,"Feb 28, 2021",Account ID: 15639,,
,W-9 form reminder,,,
,"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t",,,
,"already, return them asap. Talk to your Account Manager or email Partner@SliceLife.com",,,
Summary of Your Activity,,,"From February 1, 2021 to February 28,",
Prepaid orders,,"$3,942.91","2021, your restaurant made $4,011.05 with
Slice.",
131 orders,,"$4,742.92",Activity Details,
Processing fee,,-$189.89,,
Slice partnership fee,,-$294.75,"Net Sales
Taxes","$3,816.58
$314.79"
Sales tax withholding,,-$315.37,Sales Tax Withholding,-$315.37
"8 Slice
Adjustments",,$68.14,"Cust. Delivery fee
Tips
Slice Adjustments","$201.47
$402.02
$68.14"
"TOTAL OF 131
ORDERS",$0.00,"$4,011.05",Slice Fees,-$484.64
,"Paid directly by
your custom ers",Total Earnings,Total Earnings,"$4,011.05"
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not,,,,
correspond to a payment. The amounts on this report are,,,,
for your reference and reporting needs. Please refer to your,,,,
official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

"902 Broadway New York, NY 10010",,,,,Aroma Pizza & Pasta,,,,,,
"Activity Period: Mon Feb 1, 2021 to Sun",,,,,"20491 Alton Pkwy, Lake Forest CA, 92630",,,,,,
"Feb 28, 2021",,,,,Account ID: 15639,,,,,,
Transactions,,,,,,,,,,,
,,,,,Cust.,,,,,,
,,Order,Pickup,,,Order,,,Order,P'ship,Proc.
Date & Time,Order ID,,,Subtotal,Delivery,,Tax,Tips,,,
,,Type,Delivery,,,Adjust.,,,Total,Fee,Fee
,,,,,Fee,,,,,,
"Feb 01, 2021
Monday
5:06pm",40818302,Credit,Delivery,$17.82,$1.99,$0.00,$1.54,$4.46,$25.88,-$2.25,-$1.04
"Feb 01, 2021
Monday
8:05pm",40821937,Credit,Pickup,$27.99,$0.00,-$0.01,$2.17,$3.00,$33.22,-$2.25,-$1.33
"Feb 02, 2021
Tuesday
5:25pm",40856496,Credit,Delivery,$39.24,$1.99,$0.00,$3.20,$5.89,$50.32,-$2.25,-$2.01
"Feb 02, 2021
Tuesday
5:32pm",40856764,Credit,Pickup,$25.97,$0.00,$0.00,$2.01,$0.00,$27.98,-$2.25,-$1.12
"Feb 03, 2021
Wednesday
3:16pm",40886695,Credit,Pickup,$15.00,$0.00,-$0.01,$1.16,$0.00,$16.23,-$2.25,-$0.65
"Feb 03, 2021
Wednesday
7:03pm",40901784,Credit,Pickup,$73.32,$0.00,-$0.01,$5.68,$7.33,$86.32,-$2.25,-$3.45
"Feb 03, 2021
Wednesday
7:59pm",40902484,Credit,Delivery,$21.98,$1.99,$0.00,$1.86,$3.30,$29.13,-$2.25,-$1.17
"Feb 04, 2021
Thursday
3:02pm",40928025,Credit,Pickup,$18.97,$0.00,$0.00,$1.47,$5.00,$25.51,-$2.25,-$1.02
"Feb 04, 2021
Thursday
7:29pm",40947616,Credit,Pickup,$11.99,$0.00,$0.00,$0.93,$2.00,$14.99,-$2.25,-$0.60
"Feb 05, 2021
Friday
10:26am",40956946,Credit,Pickup,$34.47,$0.00,$0.00,$2.67,$5.17,$42.39,-$2.25,-$1.70
"Feb 05, 2021
Friday
11:44am",40959892,Credit,Pickup,$25.98,$0.00,$0.00,$2.01,$5.00,$32.99,-$2.25,-$1.32
"Feb 05, 2021
Friday
11:44am",40959902,Credit,Pickup,$15.00,$0.00,-$0.01,$1.16,$2.25,$18.48,-$2.25,-$0.74
"Feb 05, 2021
Friday
5:06pm",41021175,Credit,Pickup,$10.99,$0.00,$0.00,$0.85,$1.10,$13.02,-$2.25,-$0.52
"Feb 05, 2021",,,,,,,,,,,
Friday,41022231,Credit,Pickup,$43.56,$0.00,$0.00,$3.38,$0.00,$47.01,-$2.25,-$1.88
5:13pm,,,,,,,,,,,

"Feb 05, 2021
Friday
5:25pm",41023674,Credit,Pickup,$10.99,$0.00,$0.00,$0.85,$0.00,$11.84,-$2.25,-$0.47
"Feb 05, 2021
Friday
5:27pm",41023960,Credit,Pickup,$19.48,$0.00,$0.00,$1.51,$1.95,$23.01,-$2.25,-$0.72
"Feb 05, 2021
Friday
5:39pm",41025191,Credit,Delivery,$30.48,$14.99,$0.00,$3.52,$5.06,$54.05,-$2.25,-$1.76
"Feb 05, 2021
Friday
5:56pm",41026841,Credit,Pickup,$25.00,$0.00,-$0.01,$1.94,$0.00,$27.00,-$2.25,-$1.08
"Feb 05, 2021
Friday
6:59pm",41030844,Credit,Pickup,$24.27,$0.00,$0.00,$1.88,$4.00,$30.22,-$2.25,-$1.01
"Feb 05, 2021
Friday
7:57pm",41032506,Credit,Pickup,$25.50,$0.00,$0.00,$1.98,$0.00,$27.55,-$2.25,-$1.10
"Feb 05, 2021
Friday
8:22pm",41032908,Credit,Pickup,$25.88,$0.00,$0.00,$2.01,$3.88,$31.84,-$2.25,-$1.07
"Feb 05, 2021
Friday
9:01pm",41033333,Credit,Pickup,$23.99,$0.00,-$0.01,$1.86,$0.00,$25.84,-$2.25,-$1.03
"Feb 06, 2021
Saturday
3:46pm",41077405,Credit,Pickup,$34.49,$0.00,$0.00,$2.67,$0.00,$37.24,-$2.25,-$1.49
"Feb 06, 2021
Saturday
5:39pm",41092344,Credit,Delivery,$33.73,$1.99,$0.00,$2.77,$5.06,$43.55,-$2.25,-$1.74
"Feb 06, 2021
Saturday
5:51pm",41093324,Credit,Pickup,$52.85,$0.00,$0.00,$4.10,$0.00,$57.02,-$2.25,-$2.28
"Feb 06, 2021
Saturday
6:06pm",41094423,Credit,Pickup,$40.26,$0.00,$0.00,$3.12,$0.00,$43.45,-$2.25,-$1.74
"Feb 06, 2021
Saturday
6:23pm",41095504,Credit,Delivery,$44.96,$1.99,$0.00,$3.64,$6.74,$57.33,-$2.25,-$2.29
"Feb 06, 2021
Saturday
7:17pm",41097581,Credit,Delivery,$34.97,$4.99,$0.00,$3.10,$5.25,$48.38,-$2.25,-$1.94
"Feb 06, 2021
Saturday
7:39pm",41098142,Credit,Pickup,$33.57,$0.00,$0.00,$2.60,$0.00,$36.25,-$2.25,-$1.45
"Feb 07, 2021
Sunday
12:02pm",41116304,Credit,Pickup,$31.98,$0.00,$0.00,$2.48,$0.00,$34.46,-$2.25,-$1.38
"Feb 07, 2021",,,,,,,,,,,
Sunday,41122512,Credit,Delivery,$45.44,$4.99,$0.00,$3.91,$20.00,$74.34,-$2.25,-$2.97
1:04pm,,,,,,,,,,,

"Feb 07, 2021
Sunday
1:51pm",41129996,Credit,Pickup,$29.73,$0.00,$0.00,$2.30,$0.00,$32.03,-$2.25,-$1.28
"Feb 07, 2021
Sunday
4:07pm",41156774,Credit,Delivery,$15.98,$2.99,$0.00,$1.47,$2.40,$22.91,-$2.25,-$0.92
"Feb 09, 2021
Tuesday
5:16pm",41234495,Credit,Delivery,$41.98,$1.99,-$0.01,$3.41,$6.30,$53.67,-$2.25,-$2.15
"Feb 10, 2021
Wednesday
5:05pm",41274258,Credit,Pickup,$22.98,$0.00,$0.00,$1.78,$0.00,$24.76,-$2.25,-$0.99
"Feb 10, 2021
Wednesday
6:14pm",41277306,Credit,Delivery,$38.73,$2.99,$0.00,$3.23,$5.81,$50.76,-$2.25,-$2.03
"Feb 11, 2021
Thursday
11:16am",41287819,Credit,Pickup,$18.48,$0.00,$0.00,$1.43,$3.70,$23.69,-$2.25,-$0.95
"Feb 11, 2021
Thursday
4:42pm",41317449,Credit,Delivery,$20.34,$1.99,$0.00,$1.73,$3.05,$27.11,-$2.25,-$1.08
"Feb 11, 2021
Thursday
5:53pm",41321949,Credit,Delivery,$45.55,$1.99,$0.00,$3.68,$9.11,$60.33,-$2.25,-$2.41
"Feb 11, 2021
Thursday
6:39pm",41323567,Credit,Delivery,$25.23,$6.99,$0.00,$2.50,$3.78,$38.50,-$2.25,-$1.54
"Feb 12, 2021
Friday
12:56pm",41340786,Credit,Delivery,$17.98,$4.99,$0.00,$1.78,$2.70,$27.45,-$2.25,-$1.10
"Feb 12, 2021
Friday
4:22pm",41388616,Credit,Pickup,$45.97,$0.00,$0.00,$3.56,$6.90,$56.51,-$2.25,-$2.26
