Statement Date:,,,3/31/21,,,Merchant ID:,4445028946467,,
Statement Period:,,,3/01/21 - 3/31/21,,,Merchant Name:,Aroma Pizza and Pasta - Lake Forest,,
,,,,,,Merchant Address:,20491 Alton Parkway,,
,,,,,,,"Lake Forest, CA 92610",,
Card Processing - Visa / MasterCard / Discover / Amex,,,,,,,,,
Type,Rate,Payments,,Refunds,,Fees Collected,Fee Adjustments,Fees Adjusted,Net
V/MC/D,2.0523% + 0.15,769,"$20,189.62",0,$0.00,$529.69,$0.01,$529.70,"$19,659.92"
V/MC/D (Keyed),2.449% + 0.15,272,"$12,026.32",0,$0.00,$335.32,$0.00,$335.32,"$11,691.00"
Amex,2.9469% + 0.15,43,"$1,230.10",0,$0.00,$42.74,-$0.04,$42.70,"$1,187.40"
Amex (Keyed),3.4847% + 0.15,23,$807.19,0,$0.00,$31.59,-$0.01,$31.58,$775.61
Total,,1107,"$34,253.23",0,$0.00,$939.34,-$0.04,$939.30,"$33,313.93"
Credit Card Batches,,,,,,,,,
Settled Date,,Batch Date,,,Payments,Refunds,Fees,Net (Dep),
3/1/2021,,2/27/2021 9:58 PM,,,372.16,0.00,10.62,361.54,
,,2/27/2021 9:58 PM,,,950.13,0.00,27.03,923.10,
,,2/28/2021 9:49 PM,,,200.12,0.00,5.75,194.37,
3/2/2021,,2/28/2021 9:49 PM,,,823.73,0.00,21.95,801.78,
,,3/1/2021 4:39 AM,,,49.78,0.00,1.37,48.41,
3/3/2021,,3/1/2021 9:59 PM,,,83.67,0.00,3.00,80.67,
,,3/1/2021 9:59 PM,,,377.99,0.00,11.19,366.80,
,,3/2/2021 8:12 AM,,,56.79,0.00,1.87,54.92,
3/4/2021,,3/2/2021 9:45 PM,,,523.77,0.00,13.90,509.87,
3/5/2021,,3/3/2021 9:35 PM,,,108.14,0.00,3.37,104.77,
,,3/3/2021 9:35 PM,,,673.89,0.00,19.05,654.84,
,,3/4/2021 4:48 AM,,,100.48,0.00,2.91,97.57,
3/6/2021,,3/4/2021 9:44 PM,,,666.70,0.00,18.61,648.09,
,,3/4/2021 9:44 PM,,,44.48,0.00,1.62,42.86,
3/7/2021,,3/5/2021 9:53 PM,,,"1,314.38",0.00,36.19,"1,278.19",
,,3/5/2021 9:53 PM,,,438.46,0.00,12.59,425.87,
3/8/2021,,3/6/2021 9:58 PM,,,"2,311.11",0.00,53.40,"2,257.71",
,,3/6/2021 9:58 PM,,,118.78,0.00,3.21,115.57,
3/9/2021,,3/7/2021 9:59 PM,,,537.38,0.00,15.30,522.08,
,,3/7/2021 9:59 PM,,,61.27,0.00,1.80,59.47,
,,3/8/2021 6:10 AM,,,97.64,0.00,2.99,94.65,
3/10/2021,,3/8/2021 9:54 PM,,,492.25,0.00,14.14,478.11,
,,3/8/2021 9:54 PM,,,116.94,0.00,3.31,113.63,
,,3/9/2021 5:10 AM,,,93.88,0.00,2.60,91.28,
3/11/2021,,3/9/2021 9:45 PM,,,634.12,0.00,15.66,618.46,
,,3/9/2021 9:45 PM,,,32.31,0.00,0.94,31.37,
3/12/2021,,3/10/2021 9:30 PM,,,552.64,0.00,14.88,537.76,
,,3/10/2021 9:30 PM,,,125.05,0.00,3.51,121.54,
,,3/11/2021 9:39 PM,,,226.15,0.00,6.58,219.57,
3/13/2021,,3/11/2021 9:39 PM,,,569.93,0.00,15.84,554.09,
,,3/12/2021 10:03 PM,,,459.40,0.00,13.34,446.06,
3/14/2021,,3/12/2021 10:03 PM,,,"1,546.95",0.00,41.64,"1,505.31",
,,3/13/2021 9:54 PM,,,929.65,0.00,24.65,905.00,
3/15/2021,,3/13/2021 9:54 PM,,,505.13,0.00,14.16,490.97,
3/16/2021,,3/14/2021 9:49 PM,,,543.14,0.00,16.08,527.06,
,,3/14/2021 9:49 PM,,,161.45,0.00,4.54,156.91,
,,3/15/2021 4:30 AM,,,138.35,0.00,3.98,134.37,
3/17/2021,,3/15/2021 9:54 PM,,,339.78,0.00,10.20,329.58,
,,3/15/2021 9:54 PM,,,126.99,0.00,3.72,123.27,
,,3/16/2021 5:19 AM,,,36.32,0.00,1.04,35.28,
3/18/2021,,3/16/2021 9:36 PM,,,637.65,0.00,17.16,620.49,
,,3/16/2021 9:36 PM,,,169.82,0.00,5.13,164.69,
,,3/18/2021 6:50 AM,,,27.13,0.00,0.81,26.32,
3/19/2021,,3/18/2021 6:50 AM,,,715.38,0.00,19.19,696.19,
3/20/2021,,3/18/2021 9:46 PM,,,782.60,0.00,21.19,761.41,

,3/18/2021 9:46 PM,31.89,0.00,1.26,30.63
,3/18/2021 9:50 PM,66.23,0.00,1.77,64.46
,3/19/2021 8:53 AM,107.74,0.00,2.94,104.80
3/21/2021,3/19/2021 10:00 PM,"2,198.21",0.00,57.75,"2,140.46"
,3/19/2021 10:00 PM,761.61,0.00,22.82,738.79
3/22/2021,3/20/2021 9:47 PM,480.47,0.00,12.97,467.50
,3/20/2021 9:47 PM,986.98,0.00,27.75,959.23
3/23/2021,3/21/2021 10:08 PM,934.06,0.00,24.79,909.27
,3/21/2021 10:08 PM,210.61,0.00,5.90,204.71
,3/22/2021 8:14 AM,22.75,0.00,0.71,22.04
,3/22/2021 8:14 AM,52.32,0.00,1.59,50.73
,3/22/2021 9:42 PM,17.00,0.00,0.57,16.43
3/24/2021,3/22/2021 9:42 PM,829.57,0.00,22.77,806.80
3/25/2021,3/23/2021 9:39 PM,111.04,0.00,3.32,107.72
,3/23/2021 9:39 PM,497.31,0.00,14.28,483.03
,3/23/2021 9:41 PM,23.69,0.00,0.73,22.96
,3/24/2021 4:59 AM,12.92,0.00,0.47,12.45
3/26/2021,3/24/2021 9:41 PM,148.16,0.00,4.08,144.08
,3/24/2021 9:41 PM,665.58,0.00,18.45,647.13
,3/25/2021 8:00 AM,32.83,0.00,0.95,31.88
3/27/2021,3/25/2021 9:45 PM,"1,068.60",0.00,29.08,"1,039.52"
,3/25/2021 9:45 PM,116.01,0.00,3.60,112.41
,3/26/2021 8:36 AM,53.35,0.00,1.76,51.59
,3/26/2021 10:03 PM,"1,293.77",0.00,36.07,"1,257.70"
3/28/2021,3/26/2021 10:03 PM,407.17,0.00,11.77,395.40
,3/27/2021 9:53 PM,659.88,0.00,18.11,641.77
3/29/2021,3/27/2021 9:53 PM,400.43,0.00,11.01,389.42
,3/28/2021 9:42 PM,181.15,0.00,5.18,175.97
3/30/2021,3/28/2021 9:42 PM,"1,039.20",0.00,26.85,"1,012.35"
,3/29/2021 4:32 AM,32.46,0.00,0.94,31.52
3/31/2021,3/30/2021 4:55 AM,723.83,0.00,20.83,703.00
,3/30/2021 4:55 AM,212.55,0.00,6.26,206.29
,Total,"34,253.23",0.00,939.34,"33,313.89"

Summary,
Previous Credit Card Balance,-0.09
Monthly Adjustments,0.04
Payments,0.00
Credit Card Balance,-0.05
