"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-640814523529093","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/5/21","6:30 PM","48.95","0","1.99","3.94","10.98","65.86","-12.74","0","-2.31","0"
"O-244114752639407","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/28/21","8:37 PM","69.21","0","0.00","5.36","11.18","85.75","-17.30","0","-2.92","0"
"O-933614736265590","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/26/21","7:40 PM","15.99","0","0.00","1.24","0","17.23","-4.00","0","-0.83","0"
"O-997214754743362","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/28/21","6:27 PM","40.24","0","4.99","3.51","9.75","58.49","-11.31","0","-2.08","0"
"O-842614669460996","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/19/21","9:50 PM","17.98","0","4.99","1.78","3.71","28.46","-5.74","0","-1.17","0"
"O-892314496219371","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/3/21","11:00 AM","22.58","0","0.00","1.75","0","24.33","-5.65","0","-1.04","0"
"O-113214604930377","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/14/21","6:00 PM","32.97","0","4.99","2.95","4.09","45.00","-9.49","0","-1.67","0"
"O-933614686285386","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/21/21","6:04 PM","30.72","0","2.99","2.61","5.45","41.77","-8.43","0","-1.57","0"
"O-997214644741898","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/17/21","6:10 PM","31.97","0","4.99","2.87","5.97","45.80","-9.24","0","-1.70","0"
"O-842614499476776","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/3/21","3:18 PM","34.97","0","0.00","2.71","0","37.68","-8.74","0","-1.45","0"
"O-463714520362709","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/5/21","6:52 PM","10.49","0","0.00","0.81","0","11.30","-2.62","0","-0.64","0"
"O-665014580300050","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/12/21","4:05 PM","16.99","0","4.99","1.71","3.55","27.24","-5.50","0","-1.13","0"
"O-768814718950242","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/24/21","5:45 PM","16.98","0","1.99","1.47","3.07","23.51","-4.74","0","-1.02","0"
