"Facility","Brand","Source","Date","Total Orders","Total Revenue"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-07","3","$96.17"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-03-07","1","$12.98"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-07","3","$96.38"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-07","3","$113.77"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-07","11","$531.65"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-07","2","$54.49"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-07","2","$57.93"
"Aroma Pizza - Lake Forest","The Wings Shack","ubereats","2021-03-07","1","$51.97"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-03-07","1","$32.97"
"Aroma Pizza - Lake Forest","The Italian Brothers","doordash","2021-03-07","1","$34.97"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-07","4","$228.80"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-07","17","$460.76"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-07","12","$545.64"
"Aroma Pizza - Lake Forest","The Italian Brothers","doordash","2021-03-08","1","$17.98"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-08","2","$53.96"
"Aroma Pizza - Lake Forest","The Wings Shack","ubereats","2021-03-08","1","$73.91"
"Aroma Pizza - Lake Forest","The Wings Shack","doordash","2021-03-08","1","$101.93"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-08","4","$94.49"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-08","2","$56.33"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-08","3","$90.23"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-08","3","$92.17"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-08","9","$216.91"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-03-08","2","$80.89"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-08","12","$290.71"
"Aroma Pizza - Lake Forest","The Wings Shack","grubhub","2021-03-08","1","$17.98"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-09","3","$69.41"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-09","4","$90.65"
"Aroma Pizza - Lake Forest","The Italian Brothers","doordash","2021-03-09","2","$112.91"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-09","2","$49.96"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-09","4","$83.40"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-09","17","$494.43"
"Aroma Pizza - Lake Forest","The Wings Shack","ubereats","2021-03-09","1","$20.98"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-03-09","1","$13.99"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-09","1","$26.98"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-09","2","$64.93"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-09","4","$123.41"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-09","1","$17.98"
"Aroma Pizza - Lake Forest","Trattoria Contadina","postmates","2021-03-10","1","$54.93"
