Statement Date:,,,4/30/21,,,Merchant ID:,4445028946467,,
Statement Period:,,,4/01/21 - 4/30/21,,,Merchant Name:,Aroma Pizza and Pasta - Lake Forest,,
,,,,,,Merchant Address:,20491 Alton Parkway,,
,,,,,,,"Lake Forest, CA 92610",,
Card Processing - Visa / MasterCard / Discover / Amex,,,,,,,,,
Type,Rate,Payments,,Refunds,,Fees Collected,Fee Adjustments,Fees Adjusted,Net
V/MC/D,2.0523% + 0.15,775,"$18,772.73",0,$0.00,$501.52,$0.00,$501.52,"$18,271.21"
V/MC/D (Keyed),2.449% + 0.15,230,"$10,656.99",0,$0.00,$295.54,-$0.05,$295.49,"$10,361.50"
Amex,2.9469% + 0.15,34,$808.71,0,$0.00,$28.94,-$0.01,$28.93,$779.78
Amex (Keyed),3.4847% + 0.15,29,"$1,368.44",0,$0.00,$52.04,$0.00,$52.04,"$1,316.40"
Total,,1068,"$31,606.87",0,$0.00,$878.04,-$0.06,$877.98,"$30,728.89"
Credit Card Batches,,,,,,,,,
Settled Date,,Batch Date,,,Payments,Refunds,Fees,Net (Dep),
,,3/30/2021 9:53 PM,,,90.39,0.00,2.82,87.57,
4/1/2021,,3/30/2021 9:53 PM,,,731.26,0.00,20.10,711.16,
,,3/31/2021 9:43 PM,,,155.05,0.00,4.40,150.65,
4/2/2021,,3/31/2021 9:43 PM,,,614.22,0.00,18.00,596.22,
,,4/1/2021 8:04 AM,,,55.17,0.00,2.05,53.12,
4/3/2021,,4/1/2021 9:41 PM,,,759.80,0.00,21.32,738.48,
,,4/1/2021 9:41 PM,,,192.46,0.00,6.18,186.28,
,,4/2/2021 4:40 AM,,,127.71,0.00,3.43,124.28,
4/4/2021,,4/2/2021 9:47 PM,,,762.44,0.00,20.70,741.74,
,,4/2/2021 9:47 PM,,,214.32,0.00,6.15,208.17,
,,4/3/2021 9:54 PM,,,905.95,0.00,23.95,882.00,
4/5/2021,,4/3/2021 9:54 PM,,,465.48,0.00,13.20,452.28,
,,4/4/2021 9:47 PM,,,200.16,0.00,5.66,194.50,
4/6/2021,,4/4/2021 9:47 PM,,,928.06,0.00,24.78,903.28,
,,4/5/2021 7:20 AM,,,16.15,0.00,0.71,15.44,
4/7/2021,,4/5/2021 9:37 PM,,,477.73,0.00,13.15,464.58,
,,4/5/2021 9:37 PM,,,163.82,0.00,4.75,159.07,
,,4/6/2021 9:40 PM,,,62.51,0.00,1.68,60.83,
4/8/2021,,4/6/2021 9:40 PM,,,281.26,0.00,7.89,273.37,
,,4/7/2021 6:46 AM,,,68.52,0.00,1.98,66.54,
4/9/2021,,4/7/2021 9:43 PM,,,537.07,0.00,15.17,521.90,
,,4/7/2021 9:43 PM,,,100.11,0.00,3.81,96.30,
4/10/2021,,4/8/2021 9:53 PM,,,849.80,0.00,25.39,824.41,
,,4/8/2021 9:53 PM,,,217.37,0.00,6.07,211.30,
,,4/9/2021 5:34 AM,,,72.90,0.00,2.09,70.81,
,,4/9/2021 9:49 PM,,,270.36,0.00,7.93,262.43,
4/11/2021,,4/9/2021 9:49 PM,,,"1,692.22",0.00,46.70,"1,645.52",
,,4/10/2021 9:39 PM,,,191.90,0.00,5.31,186.59,
4/12/2021,,4/10/2021 9:39 PM,,,"1,148.30",0.00,31.76,"1,116.54",
4/13/2021,,4/11/2021 9:47 PM,,,95.59,0.00,2.64,92.95,
,,4/11/2021 9:47 PM,,,683.40,0.00,18.92,664.48,
,,4/12/2021 4:39 AM,,,56.72,0.00,1.69,55.03,
4/14/2021,,4/12/2021 9:39 PM,,,557.14,0.00,15.13,542.01,
,,4/12/2021 9:39 PM,,,48.77,0.00,1.49,47.28,
,,4/13/2021 7:41 AM,,,94.97,0.00,2.78,92.19,
,,4/13/2021 9:51 PM,,,333.90,0.00,9.72,324.18,
4/15/2021,,4/13/2021 9:51 PM,,,176.86,0.00,4.94,171.92,
,,4/14/2021 9:31 PM,,,529.89,0.00,14.27,515.62,
4/16/2021,,4/14/2021 9:31 PM,,,248.61,0.00,7.51,241.10,
,,4/15/2021 7:23 AM,,,32.29,0.00,0.94,31.35,
,,4/15/2021 7:23 AM,,,152.22,0.00,3.88,148.34,
4/17/2021,,4/15/2021 9:35 PM,,,633.59,0.00,18.47,615.12,
,,4/15/2021 9:35 PM,,,89.08,0.00,2.63,86.45,
,,4/16/2021 6:51 AM,,,100.57,0.00,2.61,97.96,
4/18/2021,,4/16/2021 9:50 PM,,,588.12,0.00,18.12,570.00,

,4/16/2021 9:50 PM,"1,721.85",0.00,45.84,"1,676.01"
4/19/2021,4/17/2021 9:44 PM,170.89,0.00,4.79,166.10
,4/17/2021 9:44 PM,669.28,0.00,17.85,651.43
4/20/2021,4/18/2021 9:42 PM,232.93,0.00,6.98,225.95
,4/18/2021 9:42 PM,"1,084.37",0.00,28.69,"1,055.68"
,4/19/2021 4:32 AM,122.44,0.00,3.44,119.00
4/21/2021,4/19/2021 9:33 PM,617.30,0.00,16.25,601.05
,4/19/2021 9:33 PM,44.12,0.00,1.23,42.89
,4/20/2021 9:50 PM,419.83,0.00,12.55,407.28
4/22/2021,4/20/2021 9:50 PM,99.16,0.00,3.22,95.94
4/23/2021,4/21/2021 9:34 PM,85.61,0.00,2.39,83.22
,4/21/2021 9:34 PM,757.91,0.00,21.10,736.81
,4/22/2021 5:00 AM,86.06,0.00,2.81,83.25
4/24/2021,4/22/2021 9:31 PM,"1,530.05",0.00,39.73,"1,490.32"
,4/22/2021 9:31 PM,122.35,0.00,3.44,118.91
,4/23/2021 4:12 AM,212.11,0.00,5.34,206.77
,4/23/2021 4:12 AM,132.85,0.00,3.71,129.14
4/25/2021,4/23/2021 9:46 PM,960.90,0.00,27.10,933.80
,4/23/2021 9:46 PM,495.31,0.00,14.82,480.49
4/26/2021,4/24/2021 9:38 PM,177.49,0.00,4.80,172.69
,4/24/2021 9:38 PM,"1,455.42",0.00,37.67,"1,417.75"
4/27/2021,4/25/2021 9:41 PM,828.95,0.00,23.19,805.76
,4/25/2021 9:41 PM,119.73,0.00,3.08,116.65
,4/26/2021 4:54 AM,173.34,0.00,4.99,168.35
4/28/2021,4/26/2021 9:30 PM,558.15,0.00,15.95,542.20
,4/27/2021 4:26 AM,93.66,0.00,2.59,91.07
4/29/2021,4/27/2021 9:36 PM,714.42,0.00,19.20,695.22
,4/27/2021 9:36 PM,153.88,0.00,4.36,149.52
4/30/2021,4/28/2021 9:40 PM,241.97,0.00,6.67,235.30
,4/28/2021 9:40 PM,633.56,0.00,18.07,615.49
,4/29/2021 4:28 AM,116.77,0.00,3.32,113.45
,Total,"31,606.87",0.00,878.04,"30,728.83"

Summary,
Previous Credit Card Balance,-0.05
Monthly Adjustments,0.06
Payments,0.00
Credit Card Balance,0.01
