"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-471414929193024","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/14/21","6:23 PM","34.97","0","8.99","3.41","7.11","54.48","-10.99","0","-1.96","0"
"O-209614929658352","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/15/21","11:40 AM","10.99","0","0.00","0.85","1.18","13.02","-2.75","0","-0.70","0"
"O-643915082358263","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/30/21","7:04 PM","30.56","0","0.00","2.37","4.94","37.87","-7.64","0","-1.46","0"
"O-201214901331004","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/13/21","4:22 PM","37.46","0","1.99","3.05","6.37","48.87","-9.86","0","-1.79","0"
"O-976514824818923","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/4/21","7:36 PM","44.34","0","2.99","3.67","7.65","58.65","-11.83","0","-2.09","0"
"O-358814848429757","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/6/21","6:59 PM","30.27","0","1.99","2.50","10.00","44.76","-8.07","0","-1.67","0"
"O-628715018458122","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/23/21","6:03 PM","29.35","0","4.99","2.66","6.32","43.32","-8.59","0","-1.62","0"
"O-247115013227898","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/24/21","11:51 AM","67.51","0","8.99","5.93","10.91","93.34","-19.13","0","-3.15","0"
"O-209614939695672","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/15/21","9:48 PM","37.65","0","8.99","3.62","3.00","53.26","-11.66","0","-1.92","0"
"O-744214801585018","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/3/21","5:30 PM","22.97","0","4.99","2.17","4.87","35.00","-6.99","0","-1.37","0"
"O-643914982332724","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/21/21","12:23 PM","12.99","0","0.00","1.01","0","14.00","-3.25","0","-0.73","0"
"O-575614896951262","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/11/21","7:48 PM","37.75","0","1.99","3.08","0","42.82","-9.94","0","-1.61","0"
"O-643914992357151","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/21/21","8:27 PM","26.55","0","2.99","2.29","8.17","40.00","-7.39","0","-1.52","0"
"O-725214906996976","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/12/21","8:18 PM","25.10","0","0.00","1.95","4.05","31.10","-6.28","0","-1.25","0"
"O-201214901338782","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/13/21","5:21 PM","56.19","0","8.99","5.05","10.53","80.76","-16.30","0","-2.76","0"
"O-385215039345887","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/26/21","4:35 PM","58.96","0","0.00","4.57","0","63.53","-14.74","0","-2.24","0"
"O-124215089902317","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/30/21","9:16 PM","38.51","0","4.99","3.37","7.03","53.90","-10.88","0","-1.94","0"
"O-063814984316378","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/20/21","7:01 PM","41.97","0","1.99","3.40","7.10","54.46","-10.99","0","-1.96","0"
"O-150014943739022","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/16/21","6:50 PM","17.98","0","2.99","1.62","3.39","25.98","-5.24","0","-1.09","0"
"O-430314790192984","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/1/21","6:24 PM","47.93","0","0.00","3.71","7.74","59.38","-11.98","0","-2.11","0"
"O-737814949234130","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/16/21","7:08 PM","35.96","0","1.99","2.94","5.81","46.70","-9.49","0","-1.72","0"
"O-568114957473464","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/18/21","3:57 PM","45.67","0","4.99","3.93","8.00","62.59","-12.67","0","-2.21","0"
"O-150314886145607","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/10/21","9:08 PM","62.94","0","4.99","5.27","8.00","81.20","-16.98","0","-2.78","0"
"T-AwEAAAAAAA9OolIr2wCZPhHrsZ4xwiy-vOQ","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","Order 64081470-3528009, YL.","4/9/21","7:17 AM","0","0","0.00","0.00","0","14.63","0","0","0","0"
"O-919514988572371","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/20/21","7:25 PM","106.69","0","4.99","8.66","10.00","130.34","-27.92","0","-4.28","0"
"O-744214801538375","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/2/21","7:24 PM","16.78","0","2.99","1.53","3.20","24.50","-4.94","0","-1.05","0"
"O-852415041212000","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/27/21","4:43 PM","33.72","0","4.99","3.00","8.34","50.05","-9.68","0","-1.83","0"
"O-496415075117684","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/29/21","9:45 PM","79.77","0","8.99","6.88","2.00","97.64","-22.19","0","-3.28","0"
"O-873515021212939","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/24/21","7:10 PM","31.44","0","4.99","2.83","7.85","47.11","-9.11","0","-1.74","0"
"O-756714818885290","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/3/21","7:07 PM","33.56","0","2.99","2.83","5.00","44.38","-9.14","0","-1.65","0"
"O-519614915957935","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/14/21","5:42 PM","29.18","0","8.99","2.96","6.17","47.30","-9.54","0","-1.74","0"
"O-217514940404849","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/16/21","6:21 PM","16.98","0","4.99","1.71","0","23.68","-5.49","0","-1.02","0"
"O-725214906994434","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/12/21","6:39 PM","36.46","0","0.00","2.83","5.89","45.18","-9.12","0","-1.68","0"
"O-903714828975708","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/5/21","7:15 PM","29.25","0","0.00","2.27","3.15","34.67","-7.31","0","-1.36","0"
"O-292314949863526","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/16/21","7:09 PM","61.66","0","1.99","4.93","10.29","78.87","-15.91","0","-2.71","0"
"O-947315063169953","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/29/21","2:00 PM","16.98","0","6.99","1.86","4.58","30.41","-5.99","0","-1.23","0"
"O-643915022351930","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/24/21","5:52 PM","87.53","0","4.99","7.17","9.97","109.66","-23.13","0","-3.64","0"
"O-303115051953607","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/27/21","9:22 PM","49.63","0","4.99","4.24","8.83","67.69","-13.66","0","-2.36","0"
"O-628715088473098","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/30/21","8:03 PM","48.96","0","8.99","4.49","0","62.44","-14.49","0","-2.20","0"
"O-756714878887213","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/9/21","7:00 PM","39.98","0","0.00","3.10","8.61","51.69","-10.00","0","-1.88","0"
"O-813914904463114","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/12/21","9:34 PM","15.57","0","6.99","1.75","3.65","27.96","-5.64","0","-1.15","0"
"O-436414868327870","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/9/21","4:52 PM","43.98","0","0.00","3.41","0","47.39","-11.00","0","-1.75","0"
"O-035714832351161","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/5/21","9:25 PM","36.20","0","0.00","2.81","0","39.01","-9.05","0","-1.49","0"
"O-185015019795288","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/23/21","7:41 PM","50.45","0","2.99","4.14","8.63","66.21","-13.36","0","-2.32","0"
"O-069214812115343","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/3/21","7:39 PM","21.57","0","0.00","1.67","3.48","26.72","-5.39","0","-1.11","0"
"O-358814878425738","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/9/21","7:11 PM","40.68","0","1.99","3.30","9.04","55.01","-10.67","0","-1.98","0"
"O-035714822352914","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/4/21","7:00 PM","22.98","0","4.99","2.17","4.52","34.66","-6.99","0","-1.36","0"
"O-014614968627667","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/19/21","12:51 PM","30.76","0","1.99","2.53","10.00","45.28","-8.19","0","-1.68","0"
"O-055914803632319","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/3/21","5:41 PM","36.94","0","1.99","3.01","6.00","47.94","-9.73","0","-1.76","0"
"O-436414878355979","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/9/21","7:14 PM","40.70","0","1.99","3.30","6.89","52.88","-10.67","0","-1.91","0"
"O-247115073249344","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/30/21","3:33 PM","17.47","0","6.99","1.89","2.82","29.17","-6.12","0","-1.19","0"
"O-705514811005821","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/3/21","6:19 PM","77.66","0","6.99","6.56","13.68","104.89","-21.16","0","-3.50","0"
