,"902 Broadway New York, NY 10010",Aroma Pizza & Pasta,,
,"Activity Period: Thu Apr 1, 2021 to Fri Apr","20491 Alton Pkwy, Lake Forest CA, 92630",,
,"30, 2021",Account ID: 15639,,
,W-9 form reminder,,,
,"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t",,,
,"already, return them asap. Talk to your Account Manager or email Partner@SliceLife.com",,,
Summary of Your Activity,,,"From April 1, 2021 to April 30, 2021, your",
Prepaid orders,,"$3,814.38","restaurant made $3,936.00 with Slice.",
124 orders,,"$4,583.09",Activity Details,
Processing fee,,-$183.51,Net Sales,"$3,678.54"
Slice partnership fee,,-$276.75,"Taxes
Sales Tax Withholding","$308.45
-$308.45"
Sales tax withholding,,-$308.45,Cust. Delivery fee,$179.46
"16 Slice
Adjustments",,$121.62,"Tips
Slice Adjustments
Slice Fees","$416.64
$121.62
-$460.26"
"TOTAL OF 124
ORDERS",$0.00,"$3,936.00",Total Earnings,"$3,936.00"
,"Paid directly by
your custom ers",Total Earnings,,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not,,,,
correspond to a payment. The amounts on this report are,,,,
for your reference and reporting needs. Please refer to your,,,,
official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

"902 Broadway New York, NY 10010",,,,,Aroma Pizza & Pasta,,,,,,
"Activity Period: Thu Apr 1, 2021 to Fri Apr",,,,,"20491 Alton Pkwy, Lake Forest CA, 92630",,,,,,
"30, 2021",,,,,Account ID: 15639,,,,,,
Transactions,,,,,,,,,,,
,,,,,Cust.,,,,,,
,,Order,Pickup,,,Order,,,Order,P'ship,Proc.
Date & Time,Order ID,,,Subtotal,Delivery,,Tax,Tips,,,
,,Type,Delivery,,,Adjust.,,,Total,Fee,Fee
,,,,,Fee,,,,,,
"Apr 01, 2021
Thursday
9:52am",44018853,Credit,Pickup,$60.97,$0.00,$0.00,$4.73,$9.15,$74.92,-$2.25,-$3.00
"Apr 01, 2021
Thursday
12:21pm",44024770,Credit,Pickup,$42.91,$0.00,$0.00,$3.33,$6.44,$52.75,-$2.25,-$2.11
"Apr 01, 2021
Thursday
4:30pm",44057038,Credit,Delivery,$16.48,$2.99,$0.00,$1.51,$3.30,$24.28,-$2.25,-$0.97
"Apr 01, 2021
Thursday
7:22pm",44070664,Credit,Delivery,$40.00,$2.99,-$0.01,$3.33,$6.00,$52.38,-$2.25,-$2.10
"Apr 01, 2021
Thursday
9:08pm",44072396,Credit,Delivery,$66.26,$1.99,$0.00,$5.29,$9.94,$83.48,-$2.25,-$3.34
"Apr 02, 2021
Friday
2:06pm",44102918,Credit,Delivery,$21.57,$1.99,$0.00,$1.83,$3.24,$28.70,-$2.25,-$1.15
"Apr 02, 2021
Friday
5:05pm",44149642,Credit,Pickup,$13.78,$0.00,$0.00,$1.07,$1.38,$16.30,-$2.25,-$0.65
"Apr 02, 2021
Friday
5:30pm",44153902,Credit,Pickup,$14.98,$0.00,$0.00,$1.16,$0.00,$16.14,-$2.25,-$0.65
"Apr 02, 2021
Friday
5:51pm",44156770,Credit,Delivery,$25.76,$1.99,$0.00,$2.15,$3.86,$33.76,-$2.25,-$1.35
"Apr 02, 2021
Friday
5:57pm",44157549,Credit,Delivery,$25.64,$4.99,$0.00,$2.37,$0.00,$33.08,-$2.25,-$1.32
"Apr 02, 2021
Friday
6:57pm",44162755,Credit,Pickup,$15.48,$0.00,$0.00,$1.20,$0.00,$16.75,-$2.25,-$0.67
"Apr 02, 2021
Friday
7:44pm",44165031,Credit,Delivery,$18.53,$2.99,$0.00,$1.67,$2.78,$25.97,-$2.25,-$1.04
"Apr 03, 2021
Saturday
12:55pm",44181783,Credit,Delivery,$18.99,$1.99,$0.00,$1.63,$0.00,$22.61,-$2.25,-$0.90
"Apr 03, 2021",,,,,,,,,,,
Saturday,44211785,Credit,Pickup,$18.46,$0.00,$0.00,$1.43,$0.00,$19.89,-$2.25,-$0.80
4:01pm,,,,,,,,,,,

"Apr 03, 2021
Saturday
5:03pm",44222343,Credit,Delivery,$16.99,$1.99,$0.00,$1.47,$4.25,$24.70,-$2.25,-$0.99
"Apr 04, 2021
Sunday
5:56pm",44257940,Credit,Delivery,$38.65,$1.99,$0.00,$3.15,$5.80,$49.59,-$2.25,-$1.98
"Apr 04, 2021
Sunday
6:31pm",44258947,Credit,Delivery,$54.75,$1.99,$0.00,$4.40,$10.95,$72.09,-$2.25,-$2.88
"Apr 04, 2021
Sunday
7:54pm",44260400,Credit,Pickup,$31.18,$0.00,$0.00,$2.42,$4.00,$37.67,-$2.25,-$0.91
"Apr 05, 2021
Monday
6:36pm",44299799,Credit,Delivery,$40.42,$1.99,$0.00,$3.29,$6.06,$51.76,-$2.25,-$2.07
"Apr 05, 2021
Monday
6:48pm",44300138,Credit,Delivery,$76.64,$6.99,$0.00,$6.48,$8.00,$98.18,-$2.25,-$3.33
"Apr 05, 2021
Monday
8:10pm",44301721,Credit,Pickup,$20.98,$0.00,$0.00,$1.63,$2.10,$24.78,-$2.25,-$0.99
"Apr 06, 2021
Tuesday
11:22am",44310534,Credit,Delivery,$38.76,$4.99,$0.00,$3.39,$5.81,$53.02,-$2.25,-$2.12
"Apr 06, 2021
Tuesday
11:42am",44311152,Credit,Pickup,$41.48,$0.00,-$0.01,$3.21,$0.00,$44.76,-$2.25,-$1.79
"Apr 06, 2021
Tuesday
1:28pm",44315332,Credit,Pickup,$18.99,$0.00,-$0.01,$1.47,$2.85,$23.37,-$2.25,-$0.93
"Apr 06, 2021
Tuesday
8:59pm",44347060,Credit,Delivery,$26.97,$1.99,$0.00,$2.24,$5.39,$36.59,-$2.25,-$1.46
"Apr 07, 2021
Wednesday
12:02pm",44357820,Credit,Delivery,$30.07,$2.99,$0.00,$2.56,$6.01,$41.63,-$2.25,-$1.67
"Apr 07, 2021
Wednesday
1:05pm",44360504,Credit,Pickup,$14.76,$0.00,$0.00,$1.14,$1.48,$17.38,-$2.25,-$0.70
"Apr 07, 2021
Wednesday
3:47pm",44379744,Credit,Pickup,$77.93,$0.00,$0.00,$6.04,$11.69,$95.73,-$2.25,-$3.83
"Apr 07, 2021
Wednesday
6:00pm",44393540,Credit,Pickup,$71.41,$0.00,$0.00,$5.53,$7.14,$84.16,-$2.25,-$3.37
"Apr 07, 2021
Wednesday
6:25pm",44394727,Credit,Delivery,$32.97,$1.99,$0.00,$2.71,$6.59,$44.26,-$2.25,-$1.77
"Apr 07, 2021",,,,,,,,,,,
Wednesday,44396542,Credit,Delivery,$23.98,$1.99,$0.00,$2.01,$3.60,$31.58,-$2.25,-$1.26
7:23pm,,,,,,,,,,,

"Apr 08, 2021
Thursday
5:22pm",44446059,Credit,Delivery,$26.74,$1.99,-$0.01,$2.23,$4.01,$34.96,-$2.25,-$1.40
"Apr 09, 2021
Friday
1:14pm",44473265,Credit,Pickup,$10.99,$0.00,$0.00,$0.85,$1.65,$13.49,-$2.25,-$0.54
"Apr 09, 2021
Friday
2:46pm",44495650,Credit,Delivery,$37.45,$4.99,$0.00,$3.29,$5.62,$51.35,-$2.25,-$2.05
"Apr 09, 2021
Friday
4:11pm",44521466,Credit,Delivery,$25.00,$2.99,-$0.01,$2.17,$3.75,$33.97,-$2.25,-$1.36
"Apr 09, 2021
Friday
4:19pm",44523439,Credit,Pickup,$32.98,$0.00,-$0.01,$2.56,$6.60,$42.20,-$2.25,-$1.57
"Apr 09, 2021
Friday
4:53pm",44531230,Credit,Pickup,$13.78,$0.00,$0.00,$1.07,$1.38,$16.30,-$2.25,-$0.65
"Apr 09, 2021
Friday
5:12pm",44534992,Credit,Pickup,$20.98,$0.00,$0.00,$1.63,$0.00,$22.68,-$2.25,-$0.91
"Apr 09, 2021
Friday
5:20pm",44536431,Credit,Pickup,$16.75,$0.00,$0.00,$1.30,$1.68,$19.80,-$2.25,-$0.79
"Apr 09, 2021
Friday
5:42pm",44539853,Credit,Pickup,$20.47,$0.00,$0.00,$1.59,$0.00,$22.13,-$2.25,-$0.89
"Apr 09, 2021
Friday
5:49pm",44540776,Credit,Pickup,$41.98,$0.00,-$0.01,$3.25,$0.00,$45.30,-$2.25,-$1.81
"Apr 09, 2021
Friday
6:18pm",44544080,Credit,Delivery,$73.43,$6.99,$0.00,$6.23,$11.01,$97.66,-$2.25,-$3.91
"Apr 09, 2021
Friday
6:19pm",44544190,Credit,Delivery,$24.95,$6.99,$0.00,$2.48,$3.74,$38.16,-$2.25,-$1.53
"Apr 09, 2021
Friday
7:08pm",44547742,Credit,Delivery,$54.93,$2.99,$0.00,$4.49,$8.24,$70.72,-$2.25,-$2.83
"Apr 09, 2021
Friday
7:19pm",44548296,Credit,Pickup,$18.53,$0.00,$0.00,$1.44,$1.85,$21.82,-$2.25,-$0.87
"Apr 10, 2021
Saturday
11:07am",44561194,Credit,Delivery,$38.97,$1.99,$0.00,$3.17,$0.00,$44.13,-$2.25,-$1.77
"Apr 10, 2021
Saturday
5:00pm",44613664,Credit,Delivery,$59.11,$1.99,$0.00,$4.74,$8.87,$74.78,-$2.25,-$2.99
"Apr 11, 2021
Sunday
5:05pm",44682699,Credit,Pickup,$71.90,$0.00,$0.00,$5.57,$14.38,$91.93,-$2.25,-$3.68

"Apr 11, 2021
Sunday5:22pm",44684247,Credit,Pickup,$23.71,$0.00,$0.00,$1.84,$0.00,$25.55,-$2.25,-$1.02
"Apr 11, 2021
Sunday
5:43pm",44685783,Credit,Delivery,$36.98,$1.99,-$0.01,$3.02,$5.55,$47.53,-$2.25,-$1.90
