Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %
Aroma Pizza,,#6BE1C,c2553eb7-006f-49dd-8ffc-8f079a66be1c,Delivery - Partner Using Uber App,iOS,Completed,2021-04-01,16:21,27.48,2.13,29.61,0,0,0,0,0,0,0,0,29.61,-5.22,0,0,0,0,0,,0,-2.13,0,22.26,2021-04-05,0,0,
Aroma Pizza,,#69E05,a76debbe-9fe1-4099-9696-00fe7f569e05,Pickup,iOS,Completed,2021-04-01,18:13,52.44,4.06,56.5,0,0,0,0,0,0,0,0,56.5,0,0,0,0,0,0,,0,-4.06,0,52.44,2021-04-05,0,0,
Aroma Pizza,,#20DCE,5e0984db-4fc8-4b3d-8c90-9a8ca3220dce,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-04-02,12:35,26.98,2.09,29.07,0,0,0,0,0,0,0,0,29.07,-5.13,0,0,0,0,0,,0,-2.09,0,21.85,2021-04-05,0,0,
Aroma Pizza,,#9F1B9,5b9f0410-64c1-49e4-b255-86e9d9b9f1b9,Delivery - Partner Using Uber App,iOS,Completed,2021-04-02,19:14,49.69,3.85,53.54,0,0,0,0,0,0,0,0,53.54,-9.44,0,0,0,0,0,,0,-3.85,0,40.25,2021-04-05,0,0,
Aroma Pizza,,#73953,fb98832d-6dec-4d74-be1f-2572b1573953,Delivery - Partner Using Uber App,iOS,Completed,2021-04-03,16:47,50.2,3.89,54.09,0,0,0,0,0,0,0,0,54.09,-9.54,0,0,0,0,0,,0,-3.89,0,40.66,2021-04-05,0,0,19
Aroma Pizza,,#79724,296775af-bb89-424e-acd2-f38553879724,Pickup,Uber Eats Web,Completed,2021-04-03,16:06,35.97,2.79,38.76,0,0,0,0,0,0,0,0,38.76,0,0,0,0,0,0,,0,-2.79,0,35.97,2021-04-05,0,0,
Aroma Pizza,,#58D76,47392916-38e7-441f-ab76-5bd0f5758d76,Delivery - Partner Using Uber App,iOS,Completed,2021-04-03,18:44,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,-4.56,0,0,0,0,0,,0,-1.86,0,19.42,2021-04-05,0,0,19
Aroma Pizza,,#054E7,81c12c8c-1442-4dc9-8613-015d5f6054e7,Delivery - Partner Using Uber App,iOS,Completed,2021-04-03,19:19,59.72,4.63,64.35,0,0,0,0,0,0,0,0,64.35,-11.35,0,0,0,0,0,,0,-4.63,0,48.37,2021-04-05,0,0,19
Aroma Pizza,,#3A256,60d324c6-8562-42f3-b533-135935e3a256,Delivery - Partner Using Uber App,iOS,Completed,2021-04-03,19:33,54.52,4.23,58.75,0,0,0,0,0,0,0,0,58.75,-10.36,0,0,0,0,0,,0,-4.23,0,44.16,2021-04-05,0,0,19
Aroma Pizza,,#5B4F5,df958995-fc2b-43aa-bf11-4bf8a125b4f5,Delivery - Partner Using Uber App,iOS,Completed,2021-04-04,17:17,40.95,3.17,44.12,0,0,0,0,0,0,0,0,44.12,-7.78,0,0,0,0,0,,0,-3.17,0,33.17,2021-04-05,0,0,19
