"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-377015312488959","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/23/21","7:01 PM","19.98","0","6.99","2.09","5.81","34.87","-6.74","0","-1.36","0"
"O-229315267310554","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/19/21","5:42 PM","50.87","0","6.99","4.48","6.23","68.57","-14.47","0","-2.39","0"
"O-524515271748898","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/20/21","11:15 AM","199.96","0","19.99","17.05","35.55","272.55","-38.49","0","-8.61","0"
"O-299715249300538","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/16/21","6:48 PM","42.97","0","0.00","3.33","6.94","53.24","-10.74","0","-1.92","0"
"O-994915282602337","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/20/21","7:07 PM","28.85","0","1.99","2.39","5.00","38.23","-7.71","0","-1.47","0"
"O-951615128403784","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/5/21","12:56 PM","26.77","0","1.99","2.22","4.65","35.63","-7.19","0","-1.39","0"
"O-030915200105777","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/12/21","7:36 PM","34.76","0","6.99","3.23","7.49","52.47","-10.44","0","-1.90","0"
"O-492015298436860","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/21/21","6:31 PM","35.93","0","4.99","3.17","6.61","50.70","-10.23","0","-1.85","0"
"O-051315367886237","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/29/21","12:05 PM","27.21","0","6.99","2.65","4.40","41.25","-8.55","0","-1.56","0"
"O-070415185338128","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/11/21","1:25 PM","16.98","0","6.99","1.86","4.58","30.41","-5.99","0","-1.23","0"
"O-525215179436264","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/10/21","2:11 PM","33.46","0","4.99","2.98","7.21","48.64","-9.61","0","-1.78","0"
"O-541515145828386","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/7/21","1:30 PM","46.94","0","1.99","3.79","10.12","62.84","-12.23","0","-2.22","0"
"O-198915224761046","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/15/21","1:25 PM","30.56","0","4.99","2.76","7.50","45.81","-8.89","0","-1.70","0"
"O-661915313197430","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/23/21","9:29 PM","26.99","0","6.99","2.63","7.32","43.93","-8.50","0","-1.64","0"
"O-911015267275209","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/18/21","8:25 PM","29.29","0","2.99","2.50","5.22","40.00","-8.07","0","-1.52","0"
"O-740215208235800","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/12/21","8:55 PM","48.34","0","4.99","4.14","5.21","62.68","-13.33","0","-2.21","0"
