"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"5/2/2021 15:27:38","23.74","1.9","0","0","25.64","cash","pickup"
"5/21/2021 19:43:41","43.31","3.7","2.99","7","57","credit_card","delivery"
"5/29/2021 18:39:04","35.59","3.09","2.99","6.25","47.92","credit_card","delivery"
"Total","102.64","8.69","5.98","13.25","130.56","",""
"","","","","","","",""
"All Orders","130.56","","(all orders including cash and credit card paid orders)","","","",""
"Pre-Paid Orders","104.92","","(orders where the customer paid with a credit card online)","","","",""
"MenuStar Fees","11.96","","(includes credit card processing fee)","","","",""
"Adjustments","0","","(credits/debts posted to your account)","","","",""
"Net Payout","92.96","","(amount will be paid in your account in 3-4 days)","","","",""
