,"902 Broadway New York, NY 10010",Aroma Pizza & Pasta,,
,"Activity Period: Sat May 1, 2021 to Mon","20491 Alton Pkwy, Lake Forest CA, 92630",,
,"May 31, 2021",Account ID: 15639,,
,W-9 form reminder,,,
,"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t",,,
,"already, return them asap. Talk to your Account Manager or email Partner@SliceLife.com",,,
Summary of Your Activity,,,"From May 1, 2021 to May 31, 2021, your",
Prepaid orders,,"$4,746.41","restaurant made $4,882.05 with Slice.",
133 orders,,"$5,645.21",Activity Details,
Processing fee,,-$226.06,Net Sales,"$4,521.89"
Slice partnership fee,,-$294.75,"Taxes
Sales Tax Withholding","$377.99
-$377.99"
Sales tax withholding,,-$377.99,Cust. Delivery fee,$259.32
"14 Slice
Adjustments",,$135.64,"Tips
Slice Adjustments
Slice Fees","$486.54
$135.64
-$520.81"
"TOTAL OF 133
ORDERS",$0.00,"$4,882.05",Total Earnings,"$4,882.05"
,"Paid directly by
your custom ers",Total Earnings,,
,,,Slice spent $57.00,
,,,in funding promo codes,
,,,for your customers! *,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not,,,,
correspond to a payment. The amounts on this report are,,,,
for your reference and reporting needs. Please refer to your,,,,
official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

"902 Broadway New York, NY 10010",,,,,Aroma Pizza & Pasta,,,,,,
"Activity Period: Sat May 1, 2021 to Mon",,,,,"20491 Alton Pkwy, Lake Forest CA, 92630",,,,,,
"May 31, 2021",,,,,Account ID: 15639,,,,,,
Transactions,,,,,,,,,,,
,,,,,Cust.,,,,,,
,,Order,Pickup,,,Order,,,Order,P'ship,Proc.
Date & Time,Order ID,,,Subtotal,Delivery,,Tax,Tips,,,
,,Type,Delivery,,,Adjust.,,,Total,Fee,Fee
,,,,,Fee,,,,,,
"May 01, 2021
Saturday
12:10pm",45840217,Credit,Pickup,$8.99,$0.00,$0.00,$0.70,$0.00,$9.69,$0.00,-$0.39
"May 01, 2021
Saturday
12:29pm",45841295,Credit,Delivery,$16.98,$6.99,$0.00,$1.86,$2.55,$28.38,-$2.25,-$1.14
"May 01, 2021
Saturday
5:09pm",45886698,Credit,Delivery,$22.97,$2.99,$0.00,$2.01,$3.45,$31.42,-$2.25,-$0.86
"May 01, 2021
Saturday
6:30pm",45896552,Credit,Delivery,$18.53,$2.99,$0.00,$1.67,$3.71,$26.90,-$2.25,-$1.08
"May 02, 2021
Sunday
11:36am",45912700,Credit,Delivery,$22.25,$4.99,$0.00,$2.11,$3.34,$32.69,-$2.25,-$1.31
"May 02, 2021
Sunday
5:25pm",45952611,Credit,Delivery,$49.46,$1.99,$0.00,$3.99,$7.42,$62.86,-$2.25,-$2.52
"May 02, 2021
Sunday
5:25pm",45952652,Credit,Delivery,$30.06,$4.99,$0.00,$2.72,$4.51,$42.28,-$2.25,-$1.69
"May 02, 2021
Sunday
7:18pm",45958179,Credit,Delivery,$34.94,$1.99,$0.00,$2.86,$6.99,$46.78,-$2.25,-$1.87
"May 03, 2021
Monday
11:55am",45968186,Credit,Pickup,$13.74,$0.00,$0.00,$1.06,$0.00,$14.80,-$2.25,-$0.60
"May 03, 2021
Monday
3:23pm",45982580,Credit,Pickup,$27.90,$0.00,$0.00,$2.16,$2.79,$32.85,-$2.25,-$1.32
"May 03, 2021
Monday
5:41pm",45994511,Credit,Delivery,$39.42,$1.99,$0.00,$3.21,$5.91,$50.53,-$2.25,-$2.02
"May 03, 2021
Monday
6:03pm",45995489,Credit,Delivery,$42.13,$2.99,$0.00,$3.50,$6.32,$54.94,-$2.25,-$2.20
"May 04, 2021
Tuesday
1:08pm",46010520,Credit,Pickup,$46.44,$0.00,$0.00,$3.60,$6.97,$57.01,-$2.25,-$2.28
"May 04, 2021",,,,,,,,,,,
Tuesday,46033899,Credit,Delivery,$33.97,$1.99,$0.00,$2.79,$5.10,$43.85,-$2.25,-$1.75
4:53pm,,,,,,,,,,,

"May 04, 2021
Tuesday
5:32pm",46036962,Credit,Pickup,$20.78,$0.00,$0.00,$1.61,$0.00,$22.39,-$2.25,-$0.90
"May 04, 2021
Tuesday
6:24pm",46039638,Credit,Delivery,$25.98,$6.99,$0.00,$2.56,$3.90,$39.43,-$2.25,-$1.58
"May 04, 2021
Tuesday
6:34pm",46039993,Credit,Delivery,$83.20,$2.99,$0.00,$6.68,$10.00,$102.87,-$2.25,-$4.12
"May 04, 2021
Tuesday
8:00pm",46041799,Credit,Delivery,$26.61,$14.99,$0.00,$3.22,$3.99,$48.81,-$2.25,-$1.76
"May 05, 2021
Wednesday
2:41pm",46063510,Credit,Delivery,$25.98,$1.99,$0.00,$2.17,$5.20,$35.34,-$2.25,-$1.41
"May 05, 2021
Wednesday
5:47pm",46082007,Credit,Pickup,$12.99,$0.00,$0.00,$1.01,$0.00,$14.00,-$2.25,-$0.56
"May 05, 2021
Wednesday
5:59pm",46082713,Credit,Delivery,$34.99,$1.99,-$0.01,$2.87,$3.50,$43.34,-$2.25,-$1.73
"May 05, 2021
Wednesday
6:13pm",46083327,Credit,Pickup,$48.98,$0.00,$0.00,$3.80,$8.00,$60.78,-$2.25,-$2.43
"May 05, 2021
Wednesday
7:04pm",46084998,Credit,Pickup,$24.73,$0.00,$0.00,$1.92,$3.71,$30.36,-$2.25,-$1.22
"May 05, 2021
Wednesday
8:23pm",46086199,Credit,Delivery,$51.96,$4.99,$0.00,$4.41,$5.00,$66.36,-$2.25,-$2.66
"May 06, 2021
Thursday
1:06pm",46100238,Credit,Pickup,$13.74,$0.00,$0.00,$1.06,$0.00,$14.80,-$2.25,-$0.60
"May 06, 2021
Thursday
5:21pm",46131956,Credit,Pickup,$23.47,$0.00,$1.80,$1.96,$0.00,$27.23,-$2.25,-$1.09
"May 06, 2021
Thursday
5:32pm",46133002,Credit,Delivery,$20.98,$2.99,$0.00,$1.86,$3.15,$28.98,-$2.25,-$1.16
"May 06, 2021
Thursday
6:10pm",46135634,Credit,Delivery,$46.55,$1.99,$0.00,$3.76,$6.98,$59.28,-$2.25,-$2.37
"May 06, 2021
Thursday
6:52pm",46137480,Credit,Pickup,$63.52,$0.00,$0.00,$4.92,$9.53,$77.97,-$2.25,-$3.12
"May 06, 2021
Thursday
7:18pm",46138199,Credit,Delivery,$34.11,$2.99,$0.00,$2.88,$5.12,$45.10,-$2.25,-$1.80
"May 07, 2021",,,,,,,,,,,
Friday,46223940,Credit,Pickup,$27.00,$0.00,-$0.01,$2.09,$0.00,$29.08,-$2.25,-$1.17
5:53pm,,,,,,,,,,,

"May 07, 2021
Friday
6:05pm",46225264,Credit,Pickup,$27.99,$0.00,-$0.01,$2.17,$2.80,$32.95,-$2.25,-$1.32
"May 07, 2021
Friday
8:04pm",46232466,Credit,Pickup,$52.46,$0.00,$0.00,$4.22,$0.00,$56.68,-$2.25,-$2.27
"May 08, 2021
Saturday
4:15pm",46283620,Credit,Pickup,$44.76,$0.00,$0.00,$3.47,$3.00,$51.23,-$2.25,-$2.05
"May 08, 2021
Saturday
5:21pm",46294615,Credit,Pickup,$21.99,$0.00,$0.00,$1.70,$0.00,$23.69,-$2.25,-$0.95
"May 08, 2021
Saturday
5:22pm",46294772,Credit,Delivery,$31.77,$1.99,$0.00,$2.62,$4.77,$41.15,-$2.25,-$1.65
"May 08, 2021
Saturday
5:34pm",46296359,Credit,Delivery,$21.12,$1.99,$0.00,$1.79,$3.17,$28.07,-$2.25,-$1.12
"May 08, 2021
Saturday
6:12pm",46300732,Credit,Delivery,$38.47,$6.99,$0.00,$3.52,$5.77,$54.75,-$2.25,-$2.19
"May 08, 2021
Saturday
6:48pm",46303485,Credit,Pickup,$18.53,$0.00,$0.00,$1.44,$0.00,$19.97,-$2.25,-$0.80
"May 08, 2021
Saturday
7:19pm",46305077,Credit,Delivery,$26.99,$6.99,$0.00,$2.63,$4.05,$40.66,-$2.25,-$1.63
"May 08, 2021
Saturday
7:20pm",46305126,Credit,Pickup,$39.97,$0.00,$0.00,$3.10,$0.00,$43.07,-$2.25,-$1.73
"May 09, 2021
Sunday
4:50pm",46358418,Credit,Pickup,$41.66,$0.00,$0.00,$3.23,$4.04,VOIDED,$0.00,
"May 09, 2021
Sunday
6:47pm",46366209,Credit,Pickup,$33.56,$0.00,$0.00,$2.60,$5.03,$41.19,-$2.25,-$1.65
"May 11, 2021
Tuesday
2:11pm",46422182,Credit,Pickup,$12.99,$0.00,$0.00,$1.01,$0.00,$14.00,-$2.25,-$0.56
"May 11, 2021
Tuesday
5:44pm",46443760,Credit,Delivery,$22.98,$1.99,$0.00,$1.94,$4.60,$31.51,-$2.25,-$1.26
"May 12, 2021
Wednesday
9:00am",46452311,Credit,Pickup,$38.40,$0.00,$0.00,$2.98,$0.00,$41.38,-$2.25,-$1.66
"May 12, 2021
Wednesday
10:50am",46456583,Credit,Pickup,$13.99,$0.00,$0.00,$1.08,$2.80,$17.87,-$2.25,-$0.72
"May 12, 2021
Wednesday
12:33pm",46459911,Credit,Pickup,$13.74,$0.00,$0.00,$1.06,$0.00,$14.80,-$2.25,-$0.60

"May 12, 2021
Wednesday5:05pm",46487884,Credit,Delivery,$31.02,$6.99,$0.00,$2.95,$6.20,$47.16,-$2.25,-$1.89
"May 12, 2021
Wednesday
5:12pm",46488494,Credit,Delivery,$23.86,$1.99,$0.00,$2.00,$5.97,$33.82,-$2.25,-$1.35
"May 12, 2021
Wednesday
5:32pm",46490168,Credit,Pickup,$59.48,$0.00,-$0.01,$4.61,$8.92,$73.00,-$2.25,-$2.92
