Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %
Aroma Pizza,,#85951,2b8201ed-e3f9-44ea-b297-b42cd2d85951,Delivery - Partner Using Uber App,UberEats Web,Completed,5/1/21,6:15 PM,18.99,1.47,20.46,0,0,0,0,0,0,0,0,20.46,-3.61,0,0,0,0,0,,0,-1.47,0,15.38,5/3/21,0,0,19
Aroma Pizza,,#E2439,3f777f89-76fd-48e7-8bbe-e08c3a4e2439,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/1/21,6:51 PM,26.94,2.09,29.03,0,0,0,0,0,0,0,0,29.03,-5.12,0,0,0,0,0,,0,-2.09,0,21.82,5/3/21,0,0,19
Aroma Pizza,,#12B84,cfe82fc9-8243-4c5f-bfed-0b79e0212b84,Delivery - Partner Using Uber App,UberEats Web,Completed,5/1/21,8:01 PM,24.46,1.9,26.36,0,0,0,0,0,0,0,0,26.36,-4.65,0,0,0,0,0,,0,-1.9,0,19.81,5/3/21,0,0,19
Aroma Pizza,,#62F6C,09062916-2d3f-426f-95cd-ab2395362f6c,Delivery - Partner Using Uber App,Postmates iOS,Completed,5/3/21,5:03 PM,29.98,2.32,32.3,0,0,0,0,0,0,0,0,32.3,-8.09,0,0,0,0,0,,0,-2.32,0,21.89,5/10/21,0,0,27
Aroma Pizza,,#F5CED,f83cf5bf-caa6-4c9c-bf42-15c5aaff5ced,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/3/21,6:47 PM,33.21,2.57,35.78,0,0,0,0,0,0,0,0,35.78,-6.31,0,0,0,0,0,,0,-2.57,0,26.9,5/10/21,0,0,19
Aroma Pizza,,#52145,94672a2c-0c77-4b2a-9926-b7eb8a052145,Delivery - Partner Using Uber App,UberEats Android,Completed,5/3/21,9:08 PM,22.73,1.76,24.49,0,0,0,0,0,0,0,0,24.49,-4.32,0,0,0,0,0,,0,-1.76,0,18.41,5/10/21,0,0,19
Aroma Pizza,,#4E595,c5b63b8e-c844-4fb5-8e93-2aefee74e595,Delivery - Partner Using Uber App,UberEats Android,Completed,5/3/21,8:34 PM,24.94,1.93,26.87,0,0,0,0,0,0,0,0,26.87,-4.74,0,0,0,0,0,,0,-1.93,0,20.2,5/10/21,0,0,19
Aroma Pizza,,#37870,8bbd32ef-d957-4021-93bd-07ec28137870,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/5/21,1:06 PM,26.93,2.09,29.02,0,0,0,0,0,0,0,0,29.02,-5.12,0,0,0,0,0,,0,-2.09,0,21.81,5/10/21,0,0,19
Aroma Pizza,,#F3FEC,f3f6644b-0172-4b54-98d5-f4b1c6ef3fec,Delivery - Partner Using Uber App,Postmates iOS,Completed,5/5/21,3:45 PM,37.22,2.88,40.1,0,0,0,0,0,0,0,0,40.1,-10.05,0,0,0,0,0,,0,-2.88,0,27.17,5/10/21,0,0,27
Aroma Pizza,,#8F23D,55986634-7d7a-4bbf-b020-2c452a88f23d,Delivery - Partner Using Uber App,UberEats Android,Completed,5/5/21,6:59 PM,16.99,1.32,18.31,0,0,0,0,0,0,0,0,18.31,-3.23,0,0,0,0,0,,0,-1.32,0,13.76,5/10/21,0,0,19
Aroma Pizza,,#C6DC8,734b7988-4279-4ecd-a04d-6777b90c6dc8,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/6/21,7:01 PM,32.97,2.56,35.53,0,0,0,0,0,0,0,0,35.53,-6.26,0,0,0,0,0,,0,-2.56,0,26.71,5/10/21,0,0,19
Aroma Pizza,,#13E06,3ba021f4-569f-4749-85b4-19fe94b13e06,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/7/21,11:02 AM,58.94,4.57,63.51,0,0,0,0,0,0,0,0,63.51,-11.2,0,0,0,0,0,,0,-4.57,0,47.74,5/10/21,0,0,19
Aroma Pizza,,#3FF5E,59fc985c-4771-4a37-b0e7-07459c63ff5e,Pickup,UberEats iOS,Completed,5/7/21,12:50 PM,11.97,0.93,12.9,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,,0,-0.93,0,11.97,5/10/21,0,0,
Aroma Pizza,,#E6921,0a3ed946-325a-4c23-ae7c-73fd8f4e6921,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/7/21,7:02 PM,11.99,0.93,12.92,0,0,0,0,0,0,0,0,12.92,-2.28,0,0,0,0,0,,0,-0.93,0,9.71,5/10/21,0,0,19
Aroma Pizza,,#05491,9eb04c8e-da3c-40fe-b1b1-f7e0e5305491,Delivery - Partner Using Uber App,UberEats Android,Completed,5/7/21,9:04 PM,36.95,2.86,39.81,0,0,0,0,0,0,0,0,39.81,-7.02,0,0,0,0,0,,0,-2.86,0,29.93,5/10/21,0,0,19
Aroma Pizza,,#9402A,59baa12e-6214-445e-b00d-d96d5ab9402a,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/8/21,2:41 PM,16.98,1.32,18.3,0,0,0,0,0,0,0,0,18.3,-3.23,0,0,0,0,0,,0,-1.32,0,13.75,5/10/21,0,0,19
Aroma Pizza,,#7DFFC,12602a11-2dbf-4863-a4e1-bc0c9c07dffc,Pickup,UberEats Web,Completed,5/8/21,3:52 PM,35.97,2.79,38.76,0,0,0,0,0,0,0,0,38.76,0,0,0,0,0,0,,0,-2.79,0,35.97,5/10/21,0,0,
Aroma Pizza,,#CBC5F,b4fdb5c6-27dd-49a1-9227-e75ac25cbc5f,Delivery - Partner Using Uber App,UberEats Web,Completed,5/8/21,4:51 PM,42.47,3.29,45.76,0,0,0,0,0,0,0,0,45.76,-8.07,0,0,0,0,0,,0,-3.29,0,34.4,5/10/21,0,0,19
Aroma Pizza,,#B8A65,b236e5ae-885e-40d5-a959-eb2a7f4b8a65,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/8/21,8:41 PM,22.97,1.78,24.75,0,0,0,0,0,0,0,0,24.75,-4.36,0,0,0,0,0,,0,-1.78,0,18.61,5/10/21,0,0,19
Aroma Pizza,,#E7884,c570cb87-89c3-48a5-b5cc-d534f79e7884,Delivery - Partner Using Uber App,Postmates iOS,Completed,5/9/21,3:01 PM,40.96,3.17,44.13,0,0,0,0,0,0,0,0,44.13,-11.06,0,0,0,0,0,,0,-3.17,0,29.9,5/10/21,0,0,27
Aroma Pizza,,#DDE55,0923ac50-415c-4aaf-959e-d55d608dde55,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/9/21,6:48 PM,32.46,2.52,34.98,0,0,0,0,0,0,0,0,34.98,-6.17,0,0,0,0,0,,0,-2.52,0,26.29,5/10/21,0,0,19
Aroma Pizza,,#7D076,b55d85df-2cd5-4079-a9d8-0baa4b27d076,Delivery - Partner Using Uber App,UberEats Android,Completed,5/10/21,6:09 PM,31.98,2.48,34.46,0,0,0,0,0,0,0,0,34.46,-6.08,0,0,0,0,0,,0,-2.48,0,25.9,5/17/21,0,0,19
Aroma Pizza,,#96B41,26bb5c52-557a-4d33-a010-ab0ae1e96b41,Delivery - Partner Using Uber App,UberEats Android,Completed,5/12/21,2:56 PM,22.58,1.75,24.33,0,0,0,0,0,0,0,0,24.33,-4.29,0,0,0,0,0,,0,-1.75,0,18.29,5/17/21,0,0,19
Aroma Pizza,,#FD008,8bbdecb6-6ba0-4d28-8c15-cd775ebfd008,Delivery - Partner Using Uber App,UberEats Android,Completed,5/12/21,6:25 PM,25.45,1.97,27.42,0,0,0,0,0,0,0,0,27.42,-4.84,0,0,0,0,0,,0,-1.97,0,20.61,5/17/21,0,0,19
Aroma Pizza,,#36CE6,eb6caaea-e5c2-489c-bb41-77be44f36ce6,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/12/21,7:03 PM,25.98,2.01,27.99,0,0,0,0,0,0,0,0,27.99,-4.94,0,0,0,0,0,,0,-2.01,0,21.04,5/17/21,0,0,19
Aroma Pizza,,#D0C3E,6245aecb-8701-4e6d-8a5e-d9efc4ed0c3e,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/12/21,7:23 PM,34.94,2.71,37.65,0,0,0,0,0,0,0,0,37.65,-6.64,0,0,0,0,0,,0,-2.71,0,28.3,5/17/21,0,0,19
Aroma Pizza,,#896AD,349125be-4db1-4594-8173-6886e19896ad,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/12/21,8:30 PM,33.93,2.63,36.56,0,0,0,0,0,0,0,0,36.56,-6.45,0,0,0,0,0,,0,-2.63,0,27.48,5/17/21,0,0,19
Aroma Pizza,,#2B2CF,b78d5ae3-abb7-465a-8ecf-6f2aab42b2cf,Delivery - Partner Using Uber App,UberEats iOS,Unfulfilled,5/12/21,9:17 PM,34.91,2.71,37.62,0,0,0,0,0,0,0,0,37.62,-6.63,0,0,0,0,0,,0,-2.71,0,28.28,5/17/21,0,0,19
Aroma Pizza,,#C0ABA,64fda90f-248b-4573-b642-d1fe637c0aba,Pickup,UberEats iOS,Completed,5/13/21,5:58 PM,32.47,2.52,34.99,0,0,0,0,0,0,0,0,34.99,0,0,0,0,0,0,,0,-2.52,0,32.47,5/17/21,0,0,
Aroma Pizza,,#67EC9,cda84e7a-d688-481e-a360-991c2ff67ec9,Delivery - Partner Using Uber App,Postmates iOS,Completed,5/14/21,1:01 PM,14.98,1.16,16.14,0,0,0,0,0,0,0,0,16.14,-4.04,0,0,0,0,0,,0,-1.16,0,10.94,5/17/21,0,0,27
Aroma Pizza,,#B910D,cb2c7fac-b00f-4d6d-a626-98f3a1db910d,Delivery - Partner Using Uber App,Postmates Android,Completed,5/14/21,7:24 PM,33.76,2.62,36.38,0,0,0,0,0,0,0,0,36.38,-9.12,0,0,0,0,0,,0,-2.62,0,24.64,5/17/21,0,0,27
Aroma Pizza,,#091CA,20dd6e35-3ea4-4825-9acf-e9e04b0091ca,Delivery - Partner Using Uber App,UberEats Android,Completed,5/14/21,8:34 PM,37.94,2.94,40.88,0,0,0,0,0,0,0,0,40.88,-7.21,0,0,0,0,0,,0,-2.94,0,30.73,5/17/21,0,0,19
Aroma Pizza,,#5A413,8d24f1c1-cd2c-422b-9f54-62a17005a413,Delivery - Partner Using Uber App,UberEats iOS,Completed,5/14/21,8:53 PM,36.94,2.86,39.8,0,0,0,0,0,0,0,0,39.8,-7.02,0,0,0,0,0,,0,-2.86,0,29.92,5/17/21,0,0,19
Aroma Pizza,,#D28EA,bddcf42b-8aad-49cc-a3d7-04c911fd28ea,Delivery - Partner Using Uber App,Postmates Android,Completed,5/15/21,5:46 PM,31.96,2.48,34.44,0,0,0,0,0,0,0,0,34.44,-8.63,0,0,0,0,0,,0,-2.48,0,23.33,5/17/21,0,0,27
Aroma Pizza,,#8CB17,4f272d85-56f6-4db0-9292-cf0db808cb17,Delivery - Partner Using Uber App,UberEats Android,Completed,5/15/21,6:17 PM,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,-4.56,0,0,0,0,0,,0,-1.86,0,19.42,5/17/21,0,0,19
