"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-265615643336107","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/26/21","5:01 PM","21.97","0","1.99","1.85","3.87","29.68","-5.99","0","-1.21","0"
"O-251215435698903","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/4/21","6:12 PM","26.99","0","0.00","2.09","0","29.08","-6.75","0","-1.19","0"
"O-307615507060589","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/11/21","5:49 PM","30.98","0","6.99","2.94","5.00","45.91","-9.49","0","-1.70","0"
"O-780815484294812","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/9/21","7:12 PM","31.15","0","2.99","2.64","6.71","43.49","-8.54","0","-1.63","0"
"O-994115419314908","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/3/21","2:25 PM","27.74","0","0.00","2.15","0","29.89","-6.94","0","-1.21","0"
"O-360615504453166","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/11/21","6:35 PM","38.97","0","0.00","3.02","0","41.99","-9.74","0","-1.58","0"
"O-435915587839241","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-435915587839241","Refund due to order adjustment quality 1 Cheese Pizza, 1 Mozzarella Marinara Sticks, 1 French Fries
","6/19/21","7:14 PM","-31.76","0","0.00","-2.46","0","-34.22","0","0","0","0"
"O-521615631808769","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/25/21","4:41 PM","55.28","0","2.99","4.51","12.56","75.34","-14.57","0","-2.60","0"
"O-225215602441686","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/21/21","8:44 PM","31.45","0","2.99","2.67","3.71","40.82","-8.61","0","-1.55","0"
"O-287915586068435","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/20/21","2:08 PM","58.69","0","0.00","4.55","0","63.24","-14.67","0","-2.23","0"
