"Delivery Date","Order #",Name,Location,"Food Total",Period,"Check Date"
06/24/2021,1203443,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",131.87,14,07/09/2021
06/23/2021,1203491,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",262.93,14,07/09/2021
06/22/2021,1203456,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",251.82,14,07/09/2021
06/17/2021,1199153,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",255.57,14,07/09/2021
06/16/2021,1199107,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",252.51,14,07/09/2021
06/15/2021,1199144,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",260.25,14,07/09/2021
06/14/2021,1199097,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",123.86,14,07/09/2021
06/14/2021,1202842,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",15.47,14,07/09/2021
06/10/2021,1196007,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",135.58,13,06/25/2021
06/03/2021,1193149,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",116.36,13,06/25/2021
06/02/2021,1192238,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",166.06,13,06/25/2021
06/01/2021,1193083,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",216.37,13,06/25/2021
