,"902 Broadway New York, NY 10010",Aroma Pizza & Pasta,,
,"Activity Period: Tue Jun 1, 2021 to Wed","20491 Alton Pkwy, Lake Forest CA, 92630",,
,"Jun 30, 2021",Account ID: 15639,,
,W-9 form reminder,,,
,"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t",,,
,"already, return them asap. Talk to your Account Manager or email Partner@SliceLife.com",,,
Summary of Your Activity,,,"From June 1, 2021 to June 30, 2021, your",
Online Orders,,"$4,353.56","restaurant made $4,373.56 with Slice.",
121 orders,,"$5,174.28",Activity Details,
Processing fee,,-$207.14,Net Sales,"$4,221.17"
Slice partnership fee,,-$270.00,"Taxes
Sales Tax Withholding","$343.58
-$343.58"
Sales tax withholding,,-$343.58,Cust. Delivery fee,$192.45
"4 Slice
Adjustments",,$20.00,"Tips
Slice Adjustments
Slice Fees","$417.08
$20.00
-$477.14"
"TOTAL OF 121
ORDERS",$0.00,"$4,373.56",Total Earnings,"$4,373.56"
,"Paid directly by
your custom ers",Total Earnings,,
,,,Slice spent $20.00,
,,,in funding promo codes,
,,,for your customers! *,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not,,,,
correspond to a payment. The amounts on this report are,,,,
for your reference and reporting needs. Please refer to your,,,,
official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

"902 Broadway New York, NY 10010",,,,,Aroma Pizza & Pasta,,,,,,
"Activity Period: Tue Jun 1, 2021 to Wed",,,,,"20491 Alton Pkwy, Lake Forest CA, 92630",,,,,,
"Jun 30, 2021",,,,,Account ID: 15639,,,,,,
Online Orders,,,,,,,,,,,
,,,,,Cust.,,,,,,
,,Order,Pickup,,,Order,,,Order,P'ship,Proc.
Date & Time,Order ID,,,Subtotal,Delivery,,Tax,Tips,,,
,,Type,Delivery,,,Adjust.,,,Total,Fee,Fee
,,,,,Fee,,,,,,
"Jun 01, 2021
Tuesday
5:10pm",47694980,Credit,Delivery,$33.81,$2.99,$0.00,$2.85,$5.00,$44.65,-$2.25,-$1.79
"Jun 02, 2021
Wednesday
1:16pm",47715430,Credit,Delivery,$21.99,$1.99,-$0.01,$1.86,$3.30,$29.13,-$2.25,-$1.17
"Jun 02, 2021
Wednesday
6:25pm",47746053,Credit,Pickup,$57.45,$0.00,$0.00,$4.45,$5.00,$66.90,-$2.25,-$2.68
"Jun 03, 2021
Thursday
11:44am",47759765,Credit,Pickup,$43.00,$0.00,-$0.01,$3.33,$0.00,$46.32,-$2.25,-$1.86
"Jun 03, 2021
Thursday
12:29pm",47761461,Credit,Pickup,$12.99,$0.00,$0.00,$1.01,$0.00,$14.00,-$2.25,-$0.56
"Jun 03, 2021
Thursday
3:02pm",47777520,Credit,Pickup,$11.74,$0.00,$0.00,$0.91,$0.00,$12.65,-$2.25,-$0.51
"Jun 03, 2021
Thursday
6:46pm",47800902,Credit,Pickup,$26.99,$0.00,$0.00,$2.09,$2.85,$31.93,-$2.25,-$1.28
"Jun 04, 2021
Friday
1:04pm",47821504,Credit,Pickup,$40.90,$0.00,$0.00,$3.17,$4.09,$48.16,-$2.25,-$1.93
"Jun 04, 2021
Friday
5:18pm",47878796,Credit,Delivery,$30.98,$2.99,$0.00,$2.63,$4.65,$41.25,-$2.25,-$1.65
"Jun 04, 2021
Friday
5:44pm",47882606,Credit,Pickup,$43.56,$0.00,$0.00,$3.38,$0.00,$46.94,-$2.25,-$1.88
"Jun 04, 2021
Friday
5:49pm",47883309,Credit,Pickup,$13.78,$0.00,$0.00,$1.07,$1.38,$16.23,-$2.25,-$0.65
"Jun 04, 2021
Friday
5:50pm",47883431,Credit,Delivery,$35.53,$1.99,$0.00,$2.91,$5.33,$45.76,-$2.25,-$1.83
"Jun 04, 2021
Friday
6:35pm",47888000,Credit,Pickup,$18.53,$0.00,$0.00,$1.44,$1.85,$21.82,-$2.25,-$0.87
"Jun 04, 2021",,,,,,,,,,,
Friday,47888388,Credit,Delivery,$18.99,$4.99,$0.00,$1.86,$2.85,$28.69,-$2.25,-$1.15
6:40pm,,,,,,,,,,,

"Jun 04, 2021
Friday
7:06pm",47890094,Credit,Delivery,$22.25,$2.99,$0.00,$1.96,$3.34,$30.54,-$2.25,-$1.22
"Jun 05, 2021
Saturday
1:07pm",47909779,Credit,Delivery,$38.71,$4.99,$0.00,$3.39,$7.74,$54.83,-$2.25,-$2.19
"Jun 05, 2021
Saturday
2:19pm",47918664,Credit,Pickup,$33.72,$0.00,$0.00,$2.61,$0.00,$36.33,-$2.25,-$1.45
"Jun 05, 2021
Saturday
4:37pm",47944151,Credit,Delivery,$21.44,$1.99,$0.00,$1.82,$3.22,$28.47,-$2.25,-$1.14
"Jun 05, 2021
Saturday
7:43pm",47962057,Credit,Pickup,$16.87,$0.00,$0.00,$1.31,$0.00,$18.18,-$2.25,-$0.73
"Jun 05, 2021
Saturday
8:33pm",47963355,Credit,Delivery,$27.37,$4.99,$0.00,$2.51,$0.00,$34.87,-$2.25,-$1.40
"Jun 06, 2021
Sunday
4:33pm",48009269,Credit,Pickup,$33.77,$0.00,$0.00,$2.62,$3.00,$39.39,-$2.25,-$1.58
"Jun 06, 2021
Sunday
5:43pm",48016425,Credit,Delivery,$21.99,$1.99,-$0.01,$1.86,$3.30,$29.13,-$2.25,-$1.17
"Jun 06, 2021
Sunday
8:11pm",48022272,Credit,Pickup,$15.48,$0.00,$0.00,$1.20,$2.32,$19.00,-$2.25,-$0.76
"Jun 07, 2021
Monday
3:39pm",48047478,Credit,Delivery,$37.42,$6.99,$0.00,$3.44,$6.00,$53.85,-$2.25,-$2.16
"Jun 07, 2021
Monday
7:05pm",48061566,Credit,Delivery,$42.98,$2.99,-$0.01,$3.56,$8.59,$58.11,-$2.25,-$2.32
"Jun 07, 2021
Monday
7:44pm",48062311,Credit,Delivery,$43.96,$1.99,$0.00,$3.56,$6.59,$56.10,-$2.25,-$2.24
"Jun 07, 2021
Monday
7:49pm",48062385,Credit,Delivery,$41.99,$4.99,-$0.01,$3.64,$3.00,$53.61,-$2.25,-$2.14
"Jun 08, 2021
Tuesday
12:35pm",48074241,Credit,Pickup,$10.99,$0.00,$0.00,$0.85,$1.65,$13.49,-$2.25,-$0.54
"Jun 08, 2021
Tuesday
1:00pm",48075319,Credit,Delivery,$33.83,$4.99,$0.00,$3.01,$5.07,$46.90,-$2.25,-$1.88
"Jun 08, 2021
Tuesday
5:39pm",48103239,Credit,Pickup,$41.97,$0.00,$0.00,$3.25,$3.00,$48.22,-$2.25,-$1.93
"Jun 08, 2021",,,,,,,,,,,
Tuesday,48103667,Credit,Delivery,$34.97,$1.99,$0.00,$2.86,$5.25,$45.07,-$2.25,-$1.80
5:46pm,,,,,,,,,,,

"Jun 08, 2021
Tuesday
7:53pm",48107460,Credit,Pickup,$33.98,$0.00,$0.00,$2.63,$0.00,$36.61,-$2.25,-$1.46
"Jun 08, 2021
Tuesday
8:04pm",48107573,Credit,Pickup,$18.99,$0.00,$0.00,$1.47,$0.00,$20.46,-$2.25,-$0.62
"Jun 09, 2021
Wednesday
11:03am",48116715,Credit,Pickup,$34.47,$0.00,$0.00,$2.67,$0.00,$37.14,-$2.25,-$1.49
"Jun 09, 2021
Wednesday
11:16am",48117091,Credit,Pickup,$10.99,$0.00,$0.00,$0.85,$2.75,$14.59,-$2.25,-$0.59
"Jun 09, 2021
Wednesday
5:15pm",48148822,Credit,Delivery,$66.22,$1.99,$0.00,$5.29,$6.62,$80.12,-$2.25,-$3.20
"Jun 09, 2021
Wednesday
6:17pm",48152705,Credit,Delivery,$25.98,$2.99,$0.00,$2.25,$0.00,$31.22,-$2.25,-$1.25
"Jun 09, 2021
Wednesday
6:52pm",48153897,Credit,Pickup,$25.98,$0.00,$0.00,$2.01,$3.90,$31.89,-$2.25,-$1.28
"Jun 09, 2021
Wednesday
7:46pm",48155090,Credit,Pickup,$16.78,$0.00,$0.00,$1.30,$2.00,$20.08,-$2.25,-$0.81
"Jun 10, 2021
Thursday
4:09pm",48192475,Credit,Pickup,$17.99,$0.00,$0.00,$1.39,$0.00,$19.38,-$2.25,-$0.78
"Jun 10, 2021
Thursday
4:27pm",48194708,Credit,Pickup,$51.33,$0.00,$0.00,$3.98,$0.00,$55.31,-$2.25,-$2.22
"Jun 10, 2021
Thursday
7:03pm",48206582,Credit,Delivery,$38.71,$4.99,$0.00,$3.39,$5.81,$52.90,-$2.25,-$2.12
"Jun 11, 2021
Friday
11:53am",48222007,Credit,Pickup,$36.46,$0.00,$0.00,$2.83,$5.47,$44.76,-$2.25,-$1.79
"Jun 11, 2021
Friday
11:54am",48222074,Credit,Pickup,$26.99,$0.00,$0.00,$2.09,$0.00,$29.08,-$2.25,-$1.17
"Jun 11, 2021
Friday
12:22pm",48223531,Credit,Delivery,$34.48,$4.99,$0.00,$3.06,$5.17,$47.70,-$2.25,-$1.91
"Jun 11, 2021
Friday
4:26pm",48273335,Credit,Pickup,$50.23,$0.00,$0.00,$3.89,$0.00,$54.12,-$2.25,-$2.17
"Jun 11, 2021
Friday
6:38pm",48291403,Credit,Pickup,$25.47,$0.00,$0.00,$1.97,$0.00,$27.44,-$2.25,-$1.10
"Jun 12, 2021
Saturday
1:23pm",48313651,Credit,Pickup,$30.34,$0.00,$0.00,$2.35,$0.00,$32.69,-$2.25,-$1.31

"Jun 12, 2021
Saturday3:07pm",48329361,Credit,Delivery,$42.45,$1.99,$0.00,$3.44,$6.37,$54.25,-$2.25,-$2.17
