Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %
Aroma Pizza,,#7545D,cacfb932-dfba-444a-92cb-e8b38a07545d,Delivery - Partner Using Uber App,UberEats iOS,Completed,6/1/21,7:16 PM,37.92,2.94,40.86,0,0,0,0,0,0,0,0,40.86,-7.2,0,0,0,0,0,,0,-2.94,0,30.72,6/7/21,0,0,19
Aroma Pizza,,#2A694,aeb0f370-150a-41a9-b725-32799c52a694,Delivery - Partner Using Uber App,UberEats iOS,Completed,6/1/21,8:04 PM,12.99,1.01,14,0,0,0,0,0,0,0,0,14,-2.47,0,0,0,0,0,,0,-1.01,0,10.52,6/7/21,0,0,19
Aroma Pizza,,#0363B,6586cebb-a4d0-41d9-aeff-d43d09a0363b,Delivery - Partner Using Uber App,Postmates Android,Completed,6/1/21,8:28 PM,24.48,1.9,26.38,0,0,0,0,0,0,0,0,26.38,-6.61,0,0,0,0,0,,0,-1.9,0,17.87,6/7/21,0,0,27
Aroma Pizza,,#7FF64,dd6397b3-ac53-4b22-88fa-21f51417ff64,Delivery - Partner Using Uber App,Postmates iOS,Completed,6/1/21,9:06 PM,18.98,1.47,20.45,0,0,0,0,0,0,0,0,20.45,-5.12,0,0,0,0,0,,0,-1.47,0,13.86,6/7/21,0,0,27
Aroma Pizza,,#22DA2,e889f945-b6c8-4630-9525-bc36b4722da2,Delivery - Partner Using Uber App,UberEats iOS,Completed,6/2/21,10:40 AM,12.99,1.01,14,0,0,0,0,0,0,0,0,14,-2.47,0,0,0,0,0,,0,-1.01,0,10.52,6/7/21,0,0,19
Aroma Pizza,,#56539,0584cd74-667e-4b90-899c-8890d6156539,Delivery - Partner Using Uber App,UberEats iOS,Completed,6/2/21,6:14 PM,19.15,1.48,20.63,0,0,0,0,0,0,0,0,20.63,-3.64,0,0,0,0,0,,0,-1.48,0,15.51,6/7/21,0,0,19
Aroma Pizza,,#CC48A,6af82f29-d6d1-49d5-9ec0-2a1a9ebcc48a,Delivery - Partner Using Uber App,UberEats iOS,Completed,6/2/21,8:16 PM,51.24,3.97,55.21,0,0,0,0,0,0,0,0,55.21,-9.74,0,0,0,0,0,,0,-3.97,0,41.5,6/7/21,0,0,19
Aroma Pizza,,#08C51,a3edf711-cccc-4708-9d94-d1f0b7308c51,Delivery - Partner Using Uber App,UberEats iOS,Unfulfilled,6/2/21,9:17 PM,19.99,1.55,21.54,0,0,0,0,0,0,0,0,21.54,-3.8,0,0,0,0,0,,0,-1.55,0,16.19,6/7/21,0,0,19
Aroma Pizza,,#1A963,72e8d8ed-5ea3-4207-a981-82932871a963,Delivery - Partner Using Uber App,Postmates iOS,Completed,6/3/21,12:03 PM,16.78,1.3,18.08,0,0,0,0,0,0,0,0,18.08,-4.53,0,0,0,0,0,,0,-1.3,0,12.25,6/7/21,0,0,27
Aroma Pizza,,#7D35E,fdf34f5f-54ce-4330-8dfe-4d55abb7d35e,Delivery - Partner Using Uber App,UberEats iOS,Canceled,6/3/21,12:27 PM,16.98,1.32,18.3,0,0,0,0,0,0,0,0,18.3,-3.23,0,0,0,0,0,,0,-1.32,0,13.75,6/7/21,0,0,19
Aroma Pizza,,#2F3A3,e04b8ecd-f1d6-467b-b5e6-4fee8e42f3a3,Delivery - Partner Using Uber App,UberEats iOS,Completed,6/3/21,1:42 PM,14.49,1.12,15.61,0,0,0,0,0,0,0,0,15.61,-2.75,0,0,0,0,0,,0,-1.12,0,11.74,6/7/21,0,0,19
Aroma Pizza,,#BB5BB,781884ac-5a6c-4c07-83f7-0143d30bb5bb,Delivery - Partner Using Uber App,UberEats iOS,Completed,6/3/21,2:55 PM,16.98,1.32,18.3,0,0,0,0,0,0,0,0,18.3,-3.23,0,0,0,0,0,,0,-1.32,0,13.75,6/7/21,0,0,19
Aroma Pizza,,#5DA15,cd08ba8a-ea48-4e32-911f-39774165da15,Delivery - Partner Using Uber App,UberEats iOS,Completed,6/3/21,4:20 PM,35.95,2.79,38.74,0,0,0,0,0,0,0,0,38.74,-6.83,0,0,0,0,0,,0,-2.79,0,29.12,6/7/21,0,0,19
Aroma Pizza,,#03F2A,8a2faf6d-b07e-4963-9535-79acc1f03f2a,Pickup,UberEats Web,Completed,6/3/21,4:13 PM,27.56,2.14,29.7,0,0,0,0,0,0,0,0,29.7,0,0,0,0,0,0,,0,-2.14,0,27.56,6/7/21,0,0,
Aroma Pizza,,#ACF6D,295b8494-de77-467b-90af-99746aeacf6d,Delivery - Partner Using Uber App,Postmates Android,Completed,6/3/21,5:54 PM,30.77,2.38,33.15,0,0,0,0,0,0,0,0,33.15,-8.31,0,0,0,0,0,,0,-2.38,0,22.46,6/7/21,0,0,27
Aroma Pizza,,#998BA,3e2bec25-8c70-4583-9799-ef00878998ba,Delivery - Partner Using Uber App,UberEats iOS,Completed,6/3/21,5:36 PM,20.03,1.55,21.58,0,0,0,0,0,0,0,0,21.58,-3.81,0,0,0,0,0,,0,-1.55,0,16.22,6/7/21,0,0,19
Aroma Pizza,,#83606,2aba674a-3e10-4b2b-b93d-74d19b283606,Pickup,UberEats iOS,Completed,6/3/21,5:35 PM,46.97,3.64,50.61,0,0,0,0,0,0,0,0,50.61,0,0,0,0,0,0,,0,-3.64,0,46.97,6/7/21,0,0,
Aroma Pizza,,#92DEA,1da706aa-e94c-465e-bcfe-7fe737592dea,Delivery - Partner Using Uber App,UberEats Android,Completed,6/3/21,6:56 PM,44.46,3.45,47.91,0,0,0,0,0,0,0,0,47.91,-8.45,0,0,0,0,0,,0,-3.45,0,36.01,6/7/21,0,0,19
