,Aroma Pizza,,,,,,,,& Pasta,,
,Start Date,,,,,,,,7/1/2021,,
,End Date,,,,,,,,8/1/2021,,
,Prepaid Total,,,,,,,,$37.97,,
,Taxes Withheld,,,,,,,,$7.91,,
,Orders,Subtotal       Tax,,,Delivery,,,Tip,Total,,
,1,$29.98      $0.00,,,$2.99,,,$5.00,$37.97,,
,,Charge,,,,,,,Note,,
,Prepaid,Total       $37.97,,,,,,,,,
,Commission,(Comm)      ($5.70),,,,,,,,,
"Processing (Proc)
Total Charges",,,,,,,,,,,
,,,,"($1.53)
($7.23)",,,,,,,
,,,,,,,,,,,
7/3/2021,,,,,,,,,,,
ID,,,,,,Tip,Total,Proc,,Comm,
12:54 PM  Delivery                                       28608074,,,,,,$5.00,$37.97,$1.53,,$5.70,
Phone: (866) 654-8777     Email: support@eatstreet.com,,,,,,,,,,,
