"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-974115931986969","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/25/21","5:11 PM","30.48","0.00","0","2.36","4.92","37.76","-7.62","0","-1.45","0"
"O-274615937931045","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/24/21","7:40 PM","60.86","8.99","0","5.42","8.23","83.50","-17.46","0","-2.85","0"
"O-486315998299557","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/30/21","6:19 PM","58.75","1.99","0","4.70","6.54","71.98","-9.11","0","-2.50","0"
"O-908215837393974","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/14/21","9:45 PM","38.94","8.99","0","3.72","8.39","60.04","-11.98","0","-2.13","0"
"O-213915930328532","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/24/21","6:19 PM","32.97","0.00","0","2.56","5.33","40.86","-8.24","0","-1.55","0"
"O-189515835811411","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/14/21","8:26 PM","25.98","0.00","0","2.01","0","27.99","-6.50","0","-1.15","0"
"O-189515815810915","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/12/21","7:36 PM","25.98","0.00","0","2.01","4.20","32.19","-6.50","0","-1.28","0"
"O-719115692394499","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/1/21","1:20 PM","11.99","0.00","0","0.93","1.93","14.85","-3.00","0","-0.75","0"
"O-431115880334445","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/19/21","5:23 PM","17.98","0.00","0","1.39","2.90","22.27","-4.50","0","-0.98","0"
"O-816515797318571","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/10/21","8:00 PM","21.99","0.00","0","1.70","0","23.69","-5.50","0","-1.02","0"
"O-794915815789927","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/12/21","5:57 PM","23.86","6.99","0","2.39","2.57","35.81","-7.71","0","-1.39","0"
"O-233115839927401","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/14/21","9:31 PM","58.45","0.00","0","4.53","0","62.98","-14.61","0","-2.22","0"
"O-760515767221110","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/8/21","3:49 PM","39.72","2.99","0","3.31","6.90","52.92","-10.68","0","-1.91","0"
"O-735115712997453","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/2/21","6:45 PM","34.94","0.00","0","2.71","0","37.65","-8.74","0","-1.45","0"
"O-572715994671464","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/30/21","7:45 PM","35.93","4.99","0","3.17","6.61","50.70","-6.14","0","-1.85","0"
"O-205315862568021","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/18/21","12:41 PM","56.96","8.99","0","5.11","7.11","78.17","-16.49","0","-2.68","0"
"O-232715884986840","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/21/21","11:30 AM","253.96","19.99","0","21.23","47.15","342.33","-47.94","0","-10.74","0"
"O-305815991195179","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/30/21","7:11 PM","41.98","6.99","0","3.79","10.55","63.31","-7.35","0","-2.23","0"
"O-969815706665710","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/1/21","6:16 PM","16.98","6.99","0","1.86","4.58","30.41","-5.99","0","-1.23","0"
"O-816515797313274","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/10/21","7:35 PM","66.29","0.00","0","5.14","0","71.43","-16.57","0","-2.48","0"
"O-543215763441792","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/8/21","1:07 PM","11.98","0.00","0","0.93","1.29","14.20","-3.00","0","-0.73","0"
"O-878515742182756","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/5/21","6:06 PM","51.94","1.99","0","4.18","5.81","63.92","-13.48","0","-2.25","0"
"O-195015995753716","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/31/21","12:15 PM","50.96","2.99","0","4.18","5.49","63.62","-8.09","0","-2.24","0"
"O-839615951212654","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/26/21","8:34 PM","69.28","2.99","0","5.60","11.68","89.55","-10.84","0","-3.03","0"
"O-274615927938145","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/23/21","6:04 PM","52.11","6.99","0","4.58","6.37","70.05","-14.78","0","-2.44","0"
"O-464915938184294","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/24/21","8:03 PM","44.76","4.99","0","3.86","10.72","64.33","-12.44","0","-2.26","0"
"O-292815926317946","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/23/21","7:08 PM","32.85","0.00","0","2.55","0","35.40","-8.21","0","-1.38","0"
"O-763415881109714","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/19/21","8:19 PM","82.90","4.99","0","6.81","13.40","108.10","-21.97","0","-3.60","0"
"O-647015859113365","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/17/21","12:00 PM","73.68","6.99","0","6.25","0","86.92","-20.17","0","-2.95","0"
"O-189015920839068","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/23/21","5:20 PM","38.32","0.00","0","2.97","0","41.29","-9.58","0","-1.56","0"
"O-232715814945699","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/13/21","5:25 PM","15.77","2.99","0","1.45","3.03","23.24","-4.69","0","-1.01","0"
"O-223815762652212","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/7/21","8:26 PM","23.86","0.00","0","1.85","3.85","29.56","-5.97","0","-1.20","0"
"O-647015829135556","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/13/21","7:15 PM","30.98","6.99","0","2.94","6.68","47.59","-9.49","0","-1.75","0"
"O-305815951179833","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/27/21","3:21 PM","13.99","0.00","0","1.08","2.25","17.32","-2.10","0","-0.83","0"
"O-719115732367186","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/4/21","7:32 PM","16.73","6.99","0","1.84","6.39","31.95","-5.93","0","-1.27","0"
"O-023016006523195","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/31/21","9:31 PM","15.98","2.99","0","1.47","3.07","23.51","-2.85","0","-1.02","0"
"O-223815782642438","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/10/21","3:31 PM","26.99","4.99","0","2.48","7.27","41.73","-8.00","0","-1.57","0"
"O-763415821103168","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/13/21","7:00 PM","47.95","4.99","0","4.11","7.75","64.80","-13.24","0","-2.28","0"
"O-216115750982471","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/6/21","6:34 PM","12.99","0.00","0","1.01","0","14.00","-3.25","0","-0.73","0"
"O-132015989722371","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/29/21","6:21 PM","27.97","2.99","0","2.40","5.00","38.36","-4.64","0","-1.47","0"
"O-655015929281410","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/24/21","12:59 PM","14.53","0.00","0","1.13","0","15.66","-3.63","0","-0.78","0"
"O-763415851170440","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/16/21","9:20 PM","28.98","6.99","0","2.79","0","38.76","-8.99","0","-1.48","0"
"O-266315819788040","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/12/21","6:40 PM","27.45","4.99","0","2.52","5.24","40.20","-8.11","0","-1.53","0"
"O-193215987902316","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/30/21","2:27 PM","16.98","6.99","0","1.86","4.58","30.41","-3.60","0","-1.23","0"
"O-316915781426236","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/10/21","5:42 PM","45.63","6.99","0","4.08","8.51","65.21","-13.16","0","-2.29","0"
"O-252615732205827","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/4/21","7:14 PM","54.95","6.99","0","4.80","10.01","76.75","-15.49","0","-2.64","0"
"O-925215971107635","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/28/21","8:53 PM","56.77","4.99","0","4.79","9.18","75.73","-9.26","0","-2.61","0"
"O-925215981109204","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/29/21","7:44 PM","20.98","1.99","0","1.78","4.95","29.70","-3.45","0","-1.21","0"
"O-664615729483237","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/4/21","5:33 PM","23.98","2.99","0","2.09","4.35","33.41","-6.74","0","-1.32","0"
"O-857715742777825","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/5/21","5:54 PM","34.96","6.99","0","3.25","0","45.20","-10.49","0","-1.68","0"
"O-710215723154205","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/3/21","8:56 PM","27.48","0.00","0","2.13","0","29.61","-6.87","0","-1.20","0"
"O-064515725813613","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/3/21","8:25 PM","46.03","2.99","0","3.80","7.92","60.74","-12.26","0","-2.15","0"
"O-431115870335617","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/18/21","9:39 PM","19.98","6.99","0","2.09","5.38","34.44","-6.74","0","-1.35","0"
"O-363815751428544","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/6/21","5:54 PM","30.98","2.99","0","2.63","5.49","42.09","-8.49","0","-1.58","0"
"O-543215783421289","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/9/21","9:46 PM","45.23","6.99","0","4.05","11.25","67.52","-13.06","0","-2.36","0"
"O-393015869930519","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/17/21","8:59 PM","24.73","0.00","0","1.92","0","26.65","-6.18","0","-1.11","0"
"O-065915748400008","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/5/21","7:09 PM","34.96","4.99","0","3.10","6.45","49.50","-9.99","0","-1.81","0"
"O-816515797316808","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/10/21","9:00 PM","38.43","1.99","0","3.13","8.28","51.83","-10.11","0","-1.88","0"
"O-330915715597527","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/2/21","7:57 PM","47.22","4.99","0","4.05","5.00","61.26","-13.05","0","-2.17","0"
"O-619115741289029","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/6/21","11:12 AM","11.99","0.00","0","0.93","1.20","14.12","-3.00","0","-0.73","0"
"O-992715939530398","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/24/21","6:27 PM","19.99","4.99","0","1.94","4.04","30.96","-6.25","0","-1.24","0"
"O-511815724809189","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/3/21","5:54 PM","66.93","1.99","0","5.34","10.82","85.08","-17.23","0","-2.89","0"
"O-064515725810831","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/3/21","9:36 PM","27.98","0.00","0","2.17","0","30.15","-7.00","0","-1.22","0"
"O-193215977915904","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/28/21","8:13 PM","16.98","1.99","0","1.47","3.07","23.51","-2.85","0","-1.02","0"
"O-451115781909864","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/10/21","12:00 PM","56.96","0.00","0","4.41","0","61.37","-14.24","0","-2.17","0"
"O-252215923755675","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/23/21","6:02 PM","40.96","1.99","0","3.32","5.00","51.27","-10.74","0","-1.86","0"
"O-976115981064637","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/30/21","2:10 PM","43.97","0.00","0","3.41","5.00","52.38","-6.60","0","-1.90","0"
"O-278215727678551","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/4/21","2:26 PM","16.98","6.99","0","1.86","4.58","30.41","-5.99","0","-1.23","0"
"O-252215913757041","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/22/21","9:16 PM","18.97","0.00","0","1.47","0","20.44","-4.74","0","-0.92","0"
"O-925215961102628","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/27/21","6:16 PM","19.98","6.99","0","2.09","3.23","32.29","-4.05","0","-1.28","0"
"O-989615854151500","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/16/21","8:07 PM","21.36","2.99","0","1.89","3.00","29.24","-6.09","0","-1.19","0"
"O-595615762641554","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/7/21","5:56 PM","26.47","8.99","0","2.75","7.64","45.85","-8.87","0","-1.70","0"
"O-431115890333156","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/20/21","7:28 PM","39.49","1.99","0","3.21","6.38","51.07","-10.37","0","-1.86","0"
"O-572715994679196","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/30/21","6:54 PM","36.96","8.99","0","3.56","4.95","54.46","-6.89","0","-1.96","0"
"O-229815719931139","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/3/21","2:36 PM","59.91","6.99","0","5.18","10.81","82.89","-16.73","0","-2.83","0"
"O-502715982213151","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/29/21","9:07 PM","32.73","6.99","0","3.08","3.00","45.80","-5.96","0","-1.70","0"
"O-754215785613150","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/9/21","8:52 PM","21.99","6.99","0","2.24","4.68","35.90","-7.25","0","-1.39","0"
"O-511815714800435","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/2/21","6:23 PM","40.27","0.00","0","3.12","0","43.39","-10.07","0","-1.62","0"
"O-280215805710968","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/11/21","7:39 PM","34.76","6.99","0","3.23","3.00","47.98","-10.44","0","-1.76","0"
"O-603315902250941","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/22/21","12:28 PM","22.47","1.99","0","1.89","5.27","31.62","-6.12","0","-1.26","0"
"O-655015939212522","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/24/21","7:56 PM","47.71","1.99","0","3.85","8.03","61.58","-12.43","0","-2.18","0"
"O-683815923980782","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/23/21","5:58 PM","15.99","2.99","0","1.47","4.00","24.45","-4.75","0","-1.05","0"
"O-623815779057273","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/8/21","6:40 PM","14.99","0.00","0","1.16","0","16.15","-3.75","0","-0.79","0"
"O-504015795464680","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/10/21","5:42 PM","19.28","0.00","0","1.49","3.11","23.88","-4.82","0","-1.03","0"
"O-330915705594201","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/1/21","6:54 PM","53.23","1.99","0","4.28","11.47","70.97","-13.81","0","-2.46","0"
"O-922915718904731","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/2/21","7:28 PM","41.55","1.99","0","3.37","7.04","53.95","-10.89","0","-1.95","0"
"O-260315995768264","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/31/21","1:22 PM","19.99","4.99","0","1.94","4.04","30.96","-3.75","0","-1.24","0"
"O-735115702998505","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/1/21","8:43 PM","33.22","2.99","0","2.80","5.85","44.86","-9.05","0","-1.67","0"
"O-980415797398795","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/11/21","5:20 PM","32.97","4.99","0","2.95","4.09","45.00","-9.49","0","-1.67","0"
"O-504015775494811","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/9/21","12:29 PM","23.98","0.00","0","1.86","0","25.84","-6.00","0","-1.09","0"
"O-232715814982168","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/12/21","8:45 PM","14.98","0.00","0","1.16","2.86","19.00","-3.75","0","-0.88","0"
"O-252615742208414","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/5/21","9:13 PM","43.98","0.00","0","3.41","0","47.39","-11.00","0","-1.75","0"
"O-232715864986673","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/17/21","7:19 PM","15.57","2.99","0","1.44","3.00","23.00","-4.64","0","-1.00","0"
"O-305815981190093","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/29/21","8:19 PM","20.03","1.99","0","1.70","3.56","27.28","-3.30","0","-1.13","0"
"O-655015919288955","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/23/21","1:30 PM","35.97","0.00","0","2.79","4.00","42.76","-8.99","0","-1.60","0"
"O-908215887343227","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/20/21","12:37 PM","16.98","6.99","0","1.86","4.58","30.41","-5.99","0","-1.23","0"
"O-839615931219377","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/24/21","9:40 PM","32.97","2.99","0","2.79","5.81","44.56","-8.99","0","-1.66","0"
"O-504015795463038","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/10/21","6:20 PM","40.47","2.99","0","3.37","6.54","53.37","-10.87","0","-1.93","0"
"O-763415811105167","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/12/21","8:04 PM","21.99","6.99","0","2.24","3.55","34.77","-7.25","0","-1.36","0"
"O-647015829132787","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/13/21","8:20 PM","21.57","1.99","0","1.82","3.81","29.19","-5.89","0","-1.19","0"
"O-857715742772502","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/5/21","6:19 PM","24.97","1.99","0","2.09","5.81","34.86","-6.74","0","-1.36","0"
"O-064515725855825","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/4/21","12:26 PM","53.98","1.99","0","4.33","5.00","65.30","-13.99","0","-2.29","0"
"O-922915748902400","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/5/21","9:16 PM","10.99","0.00","0","0.85","0","11.84","-2.75","0","-0.66","0"
"O-431115731826506","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/4/21","7:48 PM","39.95","4.99","0","3.49","6.00","54.43","-11.24","0","-1.96","0"
"O-000615968354011","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/27/21","9:15 PM","36.69","6.99","0","3.38","0","47.06","-6.55","0","-1.74","0"
"O-260316005736147","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/31/21","6:32 PM","24.27","4.99","0","2.27","3.15","34.68","-4.39","0","-1.36","0"
"O-348815960252345","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/28/21","1:50 PM","14.53","0.00","0","1.13","0","15.66","-2.18","0","-0.78","0"
