Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Aroma Pizza,,#B696B,37ddd325-ee5f-4c86-8206-cffe683b696b,Delivery - Partner Using Uber App,UberEats iOS,Completed,7/1/21,1:02 PM,37.98,2.94,40.92,0,0,0,0,0,0,0,0,40.92,-7.22,0,0,0,0,0,,0,-2.94,0,30.76,7/6/21,0,0,19,58PD4YAH222IFJJ
Aroma Pizza,,#B696B,37ddd325-ee5f-4c86-8206-cffe683b696b,,Unknown,Refund,7/1/21,1:02 PM,-18.99,0,-18.99,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-18.99,7/6/21,,,,58PD4YAH222IFJJ
Aroma Pizza,,#5B146,72ad7e7b-7f99-4ef3-b9ef-d7e95045b146,Delivery - Partner Using Uber App,Postmates iOS,Completed,7/1/21,3:26 PM,47.71,3.7,51.41,0,0,0,0,0,0,0,0,51.41,-12.88,0,0,0,0,0,,0,-3.7,0,34.83,7/6/21,0,0,27,58PD4YAH222IFJJ
Aroma Pizza,,#0A7AD,6ad5125f-ffe0-4a0d-9a5d-53352dc0a7ad,Delivery - Partner Using Uber App,Postmates iOS,Completed,7/1/21,5:59 PM,14.53,1.13,15.66,0,0,0,0,0,0,0,0,15.66,-3.92,0,0,0,0,0,,0,-1.13,0,10.61,7/6/21,0,0,27,58PD4YAH222IFJJ
Aroma Pizza,,#F833B,2404a2f3-7ca9-419d-92bf-084b2e3f833b,Delivery - Partner Using Uber App,Postmates Android,Completed,7/1/21,5:43 PM,36.73,2.85,39.58,0,0,0,0,0,0,0,0,39.58,-9.92,0,0,0,0,0,,0,-2.85,0,26.81,7/6/21,0,0,27,58PD4YAH222IFJJ
Aroma Pizza,,#D8CCF,554cde3a-7c9f-476b-a3f6-9e263ded8ccf,Delivery - Partner Using Uber App,Postmates iOS,Completed,7/1/21,6:54 PM,11.99,0.93,12.92,0,0,0,0,0,0,0,0,12.92,-3.24,0,0,0,0,0,,0,-0.93,0,8.75,7/6/21,0,0,27,58PD4YAH222IFJJ
Aroma Pizza,,#DEFBE,45907fd6-d8f1-4f39-a133-0ca049adefbe,Delivery - Partner Using Uber App,Postmates iOS,Completed,7/2/21,12:23 PM,31.97,2.48,34.45,0,0,0,0,0,0,0,0,34.45,-8.63,0,0,0,0,0,,0,-2.48,0,23.34,7/6/21,0,0,27,58PD4YAH222IFJJ
Aroma Pizza,,#18906,6dce6e22-4c24-4b16-bfbe-3b6161718906,Delivery - Partner Using Uber App,UberEats iOS,Completed,7/2/21,4:19 PM,27.56,2.14,29.7,0,0,0,0,0,0,0,0,29.7,-5.24,0,0,0,0,0,,0,-2.14,0,22.32,7/6/21,0,0,19,58PD4YAH222IFJJ
Aroma Pizza,,#B42D6,f13d9b67-7699-4259-9a9e-3ea1ffab42d6,Delivery - Partner Using Uber App,UberEats iOS,Completed,7/2/21,5:11 PM,30.98,2.4,33.38,0,0,0,0,0,0,0,0,33.38,-5.89,0,0,0,0,0,,0,-2.4,0,25.09,7/6/21,0,0,19,58PD4YAH222IFJJ
Aroma Pizza,,#E90B4,2f1f3cc6-6f20-48cf-b23f-4594ce0e90b4,Delivery - Partner Using Uber App,UberEats Android,Completed,7/2/21,6:00 PM,37.16,2.88,40.04,0,0,0,0,0,0,0,0,40.04,-7.06,0,0,0,0,0,,0,-2.88,0,30.1,7/6/21,0,0,19,58PD4YAH222IFJJ
