"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-370616108636678","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/10/21","9:15 PM","8.99","0.00","0","0.70","0","9.69","-1.35","0","-0.60","0","0"
"O-904616129884377","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/12/21","6:56 PM","25.25","4.99","0","2.35","5.00","37.59","-4.54","0","-1.45","0","0"
"O-305416090500564","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/10/21","1:10 PM","16.98","6.99","0","1.86","4.58","30.41","-3.60","0","-1.23","0","0"
"O-756316240607267","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/25/21","5:08 PM","11.99","0.00","0","0.93","0","12.92","-1.80","0","-0.69","0","0"
"O-358216071960125","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/8/21","7:00 PM","55.96","0.00","0","3.79","5.98","65.73","-8.39","0","-2.09","0","-7.00"
"O-612216154782988","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/15/21","6:06 PM","24.73","0.00","0","1.92","3.99","30.64","-3.71","0","-1.23","0","0"
"O-117016149842428","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/15/21","1:43 PM","19.99","0.00","0","1.55","3.00","24.54","-3.00","0","-1.05","0","0"
"O-151316193258465","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/19/21","9:00 PM","20.47","8.99","0","1.90","2.17","33.53","-4.42","0","-1.17","0","-5.00"
"O-287216076353060","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/8/21","6:30 PM","21.73","0.00","0","1.68","2.34","25.75","-3.26","0","-1.09","0","0"
"O-094916032505868","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/4/21","3:44 PM","33.85","4.99","0","3.01","8.36","50.21","-5.83","0","-1.83","0","0"
"O-612216214785097","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/21/21","6:45 PM","56.75","1.99","0","4.01","6.28","69.03","-8.81","0","-2.19","0","-7.00"
"O-582216055653476","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/6/21","3:14 PM","25.99","0.00","0","2.01","4.20","32.20","-3.90","0","-1.28","0","0"
"O-370616228635359","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/22/21","5:26 PM","14.53","0.00","0","1.13","0","15.66","-2.18","0","-0.78","0","0"
"O-612216174788429","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-612216174788429","FOOD QUALITY
pizza had large gap  and look like someone took part of it pizza and just tried to put it back together","8/17/21","9:02 PM","-14.99","0.00","0","-1.16","0","-16.15","0","0","0","0","0"
"O-348816010279043","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/1/21","7:48 PM","37.98","0.00","0","2.94","4.08","45.00","-5.70","0","-1.67","0","0"
"O-900616106385122","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/10/21","6:27 PM","16.98","2.99","0","1.16","4.23","25.36","-3.00","0","-0.92","0","-5.00"
"O-222016062518294","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/6/21","5:54 PM","20.98","4.99","0","1.63","5.00","32.60","-3.90","0","-1.14","0","-5.00"
"O-518516034108466","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/4/21","1:57 PM","17.47","6.99","0","1.89","3.76","30.11","-3.67","0","-1.22","0","0"
"O-085316117757560","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/11/21","6:40 PM","41.27","8.99","0","3.90","8.12","62.28","-7.54","0","-2.20","0","0"
"O-153616074191283","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/8/21","2:46 PM","16.78","2.99","0","1.14","2.09","23.00","-2.97","0","-0.85","0","-5.00"
"O-569316022491778","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/2/21","5:44 PM","53.92","0.00","0","4.18","0","58.10","-8.09","0","-2.07","0","0"
"T-AwEAAAAAAA9Oon_VVgAB7BHsm1BnKrMxIC0","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","61221617-4788429 ab","8/20/21","12:26 PM","0","0.00","0","0.00","0","14.99","0","0","0","0","0"
"O-362516058813041","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/6/21","12:27 PM","16.98","6.99","0","1.86","4.58","30.41","-3.60","0","-1.23","0","0"
"O-859116178395627","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/17/21","7:36 PM","33.19","0.00","0","2.57","5.36","41.12","-4.98","0","-1.55","0","0"
"O-900616216386539","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/21/21","8:03 PM","45.97","6.99","0","3.72","5.00","61.68","-7.94","0","-2.03","0","-5.00"
"O-153616024157201","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/2/21","8:03 PM","21.73","2.99","0","1.91","4.68","31.31","-3.71","0","-1.25","0","0"
"O-578716207506813","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/20/21","8:46 PM","29.98","4.99","0","2.33","4.79","42.09","-5.25","0","-1.43","0","-5.00"
"O-323316305620136","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/31/21","4:58 PM","18.97","8.99","0","2.17","2.04","32.17","-4.19","0","-1.28","0","0"
"O-287616003278507","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/2/21","11:30 AM","239.95","14.99","0","19.76","43.92","318.62","-44.61","0","-10.02","0","0"
"O-612916241258918","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-612916241258918","Additional charge due to special instructions request","8/25/21","11:45 AM","0.75","0.00","0","0.06","0","0.81","0","0","0","0","0"
"O-358216081918539","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/8/21","6:45 PM","35.94","6.99","0","2.94","4.59","50.46","-6.44","0","-1.69","0","-5.00"
"O-569316072495200","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/7/21","7:04 PM","29.97","4.99","0","2.33","6.38","43.67","-5.24","0","-1.48","0","-5.00"
"O-370616178631895","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/17/21","6:52 PM","21.99","6.99","0","2.24","4.74","35.96","-4.35","0","-1.40","0","0"
"O-518516074131821","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/7/21","7:29 PM","30.98","1.99","0","2.55","5.32","40.84","-4.95","0","-1.55","0","0"
"O-569316032495776","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/3/21","7:41 PM","16.98","2.99","0","1.55","3.23","24.75","-3.00","0","-1.05","0","0"
"O-640616259981752","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/25/21","5:59 PM","33.98","4.99","0","3.02","6.29","48.28","-5.85","0","-1.77","0","0"
"O-904616169888909","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/16/21","7:43 PM","12.99","0.00","0","1.01","2.10","16.10","-1.95","0","-0.79","0","0"
"O-305416130582762","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/13/21","7:43 PM","26.96","4.99","0","2.48","3.00","37.43","-4.79","0","-1.44","0","0"
"O-135616181006011","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/19/21","5:14 PM","43.75","0.00","0","3.00","0","46.75","-6.56","0","-1.57","0","-5.00"
"O-612916241258918","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/24/21","5:48 PM","20.03","6.99","0","1.70","4.24","32.96","-4.05","0","-1.15","0","-5.00"
"O-569316052499690","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/5/21","7:50 PM","47.97","8.99","0","4.42","5.00","66.38","-8.54","0","-2.32","0","0"
"O-245016310727569","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/31/21","6:28 PM","45.91","4.99","0","3.95","10.97","65.82","-7.64","0","-2.31","0","0"
"O-580016039586250","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/4/21","11:45 AM","123.22","10.00","0","10.33","22.93","166.48","-23.31","0","-5.38","0","0"
"O-756316280649594","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/28/21","8:03 PM","89.27","0.00","0","6.92","0","96.19","-13.39","0","-3.23","0","0"
"O-252516217738414","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/22/21","2:24 PM","28.95","4.99","0","2.63","3.12","39.69","-5.09","0","-1.51","0","0"
"O-900616126386256","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/13/21","10:45 AM","19.98","0.00","0","1.55","0","21.53","-3.00","0","-0.96","0","0"
"O-287616013246582","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/1/21","8:01 PM","19.98","4.99","0","1.94","4.04","30.95","-3.75","0","-1.24","0","0"
"O-370616158633869","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/15/21","6:10 PM","45.95","8.99","0","3.87","8.82","67.63","-8.24","0","-2.21","0","-5.00"
"O-595016209231757","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/20/21","5:55 PM","16.78","6.99","0","1.45","2.65","27.87","-3.57","0","-1.00","0","-5.00"
"O-519016104824562","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/10/21","9:20 PM","28.53","1.99","0","1.97","0","32.49","-4.58","0","-1.14","0","-5.00"
"O-765616228810680","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/22/21","9:19 PM","11.99","0.00","0","0.93","0","12.92","-1.80","0","-0.69","0","0"
"O-900616216383884","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/21/21","6:30 PM","22.95","6.99","0","2.32","4.84","37.10","-4.49","0","-1.43","0","0"
"O-145916072834995","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/7/21","8:40 PM","38.97","2.99","0","2.86","6.24","51.06","-6.29","0","-1.70","0","-5.00"
"O-836516279420532","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/27/21","8:31 PM","55.96","0.00","0","4.34","0","60.30","-8.39","0","-2.14","0","0"
"O-900616126392937","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/13/21","12:41 PM","26.98","1.99","0","2.24","4.68","35.89","-4.35","0","-1.39","0","0"
"O-696016253290482","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/25/21","6:36 PM","34.97","2.99","0","2.94","8.18","49.08","-5.69","0","-1.80","0","0"
"O-252516127730266","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/13/21","1:01 PM","30.96","6.99","0","2.55","4.95","45.45","-5.69","0","-1.53","0","-5.00"
"O-900616216386539","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-900616216386539","Duplicate order","8/21/21","8:03 PM","-45.97","-6.99","0","-3.72","-5.00","-61.68","7.94","0","2.03","0","5.00"
"O-261016166517776","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/17/21","2:29 PM","40.56","4.99","0","3.53","6.56","55.64","-6.83","0","-2.00","0","0"
"O-859116218397569","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/21/21","9:10 PM","15.57","8.99","0","1.52","2.61","28.69","-3.68","0","-1.02","0","-5.00"
"O-612916271255518","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/27/21","6:30 PM","27.94","4.99","0","2.56","3.55","39.04","-4.94","0","-1.49","0","0"
"O-612216204738198","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/21/21","3:03 PM","21.99","6.99","0","2.24","4.74","35.96","-4.35","0","-1.40","0","0"
"O-151316163257109","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/16/21","6:16 PM","55.96","8.99","0","4.49","0","69.44","-9.74","0","-2.20","0","-7.00"
"O-260316015739948","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/1/21","7:24 PM","14.99","0.00","0","1.16","0","16.15","-2.25","0","-0.79","0","0"
"O-153616064159646","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/6/21","6:19 PM","19.99","4.99","0","1.94","4.04","30.96","-3.75","0","-1.24","0","0"
"O-186316037519578","Aroma Pizza & Pasta - Alton Pkwy","Cash Order",,"8/4/21","5:15 PM","26.15","0.00","0","2.03","0","28.18","-3.92","0","0","0","0"
"O-168916240284333","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/24/21","9:24 PM","18.99","0.00","0","1.08","0","20.07","-2.85","0","-0.76","0","-5.00"
"O-519016124885012","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/13/21","5:17 PM","16.99","4.99","0","1.32","0","23.30","-3.30","0","-0.86","0","-5.00"
