"Delivery Date","Order #",Name,Location,"Food Total",Period,"Check Date"
08/30/2021,1245873,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",411.93,19,09/17/2021
08/30/2021,1245292,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",226.90,19,09/17/2021
08/24/2021,1243537,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",397.88,19,09/17/2021
08/20/2021,1234600,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",101.89,18,09/03/2021
08/18/2021,1240133,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",143.16,18,09/03/2021
08/18/2021,1240470,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",52.08,18,09/03/2021
08/17/2021,1234964,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",51.20,18,09/03/2021
08/11/2021,1230651,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",136.64,18,09/03/2021
08/05/2021,1226760,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",40.96,17,08/20/2021
08/05/2021,1229116,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",115.83,17,08/20/2021
08/04/2021,1226377,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",141.74,17,08/20/2021
08/04/2021,1229041,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",127.09,17,08/20/2021
08/03/2021,1229074,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",146.39,17,08/20/2021
08/02/2021,1229131,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",166.65,17,08/20/2021
