Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Aroma Pizza,,#F9002,be46bd9e-a516-43c6-956b-1829f07f9002,Delivery - Partner Using Uber App,UberEats iOS,Unfulfilled,7/31/21,9:00 PM,12.99,1.01,14,0,0,0,0,0,0,0,0,14,-2.47,0,0,0,0,0,,0,-1.01,0,10.52,8/2/21,0,0,19,JR5FLHNK03KUTID
Aroma Pizza,,#69408,88bce86e-d02e-414f-8ea5-703720569408,Delivery - Partner Using Uber App,UberEats iOS,Completed,8/1/21,3:08 PM,23.47,1.82,25.29,0,0,0,0,0,0,0,0,25.29,-4.46,0,0,0,0,0,,0,-1.82,0,19.01,8/2/21,0,0,19,JR5FLHNK03KUTID
Aroma Pizza,,#3D349,5b7a2f5e-5949-49e6-bfb6-fdf50c03d349,Delivery - Partner Using Uber App,Postmates iOS,Canceled,8/1/21,6:22 PM,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,-6.47,0,0,0,0,0,,0,-1.86,0,17.51,8/2/21,0,0,27,JR5FLHNK03KUTID
Aroma Pizza,,#73940,cbc0de5c-1d5f-40cf-856a-7b4659073940,Delivery - Partner Using Uber App,Postmates Android,Completed,8/1/21,6:29 PM,18.99,1.47,20.46,0,0,0,0,0,0,0,0,20.46,-5.13,0,0,0,0,0,,0,-1.47,0,13.86,8/2/21,0,0,27,JR5FLHNK03KUTID
Aroma Pizza,,#5966F,63bfcb73-1baa-4b37-b7b9-c2144555966f,Delivery - Partner Using Uber App,UberEats Android,Completed,8/1/21,5:57 PM,37.76,2.93,40.69,0,0,0,0,0,0,0,0,40.69,-7.17,0,0,0,0,0,,0,-2.93,0,30.59,8/2/21,0,0,19,JR5FLHNK03KUTID
Aroma Pizza,,#248B3,da7c18cb-c628-4e21-8d1a-839de2e248b3,Delivery - Partner Using Uber App,Postmates iOS,Completed,8/1/21,7:39 PM,12.98,1.01,13.99,0,0,0,0,0,0,0,0,13.99,-3.5,0,0,0,0,0,,0,-1.01,0,9.48,8/2/21,0,0,27,JR5FLHNK03KUTID
Aroma Pizza,,#FC256,ffa72fbd-41df-4b35-a41d-6ce452efc256,Delivery - Partner Using Uber App,UberEats Web,Completed,8/1/21,9:04 PM,31.98,2.48,34.46,0,0,0,0,0,0,0,0,34.46,-6.08,0,0,0,0,0,,0,-2.48,0,25.9,8/2/21,0,0,19,JR5FLHNK03KUTID
Aroma Pizza,,#09715,29e82248-7f87-4e37-96da-8f104dc09715,Delivery - Partner Using Uber App,UberEats iOS,Completed,8/2/21,11:23 AM,55.45,4.3,59.75,0,0,0,0,0,0,0,0,59.75,-10.54,0,0,0,0,0,,0,-4.3,0,44.91,8/9/21,0,0,19,I8YROFYF321516Y
Aroma Pizza,,#8869C,11d97dde-ca1b-4497-b90a-b7fe4758869c,Delivery - Partner Using Uber App,UberEats Android,Completed,8/2/21,5:50 PM,14.99,1.16,16.15,0,0,0,0,0,0,0,0,16.15,-2.85,0,0,0,0,0,,0,-1.16,0,12.14,8/9/21,0,0,19,I8YROFYF321516Y
Aroma Pizza,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,13.97,0,0,13.97,8/9/21,0,0,,I8YROFYF321516Y
