"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-799516459222474","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/15/21","2:01 PM","11.78","0.00","0","0.91","0","12.69","-1.77","0","-0.69","0","0"
"O-210116455160504","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/15/21","1:59 PM","16.98","2.99","0","1.55","2.75","24.27","-3.00","0","-1.04","0","0"
"O-634216454598400","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/15/21","6:15 PM","41.19","4.99","0","3.58","6.66","56.42","-6.93","0","-2.02","0","0"
"O-167616370592458","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/7/21","2:00 PM","11.78","0.00","0","0.91","0","12.69","-1.77","0","-0.69","0","0"
"O-886416446731376","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/13/21","8:57 PM","21.99","6.99","0","1.62","3.00","33.60","-4.35","0","-1.08","0","-8.00"
"O-738716619320925","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/30/21","6:30 PM","42.97","8.99","0","4.03","8.39","64.38","-7.79","0","-2.26","0","0"
"O-112216386994268","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/7/21","8:28 PM","31.94","6.99","0","3.02","3.44","45.39","-5.84","0","-1.68","0","0"
"T-AwEAAAAAAA9OoqqL59AiARHsjlvR7rccL4A","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","696516605512081, CC","9/30/21","8:18 AM","0","0.00","0","0.00","0","65.09","0","0","0","0","0"
"O-419016561828149","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/25/21","6:06 PM","26.52","0.00","0","2.06","0","28.58","-3.98","0","-1.17","0","0"
"O-171416436645947","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/12/21","7:29 PM","38.46","2.99","0","3.21","6.22","50.88","-6.22","0","-1.85","0","0"
"O-503316609352875","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/29/21","7:19 PM","5.74","0.00","0","0.44","0","6.18","-0.86","0","-0.49","0","0"
"O-612916381258287","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/7/21","5:51 PM","55.75","1.99","0","4.47","12.44","74.65","-8.66","0","-2.58","0","0"
"O-245016350725002","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/4/21","7:17 PM","21.57","0.00","0","1.67","2.32","25.56","-3.24","0","-1.08","0","0"
"O-611216465894713","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/15/21","8:37 PM","54.93","8.99","0","4.96","3.00","71.88","-9.59","0","-2.49","0","0"
"O-611216435897453","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/12/21","8:04 PM","16.98","6.99","0","1.86","0","25.83","-3.60","0","-1.09","0","0"
"O-622016452992921","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/14/21","7:22 PM","24.28","0.00","0","1.88","3.92","30.08","-3.64","0","-1.22","0","0"
"O-294916596181938","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/28/21","9:10 PM","23.48","0.00","0","1.82","2.00","27.30","-3.52","0","-1.13","0","0"
"O-106016400446689","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/9/21","6:30 PM","22.17","0.00","0","1.72","3.58","27.47","-3.33","0","-1.14","0","0"
"O-398716557961325","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/24/21","8:26 PM","37.71","1.99","0","3.07","6.41","49.18","-5.96","0","-1.80","0","0"
"O-886416436734642","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/12/21","6:55 PM","22.77","4.99","0","2.15","5.98","35.89","-4.16","0","-1.39","0","0"
"O-531316500018071","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/19/21","5:54 PM","71.20","6.99","0","5.44","6.00","89.63","-11.73","0","-2.79","0","-8.00"
"O-869816369019288","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/5/21","5:19 PM","29.06","0.00","0","2.25","0","31.31","-4.36","0","-1.25","0","0"
"O-422416547580230","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/23/21","6:09 PM","23.98","0.00","0","1.86","0","25.84","-3.60","0","-1.09","0","0"
"O-406716314882357","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/1/21","11:53 AM","18.98","4.99","0","1.86","3.87","29.70","-3.60","0","-1.21","0","0"
"O-742616554696047","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"9/25/21","2:11 PM","15.99","1.99","0","1.39","3.87","23.24","-2.70","0","-1.01","0","0"
