"Delivery Date","Order #",Name,Location,"Food Total",Period,"Check Date"
09/30/2021,1258398,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",35.97,21,10/15/2021
09/27/2021,1261338,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",447.27,21,10/15/2021
09/23/2021,1254440,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",173.57,21,10/15/2021
09/22/2021,1259608,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",397.88,21,10/15/2021
09/17/2021,1256854,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",318.71,20,10/01/2021
09/17/2021,1256834,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",307.72,20,10/01/2021
09/15/2021,1249682,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",106.61,20,10/01/2021
09/15/2021,1249946,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",163.09,20,10/01/2021
09/14/2021,1250117,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",84.42,20,10/01/2021
09/09/2021,1246549,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",251.80,20,10/01/2021
09/08/2021,1246629,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",256.74,20,10/01/2021
09/07/2021,1250772,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",146.36,20,10/01/2021
09/07/2021,1246547,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",202.55,20,10/01/2021
09/03/2021,1249042,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",550.75,19,09/17/2021
09/03/2021,1247967,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",179.99,19,09/17/2021
09/03/2021,1247899,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",468.16,19,09/17/2021
09/02/2021,1245070,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",36.45,19,09/17/2021
