Statement Date:,,,10/31/21,,,Merchant ID:,4445028946467,,
Statement Period:,,,10/01/21 - 10/31/21,,,Merchant Name:,Aroma Pizza and Pasta - Lake Forest,,
,,,,,,Merchant Address:,20491 Alton Parkway,,
,,,,,,,"Lake Forest, CA 92610",,
Card Processing - Visa / MasterCard / Discover / Amex,,,,,,,,,
Type,Rate,Payments,,Refunds,,Fees Collected,Fee Adjustments,Fees Adjusted,Net
V/MC/D,2.0067% + 0.15,896,"$19,462.67",0,$0.00,$525.10,-$0.14,$524.96,"$18,937.71"
V/MC/D (keyed),2.4034% + 0.15,258,"$11,502.67",0,$0.00,$315.17,-$0.01,$315.16,"$11,187.51"
Amex,2.7856% + 0.15,65,"$1,537.69",0,$0.00,$52.60,-$0.02,$52.58,"$1,485.11"
Amex (keyed),3.3234% + 0.15,25,"$1,227.98",0,$0.00,$44.55,$0.01,$44.56,"$1,183.42"
Total,,1244,"$33,731.01",0,$0.00,$937.42,-$0.16,$937.26,"$32,793.75"
Credit Card Batches,,,,,,,,,
Settled Date,,Batch Date,,,Payments,Refunds,Fees,Net (Dep),
10/1/2021,,9/29/2021 9:38 PM,,,579.05,0.00,16.41,562.64,
,,9/30/2021 4:18 AM,,,18.30,0.00,0.59,17.71,
,,9/30/2021 9:37 PM,,,247.27,0.00,8.01,239.26,
10/2/2021,,9/30/2021 9:37 PM,,,658.64,0.00,19.98,638.66,
,,10/1/2021 4:15 AM,,,77.37,0.00,2.31,75.06,
10/3/2021,,10/1/2021 9:47 PM,,,"1,059.39",0.00,29.28,"1,030.11",
,,10/1/2021 9:47 PM,,,379.85,0.00,11.20,368.65,
,,10/2/2021 4:22 AM,,,240.51,0.00,5.93,234.58,
,,10/2/2021 9:37 PM,,,482.74,0.00,13.24,469.50,
10/4/2021,,10/2/2021 9:37 PM,,,736.69,0.00,20.44,716.25,
10/5/2021,,10/3/2021 9:40 PM,,,846.78,0.00,22.54,824.24,
,,10/3/2021 9:40 PM,,,137.30,0.00,4.24,133.06,
,,10/4/2021 4:20 AM,,,202.32,0.00,6.02,196.30,
10/6/2021,,10/4/2021 10:14 PM,,,328.23,0.00,9.97,318.26,
,,10/4/2021 10:14 PM,,,116.81,0.00,3.25,113.56,
10/7/2021,,10/5/2021 9:33 PM,,,555.54,0.00,15.97,539.57,
,,10/5/2021 9:33 PM,,,76.55,0.00,2.30,74.25,
,,10/6/2021 4:18 AM,,,27.84,0.00,0.82,27.02,
10/8/2021,,10/6/2021 9:38 PM,,,15.08,0.00,0.51,14.57,
,,10/6/2021 9:38 PM,,,434.02,0.00,12.25,421.77,
,,10/7/2021 4:22 AM,,,150.72,0.00,4.07,146.65,
10/9/2021,,10/7/2021 9:39 PM,,,739.62,0.00,21.33,718.29,
,,10/7/2021 9:39 PM,,,132.46,0.00,3.64,128.82,
10/10/2021,,10/8/2021 9:51 PM,,,428.96,0.00,12.11,416.85,
,,10/8/2021 9:51 PM,,,"1,322.73",0.00,34.91,"1,287.82",
,,10/9/2021 4:24 AM,,,83.95,0.00,2.17,81.78,
,,10/9/2021 9:40 PM,,,771.49,0.00,21.19,750.30,
10/11/2021,,10/9/2021 9:40 PM,,,189.19,0.00,5.76,183.43,
,,10/10/2021 4:22 AM,,,238.85,0.00,5.89,232.96,
10/12/2021,,10/10/2021 9:41 PM,,,510.54,0.00,14.16,496.38,
,,10/10/2021 9:41 PM,,,106.34,0.00,2.86,103.48,
,,10/11/2021 4:18 AM,,,170.17,0.00,4.84,165.33,
10/13/2021,,10/11/2021 9:37 PM,,,194.58,0.00,5.58,189.00,
,,10/11/2021 9:37 PM,,,775.38,0.00,21.76,753.62,
,,10/12/2021 9:36 PM,,,18.88,0.00,0.60,18.28,
10/14/2021,,10/12/2021 9:36 PM,,,389.74,0.00,12.11,377.63,
10/15/2021,,10/13/2021 9:44 PM,,,586.06,0.00,17.26,568.80,
,,10/13/2021 9:44 PM,,,92.07,0.00,2.82,89.25,
,,10/14/2021 4:17 AM,,,300.76,0.00,7.38,293.38,
,,10/14/2021 9:37 PM,,,636.22,0.00,18.81,617.41,
10/16/2021,,10/14/2021 9:37 PM,,,37.65,0.00,1.05,36.60,
,,10/15/2021 4:20 AM,,,77.50,0.00,2.46,75.04,
10/17/2021,,10/15/2021 9:47 PM,,,"1,423.46",0.00,38.18,"1,385.28",
,,10/15/2021 9:47 PM,,,345.62,0.00,9.65,335.97,
,,10/16/2021 4:21 AM,,,144.51,0.00,3.62,140.89,

,10/16/2021 9:45 PM,"1,007.02",0.00,26.38,980.64
10/18/2021,10/16/2021 9:45 PM,282.64,0.00,7.69,274.95
10/19/2021,10/17/2021 9:40 PM,183.95,0.00,5.03,178.92
,10/17/2021 9:40 PM,665.52,0.00,17.43,648.09
,10/18/2021 4:17 AM,67.61,0.00,1.77,65.84
,10/18/2021 4:17 AM,133.97,0.00,3.82,130.15
10/20/2021,10/18/2021 9:38 PM,191.24,0.00,5.50,185.74
,10/18/2021 9:38 PM,501.38,0.00,15.42,485.96
10/21/2021,10/19/2021 9:36 PM,129.12,0.00,4.00,125.12
,10/19/2021 9:36 PM,680.34,0.00,19.61,660.73
,10/20/2021 4:15 AM,79.83,0.00,2.60,77.23
,10/20/2021 9:32 PM,30.50,0.00,1.03,29.47
10/22/2021,10/20/2021 9:32 PM,420.09,0.00,12.61,407.48
,10/21/2021 4:17 AM,50.33,0.00,1.51,48.82
10/23/2021,10/21/2021 9:46 PM,733.96,0.00,20.19,713.77
,10/21/2021 9:46 PM,153.87,0.00,4.30,149.57
,10/22/2021 4:18 AM,567.30,0.00,14.22,553.08
10/24/2021,10/22/2021 9:57 PM,269.61,0.00,7.74,261.87
,10/22/2021 9:57 PM,"1,019.46",0.00,27.25,992.21
,10/23/2021 4:23 AM,240.02,0.00,5.92,234.10
10/25/2021,10/23/2021 9:55 PM,"1,213.90",0.00,31.70,"1,182.20"
,10/23/2021 9:55 PM,225.99,0.00,6.48,219.51
,10/24/2021 4:20 AM,56.67,0.00,1.66,55.01
,10/24/2021 4:20 AM,135.65,0.00,3.41,132.24
10/26/2021,10/24/2021 9:42 PM,"1,371.91",0.00,34.65,"1,337.26"
,10/24/2021 9:42 PM,200.78,0.00,6.69,194.09
,10/25/2021 4:18 AM,63.00,0.00,2.24,60.76
,10/25/2021 9:39 PM,170.68,0.00,4.86,165.82
10/27/2021,10/25/2021 9:39 PM,472.05,0.00,13.46,458.59
10/28/2021,10/26/2021 9:38 PM,730.48,0.00,20.11,710.37
,10/26/2021 9:38 PM,124.90,0.00,3.91,120.99
10/29/2021,10/28/2021 4:17 AM,589.76,0.00,16.88,572.88
,10/28/2021 4:17 AM,517.69,0.00,13.35,504.34
10/30/2021,10/28/2021 9:35 PM,"1,360.23",0.00,37.36,"1,322.87"
,10/28/2021 9:35 PM,31.66,0.00,0.91,30.75
,10/29/2021 4:17 AM,161.24,0.00,4.48,156.76
10/31/2021,10/29/2021 9:58 PM,"1,091.42",0.00,32.18,"1,059.24"
,10/29/2021 9:58 PM,717.51,0.00,19.60,697.91
,Total,"33,731.01",0.00,937.42,"32,793.59"

Summary,
Previous Credit Card Balance,1.10
Monthly Adjustments,0.16
Payments,-1.10
Credit Card Balance,0.16
