"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-112616718202545","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/10/21","6:27 PM","22.95","0.00","0","1.78","3.70","28.43","-3.44","0","-1.17","0","0"
"O-504116772179937","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/17/21","11:37 AM","30.98","0.00","0","2.40","0","33.38","-4.65","0","-1.32","0","0"
"O-051716844082854","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/24/21","2:50 PM","40.44","2.99","0","3.36","5.00","51.79","-6.51","0","-1.88","0","0"
"O-801316868968030","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/25/21","6:02 PM","27.76","6.99","0","2.69","2.99","40.43","-5.21","0","-1.53","0","0"
"O-090716754132042","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/15/21","1:54 PM","14.53","0.00","0","1.13","0","15.66","-2.18","0","-0.78","0","0"
"O-503316689358266","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/7/21","7:28 PM","18.99","0.00","0","1.47","0","20.46","-2.85","0","-0.92","0","0"
"O-901816856883215","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/25/21","4:50 PM","39.97","2.99","0","3.33","9.26","55.55","-6.44","0","-1.99","0","0"
"O-801316848980773","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/24/21","1:22 PM","31.77","1.99","0","2.61","5.45","41.82","-5.06","0","-1.58","0","0"
"O-294916686157154","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/8/21","11:56 AM","15.95","1.99","0","1.39","1.50","20.83","-2.69","0","-0.94","0","0"
"O-963916691853183","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/9/21","4:50 PM","31.97","0.00","0","2.48","0","34.45","-4.80","0","-1.35","0","0"
"O-336816864809246","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/26/21","12:28 PM","10.99","0.00","0","0.85","0","11.84","-1.65","0","-0.66","0","0"
