"902 Broadway New York, NY 10010",,Aroma Pizza & Pasta,,
"Activity Period: Fri Oct 1, 2021 to Sun Oct 31, 2021",,"20491 Alton Pkwy, Lake Forest CA, 92630",,
,,Account ID: 15639,,
W-9 form reminder,,,,
"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t already, return them asap. Talk to your Account Manager or email",,,,
Partner@SliceLife.com,,,,
Summary of Your Activity,,,,
,,,"From October 1, 2021 to October 31, 2021, your restaurant",
Orders,,"$6,032.77","made $6,135.38 with Slice.",
165 online orders,,"$7,173.41",Activity Details,
Processing fee,,-$287.22,,
Slice partnership fee,,-$369.00,"Net Sales
Taxes","$5,878.63
$485.43"
Sales tax withholding,,-$484.42,"Sales Tax Withholding
Cust. Delivery fee","-$484.42
$231.32"
12 Slice Adjustments,,$102.61,Tips,$593.42
TOTAL OF 165 ORDERS,$0.00,"$6,135.38","Slice Adjustments
Slice Fees","$102.61
-$656.22"
,Paid directly by,Total Earnings,,
,your customers,,Total Earnings,"$6,135.38"
Slice spent $152.96,,,,
in funding promotions,,,,
for your customers! *,,,,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not correspond to a,,,,
payment. The amounts on this report are for your reference and reporting needs.,,,,
Please refer to your official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

Online Orders,,,,,,,,,,,
Date & Time,Order ID,"Order
Type","Pickup
Delivery",Subtotal,"Cust.
Delivery
Fee","Order
Adjust.",Tax,Tips,"Order
Total","P'ship
Fee","Proc.
Fee"
"Oct 01, 2021
Friday
11:32am",54482466,Credit,Pickup,$115.65,$0.00,$0.00,$8.96,$17.35,$141.96,-$2.25,-$5.68
"Oct 01, 2021
Friday
2:51pm",54512477,Credit,Delivery,$27.76,$4.99,$0.00,$2.54,$4.16,$39.45,-$2.25,-$1.38
"Oct 01, 2021
Friday
3:09pm",54518026,Credit,Delivery,$42.73,$1.99,$0.00,$3.47,$7.00,$55.19,-$2.25,-$2.21
"Oct 01, 2021
Friday
4:49pm",54544481,Credit,Pickup,$37.96,$0.00,$0.00,$2.94,$7.59,$48.49,-$2.25,-$1.94
"Oct 01, 2021
Friday
5:33pm",54551774,Credit,Pickup,$37.76,$0.00,$0.00,$2.93,$5.00,$45.69,-$2.25,-$1.83
"Oct 01, 2021
Friday
6:22pm",54556762,Credit,Pickup,$32.97,$0.00,$0.00,$2.56,$0.00,$35.53,-$2.25,-$1.42
"Oct 01, 2021
Friday
6:37pm",54557848,Credit,Pickup,$30.98,$0.00,$0.00,$2.40,$0.00,$33.38,-$2.25,-$1.34
"Oct 01, 2021
Friday
6:40pm",54558056,Credit,Pickup,$21.99,$0.00,$0.00,$1.70,$0.00,$23.69,-$2.25,-$0.95
"Oct 01, 2021
Friday
7:02pm",54559324,Credit,Delivery,$19.98,$4.99,$0.00,$1.94,$3.00,$29.91,-$2.25,-$1.20
"Oct 01, 2021
Friday
7:23pm",54560291,Credit,Delivery,$32.55,$4.99,$0.00,$2.91,$4.88,$45.33,-$2.25,-$1.81
"Oct 01, 2021
Friday
8:10pm",54561634,Credit,Delivery,$31.97,$2.99,$0.00,$2.71,$4.80,$42.47,-$2.25,-$1.58
"Oct 01, 2021
Friday
8:37pm",54562131,Credit,Delivery,$34.72,$8.99,$0.00,$3.39,$5.20,$52.30,-$2.25,-$2.09
"Oct 02, 2021
Saturday
3:04pm",54599768,Credit,Delivery,$16.00,$1.99,-$0.01,$1.39,$1.60,$20.97,-$2.25,-$0.84
"Oct 02, 2021
Saturday
4:54pm",54621426,Credit,Delivery,$17.95,$1.99,$0.00,$1.55,$2.69,$24.18,-$2.25,-$0.97
"Oct 02, 2021
Saturday
6:28pm",54631328,Credit,Pickup,$45.76,$0.00,$0.00,$3.55,$4.00,$53.31,-$2.25,-$2.13
"Oct 02, 2021
Saturday
6:39pm",54631989,Credit,Delivery,$40.97,$1.99,$0.00,$3.33,$6.15,$52.44,-$2.25,-$2.10
"Oct 02, 2021
Saturday
7:11pm",54633564,Credit,Pickup,$22.98,$0.00,$0.00,$1.78,$0.00,$24.76,-$2.25,-$0.99
"Oct 02, 2021
Saturday
8:33pm",54635781,Credit,Delivery,$40.76,$2.99,$0.00,$3.39,$8.15,$55.29,-$2.25,-$2.21
