Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Aroma Pizza,,#2B0F2,3c3408c2-c95d-4cdd-9e91-80673d62b0f2,Delivery - Partner Using Uber App,UberEats iOS,Completed,10/1/21,1:49 PM,28.01,2.17,30.18,0,0,0,0,0,0,0,0,30.18,-5.32,0,0,0,0,0,,0,-2.17,0,22.69,10/4/21,0,0,19,UVA1U8U8A45NSMW
Aroma Pizza,,#EE086,8e441a23-4091-45c6-b202-b75965eee086,Pickup,UberEats Web,Completed,10/1/21,2:59 PM,47.97,3.72,51.69,0,0,0,0,0,0,0,0,51.69,-2.88,0,0,0,0,0,,0,-3.72,0,45.09,10/4/21,0,0,6,UVA1U8U8A45NSMW
Aroma Pizza,,#6983B,341f20b6-a57f-486b-8786-65255d36983b,Delivery - Partner Using Uber App,UberEats iOS,Completed,10/1/21,4:24 PM,20.46,1.59,22.05,0,0,0,0,0,0,0,0,22.05,-3.89,0,0,0,0,0,,0,-1.59,0,16.57,10/4/21,0,0,19,UVA1U8U8A45NSMW
Aroma Pizza,,#70DA5,bc6ecef2-277b-455a-99e0-b949d9c70da5,Delivery - Partner Using Uber App,UberEats iOS,Completed,10/1/21,4:29 PM,70.73,5.48,76.21,0,0,0,0,0,0,0,0,76.21,-13.44,0,0,0,0,0,,0,-5.48,0,57.29,10/4/21,0,0,19,UVA1U8U8A45NSMW
Aroma Pizza,,#78A74,d80c7eac-50c9-446d-9b5d-b83c43378a74,Delivery - Partner Using Uber App,Postmates iOS,Completed,10/1/21,5:05 PM,31.97,2.48,34.45,0,0,0,0,0,0,0,0,34.45,-6.07,0,0,0,0,0,,0,-2.48,0,25.9,10/4/21,0,0,19,UVA1U8U8A45NSMW
Aroma Pizza,,#C3FA8,1f9c65c0-9f4b-452d-8ded-7a43bb9c3fa8,Delivery - Partner Using Uber App,UberEats iOS,Completed,10/1/21,6:45 PM,39.2,3.04,42.24,0,0,0,0,0,0,0,0,42.24,-7.45,0,0,0,0,0,,0,-3.04,0,31.75,10/4/21,0,0,19,UVA1U8U8A45NSMW
Aroma Pizza,,#A7AD1,4b811b03-30f0-489b-b84f-266069fa7ad1,Delivery - Partner Using Uber App,UberEats Android,Completed,10/2/21,12:39 PM,26.93,2.09,29.02,0,0,0,0,0,0,0,0,29.02,-5.12,0,0,0,0,0,,0,-2.09,0,21.81,10/4/21,0,0,19,UVA1U8U8A45NSMW
Aroma Pizza,,#4C466,1148ec76-3028-43a2-9db9-cb5640b4c466,Pickup,UberEats iOS,Completed,10/2/21,1:45 PM,10.99,0.85,11.84,0,0,0,0,0,0,0,0,11.84,-0.66,0,0,0,0,0,,0,-0.85,0,10.33,10/4/21,0,0,6,UVA1U8U8A45NSMW
Aroma Pizza,,#0A187,d650ce52-065a-4565-b92a-9ebd77c0a187,Delivery - Partner Using Uber App,UberEats iOS,Completed,10/2/21,4:08 PM,45.7,3.54,49.24,0,0,0,0,0,0,0,0,49.24,-8.68,0,0,0,0,0,,0,-3.54,0,37.02,10/4/21,0,0,19,UVA1U8U8A45NSMW
Aroma Pizza,,#FA07B,764de086-e1a6-48bc-9bca-3942e50fa07b,Delivery - Partner Using Uber App,UberEats iOS,Completed,10/2/21,5:50 PM,33.95,2.63,36.58,0,0,0,0,0,0,0,0,36.58,-6.45,0,0,0,0,0,,0,-2.63,0,27.5,10/4/21,0,0,19,UVA1U8U8A45NSMW
