"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","DOORDASH_ORDER_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","STAFF_TIP","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","PAYOUT_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE","SUBTOTAL_FOR_TAX","DOORDASH_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","MERCHANT_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","CONSUMER_DELIVERY_FEE","CONSUMER_SERVICE_FEE","CONSUMER_SMALL_ORDER_FEE","CONSUMER_LEGISLATIVE_FEE","CONSUMER_TIP"
"19:06:28","2021-11-01","12:06:28","2021-11-01","2021-11-05 07:37:22.028427000","2021-11-05",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","d75be2b0-901b-4458-82a3-f6c5fc34d54e","=""fc34d54e""","NULL","NULL","Order Received Time: 2021-11-01 18:49:13.599083000
Order Pickup Time: 2021-11-01 19:06:28.628597000","Delivered","USD",24.98,1.94,3.75,0.00,0.99,0.00,22.18,0.00,"3173524085",181305093,0.00,0.00,24.98,NULL,NULL,"1.99","3.75","0.00","0.00","5.50"
"03:13:01","2021-11-02","20:13:01","2021-11-01","2021-11-05 07:37:22.028427000","2021-11-05",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","1bf9abd6-d865-4fa1-a2e9-5867055106d9","=""055106d9""","NULL","NULL","Order Received Time: 2021-11-02 02:58:22.695056000
Order Pickup Time: 2021-11-02 03:13:01.133515000","Delivered","USD",14.48,1.12,2.17,0.00,0.00,0.00,13.43,0.00,"3176325002",181305093,0.00,0.00,14.48,NULL,NULL,"0.00","0.72","0.00","0.00","3.50"
"03:38:06","2021-11-02","20:38:06","2021-11-01","2021-11-05 07:37:22.028427000","2021-11-05",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","75175d36-7637-4fa3-b407-4b84841e3149","=""841e3149""","NULL","NULL","Order Received Time: 2021-11-02 03:15:13.161164000
Order Pickup Time: 2021-11-02 03:38:06.558224000","Delivered","USD",54.95,4.26,8.24,0.00,0.00,0.00,50.97,0.00,"3176411800",181305093,0.00,0.00,54.95,NULL,NULL,"0.00","2.75","0.00","0.00","5.50"
"03:54:08","2021-11-02","20:54:08","2021-11-01","2021-11-05 07:37:22.028427000","2021-11-05",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","f0e0ecac-cac6-407b-a8a8-e6da72ce60c2","=""72ce60c2""","NULL","NULL","Order Received Time: 2021-11-02 03:37:55.897109000
Order Pickup Time: 2021-11-02 03:54:08.393924000","Delivered","USD",17.98,1.39,2.70,0.00,0.99,0.00,15.68,0.00,"3176458626",181305093,0.00,0.00,17.98,NULL,NULL,"7.99","2.70","0.00","0.00","5.50"
"04:13:52","2021-11-02","21:13:52","2021-11-01","2021-11-05 07:37:22.028427000","2021-11-05",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","3d9abf28-bfeb-401e-97fc-abe317bfb0be","=""17bfb0be""","NULL","NULL","Order Received Time: 2021-11-02 04:02:24.481426000
Order Pickup Time: 2021-11-02 04:13:52.155524000","Delivered","USD",32.93,2.55,4.94,0.00,0.99,0.00,29.55,0.00,"3176511162",181305093,0.00,0.00,32.93,NULL,NULL,"1.99","4.94","0.00","0.00","5.00"
"04:22:24","2021-11-02","21:22:24","2021-11-01","2021-11-05 07:37:22.028427000","2021-11-05",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","264393fb-7bd9-49ce-8a4c-fedbaa80c316","=""aa80c316""","NULL","NULL","NULL","Cancelled - Paid","USD",43.91,3.40,13.17,0.00,0.00,0.00,34.14,0.00,"3176435463",181305093,0.00,0.00,43.91,NULL,NULL,"0.00","7.46","0.00","0.00","0.00"
"07:34:29","2021-11-02","00:34:29","2021-11-02","2021-11-02 07:34:29.133641000","2021-11-02",486867,223895,"Aroma Pizza & Pasta","NULL","PAYOUT","180857566","NULL","N/A","N/A","NULL","N/A","USD",852.74,0.00,0.00,0.00,0.00,0.00,0.00,852.74,"NULL",180857566,0.00,0.00,0.00,NULL,NULL,"0.00","0.00","0.00","0.00","0.00"
"18:29:42","2021-11-02","11:29:42","2021-11-02","2021-11-08 08:37:42.512401000","2021-11-08",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","4de6e895-f555-43c6-bc5b-fa464f2b1bbf","=""4f2b1bbf""","NULL","NULL","Order Received Time: 2021-11-02 18:02:25.818533000
Order Pickup Time: 2021-11-02 18:29:42.424363000","Delivered","USD",20.27,1.57,3.04,0.00,0.00,0.00,18.80,0.00,"3178076525",181383610,0.00,0.00,20.27,NULL,NULL,"0.00","1.01","0.00","0.00","6.00"
"20:12:06","2021-11-02","13:12:06","2021-11-02","2021-11-08 08:37:42.512401000","2021-11-08",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","c17a2e32-f31e-4293-b079-dc205b514a8e","=""5b514a8e""","NULL","NULL","Order Received Time: 2021-11-02 19:57:44.965137000
Order Pickup Time: 2021-11-02 20:12:06.625174000","Delivered","USD",14.95,1.16,2.24,0.00,0.00,0.00,13.87,0.00,"3178583714",181383610,0.00,0.00,14.95,NULL,NULL,"0.00","0.75","0.00","0.00","1.50"
"20:43:53","2021-11-02","13:43:53","2021-11-02","2021-11-08 08:37:42.512401000","2021-11-08",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","c41235d8-a2ce-402e-87ea-6b3567394f15","=""67394f15""","NULL","NULL","Order Received Time: 2021-11-02 20:23:47.052816000
Order Pickup Time: 2021-11-02 20:43:53.603559000","Delivered","USD",48.94,3.79,7.34,0.00,0.99,0.00,44.40,0.00,"3178731631",181383610,0.00,0.00,48.94,NULL,NULL,"6.99","7.34","0.00","0.00","14.50"
"00:29:09","2021-11-03","17:29:09","2021-11-02","2021-11-08 08:37:42.512401000","2021-11-08",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","d4919937-693e-47c8-bd9b-d15b6fe556ca","=""6fe556ca""","NULL","NULL","Order Received Time: 2021-11-03 00:10:28.965280000
Order Pickup Time: 2021-11-03 00:29:09.448767000","Delivered","USD",12.74,0.99,1.91,0.00,0.00,0.00,11.82,0.00,"3180167848",181383610,0.00,0.00,12.74,NULL,NULL,"0.00","0.64","0.00","0.00","1.00"
"00:29:19","2021-11-03","17:29:19","2021-11-02","2021-11-08 08:37:42.512401000","2021-11-08",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","9db12562-12dd-460b-9a21-f1112abe8197","=""2abe8197""","NULL","NULL","Order Received Time: 2021-11-03 00:06:50.982696000
Order Pickup Time: 2021-11-03 00:29:19.131004000","Delivered","USD",15.97,1.24,2.40,0.00,0.00,0.00,14.81,0.00,"3180168942",181383610,0.00,0.00,15.97,NULL,NULL,"0.00","0.80","0.00","0.00","4.00"
"00:59:57","2021-11-03","17:59:57","2021-11-02","2021-11-08 08:37:42.512401000","2021-11-08",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","0a9ff7c7-dd11-4e80-a779-a54c3d51863e","=""3d51863e""","NULL","NULL","Order Received Time: 2021-11-03 00:44:45.875206000
Order Pickup Time: 2021-11-03 00:59:57.896055000","Delivered","USD",36.96,2.86,5.54,0.00,0.99,0.00,33.29,0.00,"3180390931",181383610,0.00,0.00,36.96,NULL,NULL,"5.99","5.54","0.00","0.00","4.00"
"01:04:04","2021-11-03","18:04:04","2021-11-02","2021-11-08 08:37:42.512401000","2021-11-08",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","5abd6ed4-9ae8-4034-b9c8-5a48704e0ec9","=""704e0ec9""","NULL","NULL","Order Received Time: 2021-11-03 00:32:38.445233000
Order Pickup Time: 2021-11-03 01:04:04.330015000","Delivered","USD",12.78,0.99,1.92,0.00,0.00,0.00,11.85,0.00,"3180421906",181383610,0.00,0.00,12.78,NULL,NULL,"0.00","0.64","0.00","0.00","2.00"
"01:04:13","2021-11-03","18:04:13","2021-11-02","2021-11-08 08:37:42.512401000","2021-11-08",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","cd00834e-178d-40ca-ad48-88b1beb67691","=""beb67691""","NULL","NULL","Order Received Time: 2021-11-03 00:31:57.222828000
Order Pickup Time: 2021-11-03 01:04:13.423190000","Delivered","USD",21.99,1.70,3.30,0.00,0.00,0.00,20.39,0.00,"3180423005",181383610,0.00,0.00,21.99,NULL,NULL,"0.00","1.10","0.00","0.00","4.21"
