Transaction Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Taxes,Tip,Other,You earned,Notes
Delivery,11/30/21,#8ff69c15,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$26.98,-$5.79,-$3.99,-$2.53,$1.86,,,$16.53,
Delivery,11/30/21,#508b3ad8,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.98,-$10.39,$0.00,$0.00,$2.01,,,$17.60,
Delivery,11/30/21,#F64C6,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$11.99,-$4.80,$0.00,$0.00,$0.00,,,$7.19,
Delivery,11/30/21,#e741e5fe,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$0.00,$1.08,,,$9.45,
Delivery,11/30/21,#DA7FD,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$56.00,-$19.40,-$3.00,$0.00,$0.00,,,$33.60,
Delivery,11/30/21,#160CC,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$21.98,-$5.79,-$3.00,$0.00,$0.00,,,$13.19,
Delivery,11/30/21,#9D15D,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$56.95,-$19.78,-$3.00,$0.00,$0.00,,,$34.17,
Delivery,11/30/21,#85DCA,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$61.94,-$19.78,-$5.00,$0.00,$0.00,,,$37.16,
Delivery,11/30/21,#3B891,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$72.98,-$26.19,-$3.00,$0.00,$0.00,,,$43.79,
Delivery,11/30/21,#4e90716f,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.99,-$6.40,$0.00,$0.00,$1.24,,,$10.83,
Delivery,11/30/21,#FBC04,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$42.85,-$12.14,-$5.00,$0.00,$0.00,,,$25.71,
Delivery,11/30/21,#6c1b9685,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$0.00,$1.08,,,$9.45,
Delivery,11/30/21,#685217229523575,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$59.96,-$20.89,-$3.00,$0.00,$4.41,,,$40.48,
Delivery,11/30/21,#9A2D4,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$33.50,-$13.40,$0.00,$0.00,$0.00,,,$20.10,
Delivery,11/30/21,#5ff1df90,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$18.98,-$7.59,$0.00,$0.00,$1.47,,,$12.86,
Delivery,11/30/21,#42FDE,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$14.95,-$5.98,$0.00,$0.00,$0.00,,,$8.97,
Delivery,11/30/21,#8345E,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$54.80,-$16.92,-$5.00,$0.00,$0.00,,,$32.88,
Delivery,11/30/21,#716117219724429,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$28.90,-$6.42,-$5.00,$0.00,$1.85,,,$19.33,
Delivery,11/30/21,#2169A,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.95,-$6.38,$0.00,$0.00,$0.00,,,$9.57,
Delivery,11/30/21,#a256214d,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$26.90,-$10.76,$0.00,$0.00,$2.08,,,$18.22,
Delivery,11/30/21,#05803,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.95,-$5.18,$0.00,$0.00,$0.00,,,$7.77,
Delivery,11/30/21,#101417216132469,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$23.99,$0.74,$0.00,-$25.85,$1.86,,,$0.74,
Delivery,11/29/21,#f1dfb2cc,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$0.00,$1.08,,,$9.45,
Delivery,11/29/21,#4bd06854,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$33.47,-$8.07,-$5.02,$0.00,$2.20,,,$22.58,
Delivery,11/29/21,#6FC2C,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.99,-$8.00,$0.00,$0.00,$0.00,,,$11.99,
Delivery,11/29/21,#B88F3,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$38.97,-$12.59,-$3.00,$0.00,$0.00,,,$23.38,
Delivery,11/29/21,#d01ef5dd,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.99,-$5.60,$0.00,$0.00,$1.08,,,$9.47,
Delivery,11/29/21,#5EA7A,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.49,-$3.20,-$3.00,$0.00,$0.00,,,$9.29,
Delivery,11/29/21,#273CF,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.00,-$5.20,$0.00,$0.00,$0.00,,,$7.80,
Delivery,11/29/21,#b18ab65b,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.90,-$11.16,$0.00,$0.00,$2.16,,,$18.90,
Delivery,11/29/21,#03CB4,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$20.95,-$3.38,-$5.00,$0.00,$0.00,,,$12.57,
Delivery,11/29/21,#B068C,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$35.98,-$11.39,-$3.00,$0.00,$0.00,,,$21.59,
Delivery,11/29/21,#FDCDB,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$18.45,-$7.38,$0.00,$0.00,$0.00,,,$11.07,
Delivery,11/29/21,#4298b66c,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$0.00,$1.00,,,$8.77,
Delivery,11/29/21,#e42206a9,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$28.90,-$11.56,$0.00,$0.00,$2.24,,,$19.58,
