"902 Broadway New York, NY 10010",,Aroma Pizza & Pasta,,
"Activity Period: Mon Nov 1, 2021 to Tue Nov 30, 2021",,"20491 Alton Pkwy, Lake Forest CA, 92630",,
,,Account ID: 15639,,
W-9 form reminder,,,,
"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t already, return them asap. Talk to your Account Manager or email",,,,
Partner@SliceLife.com,,,,
Summary of Your Activity,,,,
,,,"From November 1, 2021 to November 30, 2021, your",
Orders,,"$6,294.51","restaurant made $6,421.49 with Slice.",
156 orders,,"$7,441.55",Activity Details,
Processing fee,,-$298.28,,
Slice partnership fee,,-$348.75,"Net Sales
Taxes","$6,024.17
$500.01"
Sales tax withholding,,-$500.01,"Sales Tax Withholding
Cust. Delivery fee","-$500.01
$273.29"
10 Slice Adjustments,,$126.98,Tips,$644.08
TOTAL OF 156 ORDERS,$0.00,"$6,421.49","Slice Adjustments
Slice Fees","$126.98
-$647.03"
,Paid directly by,Total Earnings,,
,your customers,,Total Earnings,"$6,421.49"
Slice spent $126.98,,,,
in funding promotions,,,,
for your customers! *,,,,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not correspond to a,,,,
payment. The amounts on this report are for your reference and reporting needs.,,,,
Please refer to your official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

Orders,,,,,,,,,,,
Date & Time,Order ID,"Order
Type","Pickup
Delivery",Subtotal,"Cust.
Delivery
Fee","Order
Adjust.",Tax,Tips,"Order
Total","P'ship
Fee","Proc.
Fee"
"Nov 01, 2021
Monday
5:12pm",56335491,Credit,Pickup,$22.47,$0.00,$0.00,$1.74,$0.00,$24.21,-$2.25,-$0.97
"Nov 01, 2021
Monday
5:28pm",56336286,Credit,Delivery,$27.00,$2.99,-$0.01,$2.32,$4.05,$36.35,-$2.25,-$0.45
"Nov 02, 2021
Tuesday
12:31pm",56350831,Credit,Pickup,$9.98,$0.00,$0.00,$0.77,$1.49,$12.24,-$2.25,-$0.49
"Nov 02, 2021
Tuesday
12:40pm",56351146,Credit,Pickup,$10.99,$0.00,$0.00,$0.85,$2.00,$13.84,-$2.25,-$0.56
"Nov 02, 2021
Tuesday
3:24pm",56365125,Credit,Pickup,$30.37,$0.00,$0.00,$2.35,$0.00,$32.72,-$2.25,-$1.31
"Nov 02, 2021
Tuesday
3:42pm",56367202,Credit,Pickup,$24.97,$0.00,$0.00,$1.94,$4.99,$31.90,-$2.25,-$1.28
"Nov 02, 2021
Tuesday
6:28pm",56377840,Credit,Delivery,$38.95,$1.99,$0.00,$3.17,$4.74,$48.85,-$2.25,-$1.96
"Nov 02, 2021
Tuesday
7:01pm",56378515,Credit,Delivery,$33.96,$1.99,$0.00,$2.79,$5.09,$43.83,-$2.25,-$1.15
"Nov 02, 2021
Tuesday
7:39pm",56379063,Credit,Delivery,$16.49,$2.99,$0.00,$1.51,$2.47,$23.46,-$2.25,-$0.94
"Nov 02, 2021
Tuesday
8:14pm",56379381,Credit,Delivery,$44.98,$1.99,-$5.00,$3.25,$6.75,$51.97,-$2.25,-$2.08
"Nov 02, 2021
Tuesday
9:19pm",56379752,Credit,Pickup,$23.45,$0.00,$0.00,$1.82,$0.00,$25.27,-$2.25,-$1.01
"Nov 03, 2021
Wednesday
11:56am",56389142,Credit,Delivery,$22.32,$2.99,$0.00,$1.96,$3.34,$30.61,-$2.25,-$1.23
"Nov 03, 2021
Wednesday
6:06pm",56419958,Credit,Pickup,$18.53,$0.00,$0.00,$1.44,$0.00,$19.97,-$2.25,-$0.80
"Nov 04, 2021
Thursday
5:41pm",56468919,Credit,Delivery,$22.98,$1.99,$0.00,$1.94,$3.44,$30.35,-$2.25,-$1.22
"Nov 04, 2021
Thursday
7:14pm",56472200,Credit,Pickup,$12.99,$0.00,$0.00,$1.01,$0.00,$14.00,-$2.25,-$0.56
"Nov 04, 2021
Thursday
7:38pm",56472601,Credit,Pickup,$29.69,$0.00,$0.00,$2.30,$3.00,$34.99,-$2.25,-$1.40
"Nov 05, 2021
Friday
11:09am",56484635,Credit,Delivery,$17.98,$2.99,$0.00,$1.63,$2.70,$25.30,-$2.25,-$1.01
"Nov 05, 2021
Friday
12:46pm",56489608,Credit,Delivery,$16.00,$1.99,-$0.01,$1.39,$2.40,$21.77,-$2.25,-$0.87
