Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Aroma Pizza,,#B3621,1cf4a2a0-8b12-429c-9c7a-7ce9d72b3621,Delivery - Partner Using Uber App,UberEats Android,Completed,11/1/21,3:25 PM,16.98,1.32,18.3,0,0,0,0,0,0,0,0,18.3,-3.23,0,0,0,0,0,,0,-1.32,0,13.75,11/9/21,0,0,19,L8YQSZ8NAGVPUDE
Aroma Pizza,,#A60FE,0da2ad07-d653-44b6-ad14-437d190a60fe,Delivery - Partner Using Uber App,Postmates Android,Completed,11/1/21,5:56 PM,18.99,1.47,20.46,0,0,0,0,0,0,0,0,20.46,-3.61,0,0,0,0,0,,0,-1.47,0,15.38,11/9/21,0,0,19,L8YQSZ8NAGVPUDE
Aroma Pizza,,#1C4E2,2ab9c85f-2a21-43c7-8b6b-5d4f6bf1c4e2,Delivery - Partner Using Uber App,UberEats iOS,Completed,11/1/21,6:12 PM,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,-4.56,0,0,0,0,0,,0,-1.86,0,19.42,11/9/21,0,0,19,L8YQSZ8NAGVPUDE
Aroma Pizza,,#0B038,ce8bd166-ec9e-4df0-8a25-fc5545f0b038,Delivery - Partner Using Uber App,UberEats iOS,Completed,11/1/21,6:22 PM,30.16,2.34,32.5,0,0,0,0,0,0,0,0,32.5,-5.73,0,0,0,0,0,,0,-2.34,0,24.43,11/9/21,0,0,19,L8YQSZ8NAGVPUDE
Aroma Pizza,,#E92E1,44fbf996-aa62-4910-80a3-80ed869e92e1,Delivery - Partner Using Uber App,UberEats iOS,Completed,11/1/21,9:18 PM,22.49,1.74,24.23,0,0,0,0,0,0,0,0,24.23,-4.27,0,0,0,0,0,,0,-1.74,0,18.22,11/9/21,0,0,19,L8YQSZ8NAGVPUDE
Aroma Pizza,,#DBE31,21f0bfbb-de45-4ef4-9b70-94cccf0dbe31,Delivery - Partner Using Uber App,Postmates iOS,Completed,11/2/21,3:19 PM,29.98,2.32,32.3,0,0,0,0,0,0,0,0,32.3,-5.7,0,0,0,0,0,,0,-2.32,0,24.28,11/9/21,0,0,19,L8YQSZ8NAGVPUDE
Aroma Pizza,,#5A231,42daa6b6-bddb-40fe-b6bf-8ecd9895a231,Delivery - Partner Using Uber App,Postmates Android,Completed,11/3/21,11:13 AM,13.57,1.05,14.62,0,0,0,0,0,0,0,0,14.62,-2.58,0,0,0,0,0,,0,-1.05,0,10.99,11/9/21,0,0,19,L8YQSZ8NAGVPUDE
Aroma Pizza,,#D8C9F,1217725a-55b8-406f-ab03-148253dd8c9f,Delivery - Partner Using Uber App,Postmates iOS,Completed,11/3/21,4:17 PM,13.99,1.08,15.07,0,0,0,0,0,0,0,0,15.07,-2.66,0,0,0,0,0,,0,-1.08,0,11.33,11/9/21,0,0,19,L8YQSZ8NAGVPUDE
Aroma Pizza,,#3C702,fa64bf9f-71d5-4a27-9c44-66e8cc83c702,Delivery - Partner Using Uber App,Postmates iOS,Completed,11/3/21,5:04 PM,55.43,4.3,59.73,0,0,0,0,0,0,0,0,59.73,-10.53,0,0,0,0,0,,0,-4.3,0,44.9,11/9/21,0,0,19,L8YQSZ8NAGVPUDE
Aroma Pizza,,#411FF,741a3f87-acf4-4233-adb3-e27559c411ff,Pickup,UberEats iOS,Completed,11/3/21,6:36 PM,11.99,0.93,12.92,0,0,0,0,0,0,0,0,12.92,-0.72,0,0,0,0,0,,0,-0.93,0,11.27,11/9/21,0,0,6,L8YQSZ8NAGVPUDE
Aroma Pizza,,#310B6,e4bda239-b3f8-4c14-8054-b85b018310b6,Delivery - Partner Using Uber App,Postmates iOS,Completed,11/3/21,8:30 PM,11.99,0.93,12.92,0,0,0,0,0,0,0,0,12.92,-2.28,0,0,0,0,0,,0,-0.93,0,9.71,11/9/21,0,0,19,L8YQSZ8NAGVPUDE
Aroma Pizza,,#37F8F,40a37960-b843-41a5-921d-65626eb37f8f,Pickup,UberEats iOS,Completed,11/4/21,5:30 PM,59.08,4.58,63.66,0,0,0,0,0,0,0,0,63.66,-3.54,0,0,0,0,0,,0,-4.58,0,55.54,11/9/21,0,0,6,L8YQSZ8NAGVPUDE
Aroma Pizza,,#F1FE4,0a1d28fc-c7c6-4673-b9e6-5a8970af1fe4,Delivery - Partner Using Uber App,UberEats iOS,Completed,11/5/21,4:46 PM,52.15,4.04,56.19,0,0,0,0,0,0,0,0,56.19,-9.91,0,0,0,0,0,,0,-4.04,0,42.24,11/9/21,0,0,19,L8YQSZ8NAGVPUDE
Aroma Pizza,,#76D83,5464af13-f774-4f5d-9c5e-5b708b776d83,Delivery - Partner Using Uber App,Postmates iOS,Completed,11/5/21,5:07 PM,55.93,4.33,60.26,0,0,0,0,0,0,0,0,60.26,-10.63,0,0,0,0,0,,0,-4.33,0,45.3,11/9/21,0,0,19,L8YQSZ8NAGVPUDE
Aroma Pizza,,#439ED,a6ae8141-519d-486f-8ede-34fc826439ed,Pickup,UberEats iOS,Completed,11/5/21,7:46 PM,32.81,2.54,35.35,0,0,0,0,0,0,0,0,35.35,-1.97,0,0,0,0,0,,0,-2.54,0,30.84,11/9/21,0,0,6,L8YQSZ8NAGVPUDE
Aroma Pizza,,#15196,34d9f9d9-fe5f-4651-8f59-887ad6415196,Delivery - Partner Using Uber App,Postmates Android,Completed,11/6/21,11:40 AM,12.99,1.01,14,0,0,0,0,0,0,0,0,14,-2.47,0,0,0,0,0,,0,-1.01,0,10.52,11/9/21,0,0,19,L8YQSZ8NAGVPUDE
