"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-891917279924212","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/5/21","9:42 PM","30.01","6.99","0","2.87","6.47","46.34","-5.55","0","-1.71","0","0"
"O-471917321849327","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/10/21","7:21 PM","36.41","0.00","0","2.82","0","39.23","-5.46","-3.64","-1.50","0","0"
"O-267417312671069","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/9/21","5:48 PM","25.98","1.99","0","2.16","4.51","34.64","-4.20","0","-1.36","0","0"
"O-948517330966322","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/11/21","8:05 PM","82.55","4.99","0","6.79","14.15","108.48","-13.13","0","-3.61","0","0"
"O-860417387373647","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/16/21","5:03 PM","38.95","6.99","0","3.56","6.30","55.80","-6.89","0","-2.00","0","0"
"O-582817226640818","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/1/21","12:12 PM","31.97","6.99","0","3.02","6.00","47.98","-5.84","0","-1.76","0","0"
"O-913217355253078","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/13/21","6:14 PM","62.74","0.00","0","4.86","0","67.60","-9.41","0","-2.36","0","0"
"O-041617416808722","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/19/21","6:31 PM","16.96","2.99","0","1.54","4.30","25.79","-2.99","0","-1.09","0","0"
"O-284717258077681","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/3/21","6:41 PM","54.15","1.99","0","4.35","6.05","66.54","-8.42","0","-2.33","0","0"
"O-447717334353146","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/12/21","3:27 PM","41.95","0.00","0","3.25","0","45.20","-6.29","0","-1.68","0","0"
"O-590717256156985","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/3/21","5:11 PM","42.97","0.00","0","3.33","0","46.30","-6.45","0","-1.71","0","0"
"O-809717437881323","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/21/21","6:53 PM","62.82","0.00","0","4.87","0","67.69","-9.42","0","-2.36","0","0"
"O-188317292151807","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/7/21","8:05 PM","29.98","1.99","0","2.47","5.16","39.60","-4.80","0","-1.51","0","0"
"O-680717307202926","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/8/21","6:17 PM","50.17","4.99","0","3.66","11.76","70.58","-8.27","0","-2.21","0","-8.00"
"O-891917269991328","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/4/21","5:20 PM","70.64","4.99","0","5.86","12.22","93.71","-11.34","0","-3.16","0","0"
"O-405717408790598","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/18/21","6:45 PM","28.97","4.99","0","2.64","5.49","42.09","-5.09","0","-1.58","0","0"
"O-072617408517744","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/18/21","7:22 PM","22.32","4.99","0","2.12","2.94","32.37","-4.10","0","-1.29","0","0"
"O-493817364610659","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/15/21","12:31 PM","15.48","0.00","0","1.20","0","16.68","-2.32","0","-0.81","0","0"
"O-778517415579360","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/20/21","1:56 PM","45.25","1.99","0","3.66","7.63","58.53","-7.09","0","-2.09","0","0"
"O-349217448697296","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/23/21","4:08 PM","27.76","6.99","0","2.69","2.99","40.43","-5.21","0","-1.53","0","0"
"O-243817266051327","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/4/21","8:37 PM","13.78","0.00","0","1.07","0","14.85","-2.07","0","-0.75","0","0"
"O-116017381973552","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/16/21","5:40 PM","28.97","1.99","0","2.40","5.00","38.36","-4.64","0","-1.47","0","0"
"O-073517345889771","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/12/21","5:57 PM","43.75","6.99","0","3.93","0","54.67","-7.61","0","-1.97","0","0"
"O-257117389581475","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/16/21","6:53 PM","16.98","0.00","0","1.32","0","18.30","-2.55","0","-0.86","0","0"
"O-303117303292765","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/8/21","6:39 PM","22.32","4.99","0","2.12","2.94","32.37","-4.10","0","-1.29","0","0"
"O-926717310155967","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/9/21","6:59 PM","19.28","2.99","0","1.72","3.60","27.59","-3.34","0","-1.14","0","0"
"O-110317364608423","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/15/21","11:27 AM","22.96","0.00","0","1.78","0","24.74","-3.44","0","-1.05","0","0"
"T-AwEAAAAAAA9OonovvOBeexHskgQb9sQyu5k","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","AC 581917356790597","12/16/21","6:21 AM","0","0.00","0","0.00","0","26.36","0","0","0","0","0"
"O-041917409918867","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/18/21","8:56 PM","25.97","4.99","0","2.40","2.80","36.16","-4.64","0","-1.40","0","0"
"O-405717418790809","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/19/21","7:01 PM","44.95","1.99","0","3.63","5.06","55.63","-7.04","0","-2.00","0","0"
