Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Aroma Pizza,,#BEB95,0817ef15-516e-46e5-99ad-1b3b6dcbeb95,Delivery - Partner Using Uber App,UberEats iOS,Completed,12/1/21,7:18 PM,38.97,3.02,41.99,0,0,0,0,0,0,0,0,41.99,-7.4,0,0,0,0,0,,0,-3.02,0,31.57,12/6/21,0,0,19,LY6W7I4C3NKXIC6
Aroma Pizza,,#94EF2,e0689be9-1757-4732-b4a7-59573da94ef2,Delivery - Partner Using Uber App,UberEats iOS,Completed,12/1/21,7:40 PM,41.42,3.21,44.63,0,0,0,0,0,0,0,0,44.63,-7.87,0,0,0,0,0,,0,-3.21,0,33.55,12/6/21,0,0,19,LY6W7I4C3NKXIC6
Aroma Pizza,,#94EF2,e0689be9-1757-4732-b4a7-59573da94ef2,,Unknown,Refund,12/1/21,7:40 PM,-17.36,-1.35,-18.71,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,1.35,0,-17.36,12/6/21,,,,LY6W7I4C3NKXIC6
Aroma Pizza,,#3976E,a53d02ba-5ab5-458f-974c-1165fbe3976e,Delivery - Partner Using Uber App,Postmates iOS,Completed,12/1/21,9:03 PM,46.72,3.62,50.34,0,0,0,0,0,0,0,0,50.34,-8.88,0,0,0,0,0,,0,-3.62,0,37.84,12/6/21,0,0,19,LY6W7I4C3NKXIC6
Aroma Pizza,,#CCC5D,dc7b3bb4-3e10-4fa5-ac5b-b576043ccc5d,Delivery - Partner Using Uber App,Postmates iOS,Completed,12/2/21,3:28 PM,15.73,1.22,16.95,0,0,0,0,0,0,0,0,16.95,-2.99,0,0,0,0,0,,0,-1.22,0,12.74,12/6/21,0,0,19,LY6W7I4C3NKXIC6
Aroma Pizza,,#F3C51,c23be9ce-5552-481a-8c74-ea84a12f3c51,Delivery - Partner Using Uber App,Postmates iOS,Completed,12/2/21,4:00 PM,18.49,1.43,19.92,0,0,0,0,0,0,0,0,19.92,-3.51,0,0,0,0,0,,0,-1.43,0,14.98,12/6/21,0,0,19,LY6W7I4C3NKXIC6
Aroma Pizza,,#D355D,42372380-22c9-4d93-99b6-d1c5557d355d,Delivery - Partner Using Uber App,UberEats iOS,Completed,12/2/21,5:08 PM,13.72,1.06,14.78,0,0,0,0,0,0,0,0,14.78,-2.61,0,0,0,0,0,,0,-1.06,0,11.11,12/6/21,0,0,19,LY6W7I4C3NKXIC6
Aroma Pizza,,#8E65A,2dee519f-6b26-4072-8781-7a1f50f8e65a,Delivery - Partner Using Uber App,UberEats Android,Completed,12/2/21,5:39 PM,39.95,3.1,43.05,0,0,0,0,0,0,0,0,43.05,-7.59,0,0,0,0,0,,0,-3.1,0,32.36,12/6/21,0,0,19,LY6W7I4C3NKXIC6
Aroma Pizza,,#CE778,0d0c073d-fb57-49aa-82b0-0af2227ce778,Delivery - Partner Using Uber App,UberEats iOS,Completed,12/2/21,9:06 PM,57.22,4.43,61.65,0,0,0,0,0,0,0,0,61.65,-10.87,0,0,0,0,0,,0,-4.43,0,46.35,12/6/21,0,0,19,LY6W7I4C3NKXIC6
Aroma Pizza,,#A7D52,72bb78e7-e9a7-495d-b934-093d530a7d52,Delivery - Partner Using Uber App,UberEats iOS,Completed,12/3/21,12:09 PM,26.16,2.03,28.19,0,0,0,0,0,0,0,0,28.19,-4.97,0,0,0,0,0,,0,-2.03,0,21.19,12/6/21,0,0,19,LY6W7I4C3NKXIC6
Aroma Pizza,,#A8879,6d020e88-340b-40f0-85fb-5e1f586a8879,Delivery - Partner Using Uber App,Postmates iOS,Completed,12/3/21,4:30 PM,15.23,1.18,16.41,0,0,0,0,0,0,0,0,16.41,-2.89,0,0,0,0,0,,0,-1.18,0,12.34,12/6/21,0,0,19,LY6W7I4C3NKXIC6
Aroma Pizza,,#9D175,34d5d74b-ae5c-4c99-b2b1-85710289d175,Delivery - Partner Using Uber App,UberEats iOS,Completed,12/4/21,11:20 AM,64.96,5.03,69.99,0,0,0,0,0,0,0,0,69.99,-12.34,0,0,0,0,0,,0,-5.03,0,52.62,12/6/21,0,0,19,LY6W7I4C3NKXIC6
