Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Marketplace Facilitator Tax,Total Tax Charged to Customer,Tax Passed through to Operator,Tip,Restaurant Fulfilled Delivery Fee,Other,You earned,Notes
Delivery,2022-01-01,#E2BFE,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.99,-$5.00,-$3.00,$0.00,-$1.32,$1.32,$0.00,,$0.00,,$11.99,
Delivery,2022-01-01,#5A494,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$21.00,-$5.40,-$3.00,$0.00,-$1.40,$1.40,$0.00,,$0.00,,$12.60,
Delivery,2022-01-01,#371217532650023,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$15.49,-$6.19,$0.00,$0.00,$0.00,$1.20,$1.20,,$0.00,,$10.50,
Delivery,2022-01-01,#caff73f3,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$0.00,$0.00,$1.08,$1.08,,$0.00,,$9.45,
Delivery,2022-01-01,#347817530218082,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$79.92,-$28.88,-$3.00,$0.00,$0.00,$5.96,$5.96,,$0.00,,$54.00,
Delivery,2022-01-01,#349217538622428,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$30.98,-$7.24,-$5.00,$0.00,$0.00,$2.01,$2.01,,$0.00,,$20.75,
Delivery,2022-01-01,#5B98F,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$21.44,-$5.58,-$3.00,$0.00,-$1.43,$1.43,$0.00,,$0.00,,$12.86,
Delivery,2022-01-01,#20723,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$29.90,-$9.96,-$2.00,$0.00,-$2.16,$2.16,$0.00,,$0.00,,$17.94,
Delivery,2022-01-01,#b7bb0c2c,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.90,-$7.17,-$3.99,$0.00,$0.00,$2.16,$2.16,,$0.00,,$18.90,
Delivery,2022-01-01,#9bd1ffe3,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$55.00,-$22.00,$0.00,$0.00,$0.00,$4.26,$4.26,,$0.00,,$37.26,
Delivery,2022-01-01,#b0f2db58,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$35.98,-$8.69,-$5.40,$0.00,$0.00,$2.37,$2.37,,$0.00,,$24.26,
Delivery,2022-01-01,#86646550,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-01-01,#0AD3D,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$69.90,-$27.96,$0.00,$0.00,-$5.42,$5.42,$0.00,,$0.00,,$41.94,
Delivery,2022-01-01,#4d57b378,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$23.98,-$9.59,$0.00,$0.00,$0.00,$1.86,$1.86,,$0.00,,$16.25,
Delivery,2022-01-01,#658517546352515,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$28.90,-$6.42,-$5.00,$0.00,$0.00,$1.85,$1.85,,$0.00,,$19.33,
Delivery,2022-01-01,#850117547090494,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$27.99,-$6.05,-$5.00,$0.00,$0.00,$1.78,$1.78,,$0.00,,$18.72,
Delivery,2022-01-01,#193417548557901,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$60.97,-$19.24,-$5.00,$0.00,$0.00,$4.34,$4.34,,$0.00,,$41.07,
Delivery,2022-01-01,#0837A,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.95,-$7.98,$0.00,$0.00,-$1.55,$1.55,$0.00,,$0.00,,$11.97,
