"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-295717541325487","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/1/22","8:30 PM","61.60","4.99","0","5.16","6.64","78.39","-9.99","0","-2.69","0","0"
"O-955817617683517","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/8/22","7:29 PM","28.77","6.99","0","2.77","7.71","46.24","-5.36","0","-1.71","0","0"
"O-349217568654108","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/3/22","6:23 PM","15.73","6.99","0","1.76","4.90","29.38","-3.41","0","-1.20","0","0"
"O-720517798084144","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/26/22","6:32 PM","57.16","4.99","0","4.82","9.41","76.38","-9.32","0","-2.63","0","0"
"O-117017799767098","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/27/22","12:32 PM","32.96","0.00","0","2.55","0","35.51","-4.94","0","-1.38","0","0"
"O-837017775051407","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/24/22","7:50 PM","14.53","0.00","0","0.51","0","15.04","-2.18","0","-0.51","0","-8.00"
"O-726817763321273","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/23/22","5:41 PM","61.60","4.99","0","4.54","6.58","77.71","-9.99","0","-2.43","0","-8.00"
"O-850117547044207","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/2/22","1:50 PM","38.12","6.99","0","3.49","7.29","55.89","-6.77","0","-2.00","0","0"
"O-941017636272815","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/10/22","7:37 PM","14.53","0.00","0","1.13","0","15.66","-2.18","0","-0.78","0","0"
"O-371217682624816","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/15/22","7:23 PM","33.97","4.99","0","3.02","6.29","48.27","-5.84","0","-1.77","0","0"
"O-062317849916089","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/31/22","9:31 PM","15.57","4.99","0","1.60","4.43","26.59","-3.08","0","-1.11","0","0"
"O-295717581370112","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/5/22","8:39 PM","23.98","2.99","0","2.09","4.35","33.41","-4.05","0","-1.32","0","0"
"O-680417700667574","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/20/22","5:00 PM","154.98","19.99","0","13.56","10.00","198.53","-30.62","0","-6.36","0","0"
"O-193417618501034","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/8/22","7:14 PM","32.48","6.99","0","3.06","8.51","51.04","-5.92","0","-1.86","0","0"
"O-193417598555076","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/6/22","6:09 PM","22.32","4.99","0","2.12","2.94","32.37","-4.10","0","-1.29","0","0"
"O-850117577097738","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/4/22","6:27 PM","16.99","1.99","0","1.47","3.06","23.51","-2.85","0","-1.02","0","0"
"O-062317759911924","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/22/22","6:34 PM","34.74","4.99","0","3.08","4.28","47.09","-5.96","0","-1.74","0","0"
"O-097317702700778","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/17/22","5:40 PM","22.98","0.00","0","1.78","3.71","28.47","-3.45","0","-1.17","0","0"
"O-786017798628627","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-786017798628627","MISSING_ITEM - Refund requested by diner via help interaction","1/29/22","8:29 PM","-14.73","0.00","0","-1.14","0","-15.87","0","0","0","0","0"
"O-392817800730773","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/27/22","9:12 PM","26.98","0.00","0","2.09","4.36","33.43","-4.05","0","-1.32","0","0"
"O-349217598624370","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/7/22","1:30 PM","14.77","0.00","0","1.14","0","15.91","-2.22","0","-0.79","0","0"
"O-663917849184907","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/31/22","6:46 PM","47.07","4.99","0","4.04","5.07","61.17","-7.81","0","-2.17","0","0"
