Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Marketplace Facilitator Tax,Total Tax Charged to Customer,Tax Passed through to Operator,Tip,Restaurant Fulfilled Delivery Fee,Other,You earned,Notes
Delivery,2022-02-01,#13D08,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.99,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.79,
Delivery,2022-02-01,#a3e6b065,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$49.96,-$11.50,-$8.48,$0.00,$0.00,$3.29,$3.29,,$0.00,,$33.27,
Delivery,2022-02-01,#952217844192010,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-02-01,#dcb69092,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$22.00,-$8.80,$0.00,$0.00,$0.00,$1.71,$1.71,,$0.00,,$14.91,
Delivery,2022-02-01,#A5E38,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.95,-$6.38,$0.00,$0.00,-$1.24,$1.24,$0.00,,$0.00,,$9.57,
Delivery,2022-02-01,#EF379,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.95,-$3.38,-$3.00,$0.00,-$1.00,$1.00,$0.00,,$0.00,,$9.57,
Delivery,2022-02-01,#3a8b68dd,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$54.95,-$12.99,-$8.99,$0.00,$0.00,$3.64,$3.64,,$0.00,,$36.61,
Delivery,2022-02-01,#423D4,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.00,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.80,
Delivery,2022-02-01,#2db353f5,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$41.96,-$9.50,-$7.28,$0.00,$0.00,$2.76,$2.76,,$0.00,,$27.94,
Delivery,2022-02-01,#8cebc228,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$17.99,-$7.20,$0.00,$0.00,$0.00,$1.39,$1.39,,$0.00,,$12.18,
Delivery,2022-02-01,#11AB7,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.95,-$5.58,$0.00,$0.00,-$1.08,$1.08,$0.00,,$0.00,,$8.37,
Delivery,2022-02-02,#bc3770b9,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.95,-$6.38,$0.00,$0.00,$0.00,$1.24,$1.24,,$0.00,,$10.81,
Delivery,2022-02-02,#a410f143,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-02-02,#2401D,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.99,-$7.20,$0.00,$0.00,-$1.39,$1.39,$0.00,,$0.00,,$10.79,
Delivery,2022-02-02,#EF15D,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.00,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.80,
Delivery,2022-02-02,#150d713d,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.90,-$11.16,$0.00,$0.00,$0.00,$2.16,$2.16,,$0.00,,$18.90,
Delivery,2022-02-02,#a707d215,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.98,-$7.99,$0.00,$0.00,$0.00,$1.55,$1.55,,$0.00,,$13.54,
Delivery,2022-02-02,#311517865646850,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$27.90,-$6.01,-$5.00,$0.00,$0.00,$1.77,$1.77,,$0.00,,$18.66,
Delivery,2022-02-02,#B5016,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.99,-$5.00,-$3.00,$0.00,-$1.32,$1.32,$0.00,,$0.00,,$11.99,
Delivery,2022-02-02,#6DCF2,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$18.99,-$4.60,-$3.00,$0.00,-$1.24,$1.24,$0.00,,$0.00,,$11.39,
Delivery,2022-02-02,#441e9d4f,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$26.49,-$10.60,$0.00,$0.00,$0.00,$2.05,$2.05,,$0.00,,$17.94,
Delivery,2022-02-03,#7b0301d7,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$20.90,-$3.88,-$4.18,$0.00,$0.00,$1.30,$1.30,,$0.00,,$14.14,
Delivery,2022-02-03,#837017865008896,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-02-03,#acca92ce,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$41.96,-$9.50,-$7.28,$0.00,$0.00,$2.76,$2.76,,$0.00,,$27.94,
Delivery,2022-02-03,#6327C,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.98,-$7.19,$0.00,$0.00,-$1.39,$1.39,$0.00,,$0.00,,$10.79,
Delivery,2022-02-03,#003417860610260,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$15.98,-$1.24,-$5.00,$0.00,$0.00,$0.85,$0.85,,$0.00,,$10.59,
Delivery,2022-02-03,#375620a2,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.99,-$11.20,$0.00,$0.00,$0.00,$2.17,$2.17,,$0.00,,$18.96,
Delivery,2022-02-03,#6FC19,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$39.98,-$12.99,-$3.00,$0.00,-$2.87,$2.87,$0.00,,$0.00,,$23.99,
Delivery,2022-02-03,#0b9fb5b8,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$0.00,$0.00,$1.00,$1.00,,$0.00,,$8.77,
Delivery,2022-02-03,#7b0a9fb6,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$31.00,-$12.40,$0.00,$0.00,$0.00,$2.40,$2.40,,$0.00,,$21.00,
Delivery,2022-02-03,#8d28dde0,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$58.95,-$21.19,$0.00,$0.00,$0.00,$0.00,$0.00,,$0.00,,$37.77,
Delivery,2022-02-03,#B35A4,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.50,-$5.40,$0.00,$0.00,-$1.05,$1.05,$0.00,,$0.00,,$8.10,
Delivery,2022-02-03,#AA677,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$26.90,-$7.76,-$3.00,$0.00,-$1.85,$1.85,$0.00,,$0.00,,$16.14,
Delivery,2022-02-03,#01684,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$34.90,-$13.96,$0.00,$0.00,-$2.70,$2.70,$0.00,,$0.00,,$20.94,
Delivery,2022-02-03,#85830,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$29.97,$0.00,-$11.99,$0.00,-$1.39,$1.39,$0.00,,$0.00,,$17.98,
Delivery,2022-02-03,#504d5104,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.90,-$11.16,$0.00,$0.00,$0.00,$2.16,$2.16,,$0.00,,$18.90,
Delivery,2022-02-03,#C779B,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.99,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.79,
Delivery,2022-02-03,#210117875635992,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$21.44,-$8.57,$0.00,$0.00,$0.00,$1.66,$1.66,,$0.00,,$14.53,
Delivery,2022-02-03,#6E327,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$34.00,-$10.60,-$3.00,$0.00,-$2.40,$2.40,$0.00,,$0.00,,$20.40,
Delivery,2022-02-03,#117017879748133,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$28.90,-$6.42,-$5.00,$0.00,$0.00,$1.85,$1.85,,$0.00,,$19.33,
Delivery,2022-02-03,#09fe7f2d,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.95,-$6.38,$0.00,$0.00,$0.00,$1.24,$1.24,,$0.00,,$10.81,
Delivery,2022-02-04,#6eefe296,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.99,-$6.40,$0.00,$0.00,$0.00,$1.24,$1.24,,$0.00,,$10.83,
Delivery,2022-02-04,#2DF08,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.00,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.80,
Delivery,2022-02-04,#EBBE6,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.00,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.80,
Delivery,2022-02-04,#D9FD8,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$41.85,-$13.74,-$3.00,$0.00,-$3.01,$3.01,$0.00,,$0.00,,$25.11,
Delivery,2022-02-04,#185C9,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$20.48,-$5.19,-$3.00,$0.00,-$1.35,$1.35,$0.00,,$0.00,,$12.29,
Delivery,2022-02-04,#2e993602,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$39.96,-$15.98,$0.00,$0.00,$0.00,$3.10,$3.10,,$0.00,,$27.08,
Delivery,2022-02-04,#A01B2,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$22.99,-$9.20,$0.00,$0.00,-$1.78,$1.78,$0.00,,$0.00,,$13.79,
Delivery,2022-02-04,#b488e27f,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$42.00,-$10.20,-$6.30,$0.00,$0.00,$2.77,$2.77,,$0.00,,$28.27,
Delivery,2022-02-04,#117017889795834,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$78.95,-$26.43,-$5.00,$0.00,$0.00,$5.73,$5.73,,$0.00,,$53.25,
Delivery,2022-02-04,#06a2de67,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-02-04,#1ECDB,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.99,-$5.60,$0.00,$0.00,-$1.08,$1.08,$0.00,,$0.00,,$8.39,
Delivery,2022-02-04,#40B84,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$60.30,-$24.12,$0.00,$0.00,-$4.67,$4.67,$0.00,,$0.00,,$36.18,
Delivery,2022-02-04,#96C7B,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$33.98,-$10.59,-$3.00,$0.00,-$2.40,$2.40,$0.00,,$0.00,,$20.39,
Delivery,2022-02-04,#6078b90b,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$0.00,$0.00,$1.08,$1.08,,$0.00,,$9.45,
Delivery,2022-02-04,#80BDE,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$24.94,-$9.98,$0.00,$0.00,-$1.93,$1.93,$0.00,,$0.00,,$14.96,
Delivery,2022-02-04,#2a77df10,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$26.48,-$10.59,$0.00,$0.00,$0.00,$2.05,$2.05,,$0.00,,$17.94,
Delivery,2022-02-04,#c3c8a919,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$21.48,-$8.59,$0.00,$0.00,$0.00,$1.66,$1.66,,$0.00,,$14.55,
Delivery,2022-02-04,#5CCAD,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.99,-$5.00,-$3.00,$0.00,-$1.32,$1.32,$0.00,,$0.00,,$11.99,
Delivery,2022-02-04,#bb77833d,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$22.98,-$0.89,-$8.00,$0.00,$0.00,$1.16,$1.16,,$0.00,,$15.25,
Delivery,2022-02-04,#EA3C8,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$28.50,-$8.40,-$3.00,$0.00,-$1.98,$1.98,$0.00,,$0.00,,$17.10,
Delivery,2022-02-04,#9F62B,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$45.00,-$18.00,$0.00,$0.00,-$3.49,$3.49,$0.00,,$0.00,,$27.00,
Delivery,2022-02-04,#04193,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.94,-$3.38,-$3.00,$0.00,-$1.00,$1.00,$0.00,,$0.00,,$9.56,
Delivery,2022-02-04,#fd986878,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$21.99,-$8.80,$0.00,$0.00,$0.00,$1.70,$1.70,,$0.00,,$14.89,
Delivery,2022-02-04,#d93f5a8a,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$28.50,-$11.40,$0.00,$0.00,$0.00,$2.21,$2.21,,$0.00,,$19.31,
Delivery,2022-02-04,#bb74123f,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$40.46,-$9.12,-$7.06,$0.00,$0.00,$2.67,$2.67,,$0.00,,$26.95,
Delivery,2022-02-05,#adfad01f,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$17.99,$1.10,-$8.00,$0.00,$0.00,$0.77,$0.77,,$0.00,,$11.86,
Delivery,2022-02-05,#E2D43,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$22.98,-$6.19,-$3.00,$0.00,-$1.55,$1.55,$0.00,,$0.00,,$13.79,
Delivery,2022-02-05,#e75e62a8,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$23.99,-$9.60,$0.00,$0.00,$0.00,$1.86,$1.86,,$0.00,,$16.25,
Delivery,2022-02-05,#952217884190426,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$44.85,-$17.94,$0.00,$0.00,$0.00,$3.48,$3.48,,$0.00,,$30.39,
Delivery,2022-02-05,#540917883024696,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-02-05,#c57600af,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$23.99,-$9.60,$0.00,$0.00,$0.00,$1.86,$1.86,,$0.00,,$16.25,
Delivery,2022-02-05,#809017892169125,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$26.90,-$10.76,$0.00,$0.00,$0.00,$2.08,$2.08,,$0.00,,$18.22,
Delivery,2022-02-05,#37C85,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$37.99,-$15.20,$0.00,$0.00,-$2.94,$2.94,$0.00,,$0.00,,$22.79,
Delivery,2022-02-05,#73f3985d,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$21.48,-$8.59,$0.00,$0.00,$0.00,$1.66,$1.66,,$0.00,,$14.55,
Delivery,2022-02-05,#3d61eec2,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.45,-$2.89,-$3.00,$0.00,$0.00,$0.96,$0.96,,$0.00,,$10.53,
Delivery,2022-02-05,#FA202,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$53.00,-$21.20,$0.00,$0.00,-$4.11,$4.11,$0.00,,$0.00,,$31.80,
