"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-774917996366054","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/15/22","6:57 PM","52.96","4.99","0","4.49","9.36","71.80","-8.69","0","-2.49","0","0"
"O-720517888021533","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/4/22","7:02 PM","37.97","0.00","0","2.94","0","40.91","-5.70","0","-1.55","0","0"
"O-857217892743811","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/5/22","7:20 PM","50.95","4.99","0","4.34","10.10","70.38","-8.39","0","-2.45","0","0"
"O-851618058404275","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/21/22","7:04 PM","20.98","4.99","0","2.02","2.26","30.25","-3.90","0","-1.22","0","0"
"O-949417859894349","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/1/22","5:17 PM","31.94","1.99","0","2.63","5.48","42.04","-5.09","0","-1.58","0","0"
"O-980418030665265","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/19/22","4:57 PM","61.15","1.99","0","4.27","5.00","72.41","-9.47","0","-2.26","0","-8.00"
"O-720017916259268","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/8/22","12:56 PM","11.99","0.00","0","0.93","0","12.92","-1.80","0","-0.69","0","0"
"O-038118032138623","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/19/22","5:36 PM","33.52","1.99","0","2.75","5.73","43.99","-5.33","0","-1.64","0","0"
"O-985118119920082","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/28/22","11:56 AM","19.06","6.99","0","1.40","4.98","32.43","-3.91","0","-1.05","0","-8.00"
"O-944818057546761","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/21/22","8:05 PM","21.57","0.00","0","1.05","0","22.62","-3.24","0","-0.75","0","-8.00"
"O-017718098244300","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/25/22","6:25 PM","32.97","0.00","0","1.94","3.49","38.40","-4.95","0","-1.23","0","-8.00"
"O-962617965317406","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/13/22","11:49 AM","23.98","4.99","0","1.63","2.52","33.12","-4.35","0","-1.07","0","-8.00"
"O-851618098404871","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/25/22","6:17 PM","43.51","0.00","0","3.37","7.03","53.91","-6.53","0","-1.94","0","0"
"T-AwEAAAAAAA9Ooo6NcZCJqxHshVBVpCs1rBc","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","96151791-2871833 ZH","2/9/22","5:24 AM","0","0.00","0","0.00","0","224.29","0","0","0","0","0"
"O-595018036961049","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/20/22","12:57 PM","30.98","4.99","0","2.79","5.81","44.57","-5.40","0","-1.66","0","0"
"O-973818097826308","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/25/22","8:07 PM","63.94","2.99","0","5.19","10.81","82.93","-10.04","0","-2.83","0","0"
"O-851618128405521","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/28/22","5:18 PM","31.47","4.99","0","2.83","9.82","49.11","-5.47","0","-1.80","0","0"
"O-691618019899912","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/17/22","5:33 PM","38.55","2.99","0","3.22","6.23","50.99","-6.23","0","-1.86","0","0"
"O-126918070281968","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/23/22","4:45 PM","26.98","0.00","0","2.09","0","29.07","-4.05","0","-1.19","0","0"
"O-514518035989852","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/19/22","6:23 PM","30.97","8.99","0","3.10","4.31","47.37","-5.99","0","-1.74","0","0"
"O-604417902974168","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/7/22","1:11 PM","12.98","0.00","0","1.01","0","13.99","-1.95","0","-0.73","0","0"
"O-038117952102363","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/12/22","4:32 PM","23.98","8.99","0","2.56","3.16","38.69","-4.95","0","-1.48","0","0"
"O-734117992338251","Aroma Pizza & Pasta - Alton Pkwy","Cash Order",,"2/15/22","6:04 PM","50.94","0.00","0","3.95","0","54.89","-7.64","0","0","0","0"
"O-534117975350871","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/16/22","12:00 PM","19.98","4.99","0","1.94","2.15","29.06","-3.75","0","-1.19","0","0"
"O-774918086360108","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/24/22","6:17 PM","30.98","0.00","0","2.40","0","33.38","-4.65","0","-1.32","0","0"
"O-604417982971814","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/14/22","5:48 PM","42.24","4.99","0","3.66","5.09","55.98","-7.08","0","-2.01","0","0"
"O-126917920285105","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/8/22","8:13 PM","30.52","0.00","0","2.37","0","32.89","-4.58","0","-1.30","0","0"
"O-534117935327247","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/9/22","6:40 PM","56.29","1.99","0","4.51","9.41","72.20","-8.74","0","-2.50","0","0"
"O-753317930941170","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/10/22","5:00 PM","17.06","8.99","0","2.02","4.00","32.07","-3.91","0","-1.28","0","0"
"O-973818127821083","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/28/22","7:22 PM","37.95","2.99","0","3.17","6.13","50.24","-6.14","0","-1.83","0","0"
"O-774918006368012","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/16/22","5:51 PM","19.98","4.99","0","1.94","4.31","31.22","-3.75","0","-1.25","0","0"
"O-010618095852755","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/25/22","6:25 PM","16.76","1.99","0","1.45","4.04","24.24","-2.81","0","-1.04","0","0"
"O-514518005983873","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/16/22","9:50 PM","26.46","4.99","0","2.44","3.39","37.28","-4.72","0","-1.44","0","0"
"O-720017946235165","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/10/22","6:31 PM","46.96","8.99","0","4.34","6.00","66.29","-8.39","0","-2.32","0","0"
"O-985117949926212","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/10/22","8:12 PM","86.88","4.99","0","7.12","6.01","105.00","-13.78","0","-3.50","0","0"
"O-809017892147570","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/6/22","1:51 PM","58.57","1.99","0","4.69","5.00","70.25","-9.08","0","-2.44","0","0"
"O-809017892188809","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/5/22","7:57 PM","41.69","2.99","0","3.46","7.22","55.36","-6.70","0","-1.99","0","0"
"O-902618037528354","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/20/22","12:47 PM","39.96","0.00","0","3.10","0","43.06","-5.99","0","-1.61","0","0"
"O-961517912871833","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/8/22","11:45 AM","175.86","29.99","0","15.95","47.01","268.81","-36.02","0","-8.50","0","0"
"O-837017895053536","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/5/22","6:10 PM","34.63","6.99","0","3.22","6.00","50.84","-6.24","0","-1.85","0","0"
"O-962618075368009","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/24/22","5:00 PM","264.97","19.99","0","22.09","15.00","322.05","-49.87","0","-10.12","0","0"
"O-719617900108570","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/6/22","5:30 PM","22.77","4.99","0","1.53","4.78","34.07","-4.16","0","-1.10","0","-8.00"
"O-940318111162034","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/27/22","9:25 PM","15.99","1.99","0","1.39","4.84","24.21","-2.70","0","-1.04","0","0"
"O-126917940286551","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/10/22","5:49 PM","19.98","0.00","0","1.55","0","21.53","-3.00","0","-0.96","0","0"
"O-558417932397004","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/10/22","4:41 PM","24.47","4.99","0","1.67","6.23","37.36","-4.42","0","-1.20","0","-8.00"
"O-949417899827278","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/6/22","12:00 PM","11.99","0.00","0","0.93","0","12.92","-1.80","0","-0.69","0","0"
"O-973817937820657","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/9/22","5:13 PM","36.21","1.99","0","2.96","6.17","47.33","-5.73","0","-1.74","0","0"
"O-774917936368818","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-774917936368818","INCORRECT_ITEM - Refund requested by diner via help interaction","2/9/22","8:50 PM","-13.72","0.00","0","-1.06","0","-14.78","0","0","0","0","0"
