Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Aroma Pizza,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,16.98,0,0,16.98,2/8/22,0,0,,MHKJF9Q5W5TW86A
Aroma Pizza,,#80839,e7832b40-2ba7-4c8e-8b21-7ac301780839,Delivery - Partner Using Uber App,UberEats iOS,Completed,2/1/22,12:09 PM,28.73,2.23,30.96,0,0,0,0,0,0,0,0,30.96,-5.46,0,0,0,0,0,,0,-2.23,0,23.27,2/8/22,0,0,19,MHKJF9Q5W5TW86A
Aroma Pizza,,#743AC,5bb5fcfa-5cb1-4c87-9d29-17e71f5743ac,Delivery - Partner Using Uber App,UberEats iOS,Completed,2/1/22,1:19 PM,77.96,6.04,84,0,0,-49.99,-3.87,0,0,0,15,84,-8.16,0,0,0,0,0,,0,-2.17,0,34.81,2/8/22,0,0,19,MHKJF9Q5W5TW86A
Aroma Pizza,,#DF7BA,3dc4824a-7e0b-4e98-b08c-b708990df7ba,Delivery - Partner Using Uber App,Postmates Web,Completed,2/1/22,1:22 PM,59.93,4.64,64.57,0,0,0,0,0,0,0,0,64.57,-11.39,0,0,0,0,0,,0,-4.64,0,48.54,2/8/22,0,0,19,MHKJF9Q5W5TW86A
Aroma Pizza,,#A7E03,028b8f1b-7ba1-4699-8b6f-9b40be4a7e03,Delivery - Partner Using Uber App,UberEats iOS,Completed,2/1/22,5:39 PM,26.99,2.09,29.08,0,0,0,0,0,0,0,0,29.08,-5.13,0,0,0,0,0,,0,-2.09,0,21.86,2/8/22,0,0,19,MHKJF9Q5W5TW86A
Aroma Pizza,,#ECC34,1bfd7be1-16da-45ac-afb8-5f6660eecc34,Delivery - Partner Using Uber App,UberEats Web,Completed,2/1/22,6:01 PM,28.97,2.25,31.22,0,0,0,0,0,0,0,0,31.22,-5.5,0,0,0,0,0,,0,-2.25,0,23.47,2/8/22,0,0,19,MHKJF9Q5W5TW86A
Aroma Pizza,,#65B21,e10e3736-2a17-402b-a2e5-b669e5065b21,Delivery - Partner Using Uber App,Postmates Android,Completed,2/1/22,6:47 PM,74.46,5.77,80.23,0,0,-49.99,-3.87,0,0,0,15,80.23,-7.5,0,0,0,0,0,,0,-1.9,0,31.97,2/8/22,0,0,19,MHKJF9Q5W5TW86A
Aroma Pizza,,#29316,1307f3fe-ecc9-4438-9ad3-4d71fd929316,Pickup,Postmates Android,Completed,2/1/22,6:13 PM,21.99,1.7,23.69,0,0,0,0,0,0,0,0,23.69,-1.32,0,0,0,0,0,,0,-1.7,0,20.67,2/8/22,0,0,6,MHKJF9Q5W5TW86A
Aroma Pizza,,#4317F,c30ab0e1-904a-4e7e-93f1-83809a94317f,Delivery - Partner Using Uber App,Postmates iOS,Completed,2/2/22,5:01 PM,22.47,1.51,23.98,0,0,0,0,0,0,0,0,23.98,-4.27,0,0,0,0,0,,0,-1.51,0,18.2,2/8/22,0,0,19,MHKJF9Q5W5TW86A
Aroma Pizza,,#3DD1B,27f54b06-f09f-4a1d-81a6-2e247b73dd1b,Delivery - Partner Using Uber App,UberEats iOS,Completed,2/3/22,10:59 AM,78.96,6.12,85.08,0,0,-49.99,-3.87,0,0,0,15,85.08,-8.35,0,0,0,0,0,,0,-2.25,0,35.62,2/8/22,0,0,19,MHKJF9Q5W5TW86A
Aroma Pizza,,#79051,50791985-9ddf-46b0-bc03-9d6c60779051,Pickup,UberEats iOS,Completed,2/3/22,10:57 AM,116.93,9.06,125.99,0,0,-49.99,-3.87,0,0,0,15,125.99,-4.92,0,0,0,0,0,,0,-5.19,0,77.02,2/8/22,0,0,6,MHKJF9Q5W5TW86A
Aroma Pizza,,#5984C,0ea8cef3-52ba-4467-b5dc-c6dddb75984c,Delivery - Partner Using Uber App,Postmates iOS,Completed,2/3/22,12:02 PM,21.73,1.68,23.41,0,0,0,0,0,0,0,0,23.41,-4.13,0,0,0,0,0,,0,-1.68,0,17.6,2/8/22,0,0,19,MHKJF9Q5W5TW86A
Aroma Pizza,,#5395C,80f1ca48-8628-47df-9dcb-4b553e55395c,Delivery - Partner Using Uber App,Postmates iOS,Completed,2/3/22,1:03 PM,47.51,3.68,51.19,0,0,0,0,0,0,0,0,51.19,-9.03,0,0,0,0,0,,0,-3.68,0,38.48,2/8/22,0,0,19,MHKJF9Q5W5TW86A
Aroma Pizza,,#9A707,34ec4d73-be3a-42d4-998c-31ab1569a707,Pickup,UberEats Android,Completed,2/3/22,2:01 PM,11.99,0.93,12.92,0,0,0,0,0,0,0,0,12.92,-0.72,0,0,0,0,0,,0,-0.93,0,11.27,2/8/22,0,0,6,MHKJF9Q5W5TW86A
Aroma Pizza,,#0823F,b1d620b1-e8e0-44ed-a046-9d9bec10823f,Delivery - Partner Using Uber App,UberEats Android,Completed,2/3/22,2:17 PM,73.97,5.73,79.7,0,0,-49.99,-3.87,0,0,0,15,79.7,-7.41,0,0,0,0,0,,0,-1.86,0,31.57,2/8/22,0,0,19,MHKJF9Q5W5TW86A
