Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Marketplace Facilitator Tax,Total Tax Charged to Customer,Tax Passed through to Operator,Tip,Restaurant Fulfilled Delivery Fee,Other,You earned,Notes
Delivery,2022-03-01,#30055e9b,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$24.98,-$9.99,$0.00,$0.00,$0.00,$1.94,$1.94,,$0.00,,$16.93,
Delivery,2022-03-01,#699BA,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.95,-$6.38,$0.00,$0.00,-$1.24,$1.24,$0.00,,$0.00,,$9.57,
Delivery,2022-03-01,#B0CA7,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$20.48,-$5.19,-$3.00,$0.00,-$1.35,$1.35,$0.00,,$0.00,,$12.29,
Delivery,2022-03-01,#093B2,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.95,-$2.59,-$2.59,$0.00,-$0.80,$0.80,$0.00,,$0.00,,$7.77,
Delivery,2022-03-01,#9D584,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.45,-$6.18,$0.00,$0.00,-$1.20,$1.20,$0.00,,$0.00,,$9.27,
Delivery,2022-03-01,#853318127856722,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$35.73,-$11.29,-$3.00,$0.00,$0.00,$2.54,$2.54,,$0.00,,$23.98,
Delivery,2022-03-01,#51e78a78,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$18.98,-$7.59,$0.00,$0.00,$0.00,$1.47,$1.47,,$0.00,,$12.86,
Delivery,2022-03-01,#340318137096697,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$28.90,-$11.56,$0.00,$0.00,$0.00,$2.24,$2.24,,$0.00,,$19.58,
Delivery,2022-03-01,#99e6f3fc,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$0.00,$0.00,$1.08,$1.08,,$0.00,,$9.45,
Delivery,2022-03-01,#679db097,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$44.85,-$12.65,-$5.00,$0.00,$0.00,$3.09,$3.09,,$0.00,,$30.30,
Delivery,2022-03-01,#b8636d43,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$0.00,$0.00,$1.08,$1.08,,$0.00,,$9.45,
Delivery,2022-03-01,#DF366,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$60.46,-$21.38,-$2.80,$0.00,-$4.47,$4.47,$0.00,,$0.00,,$36.28,
Delivery,2022-03-01,#8f4400b1,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$53.80,-$16.22,-$5.00,$0.00,$0.00,$3.78,$3.78,,$0.00,,$36.36,
Delivery,2022-03-01,#4d451c94,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.90,-$5.86,-$5.00,$0.00,$0.00,$1.77,$1.77,,$0.00,,$18.81,
Delivery,2022-03-01,#4353E,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$27.49,-$11.00,$0.00,$0.00,-$2.13,$2.13,$0.00,,$0.00,,$16.49,
Delivery,2022-03-01,#822671f9,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$29.40,-$6.46,-$5.00,$0.00,$0.00,$1.89,$1.89,,$0.00,,$19.83,
Delivery,2022-03-01,#E6C51,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$23.98,-$6.59,-$3.00,$0.00,-$1.63,$1.63,$0.00,,$0.00,,$14.39,
Delivery,2022-03-01,#604fa0e0,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$14.95,-$5.98,$0.00,$0.00,$0.00,$1.16,$1.16,,$0.00,,$10.13,
Delivery,2022-03-01,#F90FD,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.95,-$5.58,$0.00,$0.00,-$1.08,$1.08,$0.00,,$0.00,,$8.37,
Delivery,2022-03-01,#2b813ae4,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$18.98,-$7.59,$0.00,$0.00,$0.00,$1.47,$1.47,,$0.00,,$12.86,
Delivery,2022-03-01,#8b383e32,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$26.98,-$6.80,-$3.99,$0.00,$0.00,$2.09,$2.09,,$0.00,,$18.28,
Delivery,2022-03-01,#EF0A2,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.98,-$4.19,-$3.00,$0.00,-$1.16,$1.16,$0.00,,$0.00,,$10.79,
Delivery,2022-03-01,#DC1DA,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$30.98,-$12.39,$0.00,$0.00,-$2.40,$2.40,$0.00,,$0.00,,$18.59,
Delivery,2022-03-01,#176EE,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.95,-$2.59,-$2.59,$0.00,-$0.80,$0.80,$0.00,,$0.00,,$7.77,
