"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-158818238504386","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/11/22","6:09 PM","22.58","0.00","0","1.75","0","24.33","-3.39","0","-1.04","0","0"
"O-541118271296349","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/16/22","3:59 PM","35.97","0.00","0","2.79","1.24","40.00","-5.40","0","-1.52","0","0"
"O-143218197763729","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/7/22","6:37 PM","39.96","8.99","0","3.18","5.21","57.34","-7.34","0","-1.80","0","-8.00"
"O-349718143047473","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/2/22","8:55 PM","47.93","2.99","0","3.94","0","54.86","-7.64","0","-1.97","0","0"
"O-229618135374784","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/1/22","7:18 PM","16.99","0.00","0","1.32","2.74","21.05","-2.55","0","-0.94","0","0"
"O-731418166267103","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/4/22","6:37 PM","20.98","0.00","0","1.63","0","22.61","-3.15","-2.10","-0.99","0","0"
"O-248518246017422","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/13/22","5:01 PM","42.98","0.00","0","3.33","0","46.31","-6.45","0","-1.71","0","0"
"O-229718285837104","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/17/22","1:10 PM","19.01","0.00","0","1.47","0","20.48","-2.85","0","-0.92","0","0"
"O-065918292364660","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/17/22","7:22 PM","40.70","4.99","0","3.54","7.38","56.61","-6.85","0","-2.03","0","0"
"O-994718421048198","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/30/22","6:20 PM","29.97","6.99","0","2.86","6.46","46.28","-5.54","0","-1.71","0","0"
"O-343218170576340","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/5/22","4:56 PM","29.48","2.99","0","2.51","0","34.98","-4.87","0","-1.37","0","0"
"O-428018434607463","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-428018434607463","Late delivery (order is too late)","3/31/22","7:22 PM","-37.95","-4.99","0","-3.33","-6.94","-53.21","6.44","0","1.92","0","0"
