Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Aroma Pizza,,#7FD48,7e905e8c-cf90-45dd-b2a8-d8f7cf07fd48,Delivery - Partner Using Uber App,UberEats iOS,Completed,3/1/22,12:48 PM,32.97,2.56,35.53,0,0,-5,-0.39,0,0,0,1.5,35.53,-5.6,0,0,0,0,0,,0,-2.17,0,23.87,3/7/22,0,0,19,IWUJZXXYA7SPVYL
Aroma Pizza,,#38342,724041e1-434c-4eb1-8aa7-20b950c38342,Delivery - Partner Using Uber App,UberEats iOS,Completed,3/1/22,2:29 PM,50.67,3.93,54.6,0,0,-8.99,-0.7,0,0,0,2.7,54.6,-8.43,0,0,0,0,0,,0,-3.23,0,35.95,3/7/22,0,0,19,IWUJZXXYA7SPVYL
Aroma Pizza,,#5097E,5b641eee-5b47-4b8f-a046-1466a885097e,Delivery - Partner Using Uber App,Postmates Web,Completed,3/1/22,5:25 PM,52.4,4.06,56.46,0,0,0,0,0,0,0,0,56.46,-9.96,0,0,0,0,0,,0,-4.06,0,42.44,3/7/22,0,0,19,IWUJZXXYA7SPVYL
Aroma Pizza,,#1815B,dee71d21-081f-4b42-aedd-0a16c761815b,Delivery - Partner Using Uber App,UberEats iOS,Completed,3/1/22,5:50 PM,21.98,1.71,23.69,0,0,-5,-0.39,0,0,0,1.5,23.69,-3.51,0,0,0,0,0,,0,-1.32,0,14.97,3/7/22,0,0,19,IWUJZXXYA7SPVYL
Aroma Pizza,,#87CD3,2a82c62a-17da-4123-a6bc-8d999a287cd3,Delivery - Partner Using Uber App,Postmates iOS,Completed,3/1/22,8:22 PM,40.97,3.18,44.15,0,0,0,0,0,0,0,0,44.15,-7.78,0,0,0,0,0,,0,-3.18,0,33.19,3/7/22,0,0,19,IWUJZXXYA7SPVYL
Aroma Pizza,,#76D5B,fe8be834-6ab4-4672-88c5-dd1014a76d5b,Delivery - Partner Using Uber App,UberEats iOS,Completed,3/1/22,8:17 PM,37.44,2.9,40.34,0,0,-5,-0.39,0,0,0,1.5,40.34,-6.45,0,0,0,0,0,,0,-2.51,0,27.49,3/7/22,0,0,19,IWUJZXXYA7SPVYL
Aroma Pizza,,#7F44F,a5a749e6-d2b5-4a40-a6ad-ead34d57f44f,Delivery - Partner Using Uber App,UberEats iOS,Completed,3/1/22,8:14 PM,34.72,2.69,37.41,0,0,0,0,0,0,0,0,37.41,-6.6,0,0,0,0,0,,0,-2.69,0,28.12,3/7/22,0,0,19,IWUJZXXYA7SPVYL
Aroma Pizza,,#23ECC,26a1825c-5b39-4087-86e0-649154023ecc,Delivery - Partner Using Uber App,UberEats iOS,Completed,3/2/22,11:00 AM,54.43,4.22,58.65,0,0,-8.99,-0.7,0,0,0,2.7,58.65,-9.15,0,0,0,0,0,,0,-3.52,0,38.99,3/7/22,0,0,19,IWUJZXXYA7SPVYL
Aroma Pizza,,#11078,7c01df0f-dc48-4c49-bf32-5fba94e11078,Delivery - Partner Using Uber App,UberEats iOS,Completed,3/2/22,1:50 PM,30.22,2.34,32.56,0,0,0,0,0,0,0,0,32.56,-5.74,0,0,0,0,0,,0,-2.34,0,24.48,3/7/22,0,0,19,IWUJZXXYA7SPVYL
Aroma Pizza,,#F8E26,dd8d8e31-5606-4c57-8177-4bcd63ff8e26,Pickup,UberEats iOS,Completed,3/2/22,4:15 PM,33.46,2.6,36.06,0,0,-8.99,-0.7,0,0,0,2.7,36.06,-1.63,0,0,0,0,0,,0,-1.9,0,25.54,3/7/22,0,0,6,IWUJZXXYA7SPVYL
Aroma Pizza,,#64762,d955582f-a028-4b47-beec-7cf2c0064762,Delivery - Partner Using Uber App,Postmates iOS,Completed,3/2/22,6:45 PM,39.96,3.1,43.06,0,0,0,0,0,0,0,0,43.06,-7.59,0,0,0,0,0,,0,-3.1,0,32.37,3/7/22,0,0,19,IWUJZXXYA7SPVYL
Aroma Pizza,,#721C1,4cc250b4-d675-468b-bdca-875f419721c1,Delivery - Partner Using Uber App,UberEats iOS,Completed,3/2/22,8:05 PM,25.71,1.99,27.7,0,0,0,0,0,0,0,0,27.7,-4.88,0,0,0,0,0,,0,-1.99,0,20.83,3/7/22,0,0,19,IWUJZXXYA7SPVYL
Aroma Pizza,,#6DFC3,708dcb45-f000-4d9c-80a3-070c7066dfc3,Pickup,UberEats Web,Completed,3/2/22,7:34 PM,20.98,1.63,22.61,0,0,0,0,0,0,0,0,22.61,-1.26,0,0,0,0,0,,0,-1.63,0,19.72,3/7/22,0,0,6,IWUJZXXYA7SPVYL
