"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-643418436751266","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/1/22","12:31 PM","17.48","0.00","0","1.35","0","18.83","-2.62","0","-0.87","0","0"
"O-247018469764058","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/3/22","8:21 PM","37.98","0.00","0","2.94","0","40.92","-5.70","0","-1.55","0","0"
"O-552718462920463","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/3/22","6:23 PM","41.91","2.99","0","3.48","6.77","55.15","-6.74","0","-1.98","0","0"
"O-424218660252823","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/23/22","7:32 PM","51.96","0.00","0","4.03","8.39","64.38","-7.79","0","-2.26","0","0"
"O-247018539765560","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/10/22","6:03 PM","38.31","0.00","0","2.97","4.00","45.28","-5.75","0","-1.68","0","0"
"O-769718497106881","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/7/22","5:15 PM","22.15","6.99","0","2.26","4.77","36.17","-4.37","0","-1.40","0","0"
"O-703118606968669","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/18/22","11:29 AM","24.47","0.00","0","1.90","1.00","27.37","-3.67","0","-1.13","0","0"
"O-270518726261374","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/30/22","4:15 PM","59.95","0.00","0","4.65","0","64.60","-8.99","0","-2.27","0","0"
"O-247018459762138","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/2/22","7:42 PM","46.33","4.99","0","3.36","7.40","62.08","-7.70","0","-1.95","0","-8.00"
"O-779718623974119","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/19/22","9:12 PM","44.94","6.99","0","4.02","9.68","65.63","-7.79","0","-2.30","0","0"
"O-637618432824854","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/1/22","6:00 PM","58.46","0.00","0","4.53","0","62.99","-8.77","0","-2.22","0","0"
"O-862718660186334","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-862718660186334","Late delivery (order is too late)","4/24/22","2:23 PM","-30.26","-4.99","0","-2.74","-7.60","-45.59","5.29","0","1.69","0","0"
"O-217918476395707","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/4/22","6:28 PM","55.44","1.99","0","4.45","5.00","66.88","-8.61","0","-2.34","0","0"
