Period,Location,Provider,Cash,Credit,Tip,Delivery_Fees,Tax,Taxes_Withheld,Payout,Commission,Merchant_Services,Adjustments,Subtotal,Notes
Aug 2022,Aroma,Beyond Menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Check against email.
No BM file found - could mean no orders this month."
Aug 2022,Aroma,Bitcoin Pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Bitcoin File Found. Possible No Orders.
Aug 2022,Aroma,Cater2Me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
Aug 2022,Aroma,Delivery.Com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No file found. Verify $0 sales for this partner this month.
Aug 2022,Aroma,Doordash,0.0,0.0,74.92,0.0,1638.1,0.0,-3138.69,3068.08,0.0,0.0,0.0,"Transaction types found: [] 
Net Adjustments: $0.0 Payout Records Total: $0.0 Marketing Fees: $145.53.
DD Drive: $359.64. 36 orders."
Aug 2022,Aroma,Eatstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No ES file found - could mean no orders this month.
Aug 2022,Aroma,Ezcater,0.0,2018.73,97.31,105.0,130.64,0.0,1528.67,437.22,52.84,0.0,0.0,
Aug 2022,Aroma,Fooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Fooda File Found. Possible No Orders.
Aug 2022,Aroma,Foodee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
Aug 2022,Aroma,Future Foods,0.0,15107.02,0.0,0.0,-362.42,0.0,10064.84,4552.76,0.0,0.0,0.0,"Transaction Types: {'Delivery', 'Adjustment'}
Adjustment Orders: {'#ED380', '#2D5D7', '#D8D3A', '#1ece1508', '#231aac1b', '#4A338', '#c21a70ca', '#060f618c', '#fad5dbf7', '#efd79dcd', '#136C0', '#351119878324695', '#990919880674708', '#97EBF', '#2d11c71f', '#77881350', '#38e40e7d', '#14E9C', '#DA096', '#b0ff4ff0', '#18D3B', '#5a4f2021', '#F8409', '#5caf3373', '#ebc65bf9', '#a06eb587', '#d9731a89', '#108FB', '#774819916854787', '#D255F', '#d9cef393', '#83102', '#772219729667639', '#c0076a1a', '#37300470', '#9e756301', '#c448866b', '#4f9a0c2d', '#92B2B', '#646c3dd9', '#b4c01ed4', '#9e12d28a', '#5e189f7e', '#9D6C1', '#6afe6a75', '#b9f6b3e3', '#4a4e1216', '#E2791', '#fb382563', '#2bc909f9', '#6ce0e1da', '#13d217d7', '#14fc755e', '#EABA4', '#673D6', '#29d3eecd', '#A73EF', '#1af92c8c', '#773d2d28', '#db4b9b07', '#2a1f92be', '#38692', '#626319889780312', '#07745855', '#301919742655466', '#72859', '#103919692789336', '#D216C', '#8bf7a5c3', '#933A9', '#895F8', '#28cc9a2c', '#ca9025d8', '#7F85E', '#C83DC', '#617919733971809', '#554519790603290', '#239f7487', '#D63E9', '#e1facc91', '#c9b3719c', '#E45BE', '#34062db0', '#2D7E1', '#c2a80800', '#bd0ecebc', '#CE7EF', '#0CCE9', '#f2e1def6', '#8b91d99d', '#73baca0d', '#0D485', '#5D868', '#10993328', '#43341', '#5f6edcc9', '#4F663', '#729581ab', '#8FA8C', '#f5c7be44', '#9E1A2', '#0870D', '#0f72f111', '#A615A', '#90b77696', '#321AA', '#615A6', '#ff7fcf36', '#fa97c174', '#115dd74e', '#cfc976b3', '#32F49', '#6b565d1a', '#1785964a', '#f337505f', '#c033f176', '#012519915488536', '#389b73dd', '#634619772365842', '#01466', '#59739c22', '#7ef96080', '#3252444c', '#38270', '#0a959def', '#617919783974160', '#ec959859', '#ff61689f', '#85141', '#78671', '#f3cba283', '#76ebabd7', '#1D869', '#00B94', '#1DEF2', '#225df877', '#1F086', '#56d5fcfc', '#31ad7923', '#0a9b3597', '#449056a7', '#c5dec910', '#10CF7', '#be1eec07', '#85e61d01', '#28de644b', '#2B3BA', '#6c121031', '#5357E', '#AD31F', '#d06711d8', '#4a243775', '#8feb9a95', '#DECEB', '#86eafc5f', '#f4d3d040', '#779E7', '#8301D', '#E128F', '#EC3C0', '#86bbc055', '#2bc34fb8', '#3c0a592b', '#811219940528380', '#69d953ac', '#bedaf995', '#e14a8953', '#471019706248844', '#acc907ab', '#6D602', '#7cc4d339', '#64b91711', '#6778d3b7', '#C200A', '#438619820221971', '#ad8bcfc7', '#8453f26d', '#4D0AC', '#6BB08', '#5c05c2b3', '#31686f05', '#C1A03', '#3775599e', '#fcb1224e', '#b5411e13', '#96F3A', '#eb88ee5c', '#2191C', '#C83EE', '#a6bb8727', '#832719717861894', '#7629F', '#00ca82bf', '#5d1378b4', '#DCBF6', '#b41fbc81', '#e231129e', '#2ce0d259', '#827F1', '#668FB', '#E7204', '#f5f063c6', '#1E4EE', '#C03BB', '#629cadda', '#d991692b', '#6F3B7', '#737d66a2', '#305719802937886', '#ac3c6f66', '#634619782368033', '#682760a2', '#cab5dece', '#eb8cb99c', '#3AB97', '#25b0f0de', '#272419669439263', '#268C7', '#05E15', '#8E3DA', '#45279280', '#3e47ac5a', '#6ee5a0c5', '#4ae5f6f3', '#d9418827', '#03acd054', '#c68db51f', '#bc72f8d3', '#e30bb827', '#799C8', '#2ECBE', '#263e2b5a', '#571319876662262', '#30813328', '#26D1B', '#23A66', '#852D8', '#ce6f0bc7', '#35ef2dc4', '#D6D9E', '#ee7b8231', '#3d698e8a', '#654DF', '#6d5b41f6', '#0005aaab', '#be635857', '#5e3e4ae3', '#86C66', '#A9615', '#78DD5', '#d1e8726b', '#988BD', '#20773675', '#5833B', '#71405d7d', '#9739b1f2', '#305719782973714', '#e1f85043', '#277d6613', '#790019786252479', '#77e2fb3b', '#53BD2', '#B9CCB', '#54f90075', '#f87e93b3', '#798819688880635', '#011DE', '#89DBC', '#EE82C', '#55B0E', '#d4b87fe0', '#225fd503', '#ABC86', '#85c3d8f6', '#bd647947', '#C6149', '#eee76142', '#2495D', '#913f1612', '#D7228', '#f413eb84', '#BD844', '#c9e49e6b', '#b066c705', '#58176', '#190faa1e', '#64E2F', '#4DA37', '#7D16A', '#f840f780', '#0d05b189', '#23bb3b04', '#847F7', '#8649C', '#916C9', '#517efc97', '#B9438', '#3FF65', '#4b1e15fd', '#a30bdb27', '#83e9eae4', '#608E0', '#338cc669', '#222EA', '#03825422', '#F7A5F', '#982619773542675', '#b52dc367', '#C40C8', '#69a903dd', '#7F2A2', '#1d6b4cac', '#38c4fa44', '#6056be42', '#1E450', '#C1E33', '#3f569b1b', '#931019660454960', '#69b771e6', '#df324a0b', '#fc9a4fa8', '#dd9db36c', '#170319711591803', '#8A231', '#751E7', '#ECD78', '#25a908ed', '#0f62cbd1', '#b2268ad6', '#436DE', '#c4c5963f', '#B9A09', '#DC8F6', '#F6128', '#9d6f4b1f', '#9da21757', '#D93CC', '#d3375fc9', '#3ead582d', '#B9120', '#B0C54', '#4D614', '#7F411', '#08344436', '#2C755', '#74ab2f11', '#CEECF', '#9EFBD', '#774819906856978', '#1bf4df4a', '#E902A', '#15a95526', '#c82f2837', '#AAE27', '#f6365309', '#82162d99', '#534E5', '#38FD5', '#4783d230', '#21635d8e', '#2C274', '#612c2f19', '#399e6a64', '#326E5', '#A9040', '#ce25bec6', '#B44E0', '#634619742365758', '#AB0AE', '#57879', '#00A32', '#317CA', '#d75fe1da', '#a2154676', '#92FE5', '#6df685c1', '#F7CBA', '#dec7799f', '#FD4F7', '#417b7be1', '#E2BF9', '#8eea81e1', '#df7137fb', '#9D116', '#7ae03486', '#75a5818d', '#0FC28', '#EE113', '#26117a1e', '#7D9F2', '#b6346a2f', '#f0d01c51', '#6F676', '#14097ae0', '#c6472eb9', '#993a463a', '#a3ae864c', '#ab6feced', '#45084', '#66e9977e', '#01982', '#9E917', '#85B7E', '#60C28', '#dd639963', '#29104038', '#E74CF', '#380DE', '#722978bf', '#F1560', '#B57B5', '#E2B82', '#4e60fc2e', '#d08b02d6', '#201719836776723', '#4F5F5', '#C39C9', '#976119727934790', '#788019930066949', '#357C7', '#4af482a9', '#9EF6D', '#4f627f4c', '#731c17ea', '#edc2b92c', '#39cec223', '#f6047b2e', '#27EA6', '#ba24e6dc', '#ab8feadc', '#DA62C', '#FF2D7', '#ef976479', '#4d051569', '#348419688476349', '#936619788447977', '#1387B', '#80718', '#e42aec51', '#18092b19', '#d74ae808', '#87eb3c02', '#CEB0B', '#1567f558', '#F9FB5', '#74e04445', '#E6C24', '#BAF2C', '#184019870189650', '#5342100d', '#23ff473a', '#45f4f32e', '#2E98F', '#cae05060', '#8EE8B', '#bc77ae6c', '#67baf5ea', '#0534C', '#197719811615109', '#811219860582427', '#0de23982', '#08A06', '#990919890675992', '#97080251', '#a7280dec', '#A838D', '#45A07', '#1041ab6a', '#865AB', '#44DDC', '#498AF', '#5bc582ac', '#dbe05b7d', '#011319744904668', '#2F347', '#2E0B2', '#483F3', '#95be5762', '#471019716257462', '#DEE8A', '#972619945773810', '#405c164c', '#6C718', '#8AADD', '#37251c0b', '#47f3eaa3', '#8e8225ef', '#bbc2dfec', '#3f8b46f6', '#12409917', '#06967', '#068f15b2', '#CF839', '#c3855f6b', '#9e70a186', '#788019840066784', '#151219719228185', '#4931A', '#49d80873', '#432c8b73', '#574afd1d', '#56F26', '#F0128', '#E1DE0', '#8e21743a', '#af8bbfcd', '#2a9aa39b', '#EF0C2', '#c2c7760b', '#3f8b72a0', '#83ed71fa', '#628519941856167', '#E939F', '#21549be1', '#0946b294', '#4a86fe4e', '#351119818321994', '#1B818', '#5D915', '#49ECA', '#58e6e890', '#1bd7c1a8', '#2C68A', '#90498', '#d233f9c2', '#9AA9D', '#63fbdf60', '#634419838737984', '#cad35ddf', '#50e84c2a', '#bf2d8196', '#F2E9A', '#049219672043269', '#2BBC8', '#20E63', '#81447ed8', '#301919782658062', '#cd7e83f4', '#8f0b6c38', '#150519832021870', '#7a978205', '#103919682788068', '#1AB75', '#e8e495e3', '#dfd32784', '#288878ec', '#E716D', '#90320da3', '#095a815a', '#D3DFD', '#0115e65b', '#c20cb643', '#eef0c239', '#eee7be8d', '#DD25F', '#D8312', '#B473B', '#adb178d8', '#6E4CC', '#71DBA', '#485219707588805', '#26A9E', '#33de2ab0', '#A2CBB', '#811219940581211', '#832719707864817', '#BCC9B', '#554519760604470', '#722acc43', '#AEB45', '#e5889a72', '#ef69f8d3', '#2f92b26e'}
adjustments || -46.23
reimbursement adjustments || 0.0
VR STORE | ORDERS | TOTAL
20491 Alton Pkwy, Suite B, Lake Forest, CA 92630 | 589 | 15107.02
"
