Period,Location,Provider,Cash,Credit,Tip,Delivery_Fees,Tax,Taxes_Withheld,Payout,Commission,Merchant_Services,Adjustments,Subtotal,Notes
Dec 2022,Aroma,Beyond Menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Check against email.
No BM file found - could mean no orders this month."
Dec 2022,Aroma,Bitcoin Pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Bitcoin File Found. Possible No Orders.
Dec 2022,Aroma,Cater2Me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
Dec 2022,Aroma,Delivery.Com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No file found. Verify $0 sales for this partner this month.
Dec 2022,Aroma,Doordash,0.0,0.0,96.16,0.0,1813.42,0.0,-5762.26,3321.15,0.0,0.0,0.0,"Transaction types found: [] 
Net Adjustments: $0.0 Payout Records Total: $0.0 Marketing Fees: $2537.27.
DD Drive: $509.49. 51 orders."
Dec 2022,Aroma,Eatstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No ES file found - could mean no orders this month.
Dec 2022,Aroma,Ezcater,0.0,7377.01,542.16,325.0,468.2,0.0,5650.95,1559.2,204.35,37.49,0.0,
Dec 2022,Aroma,Fooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Fooda File Found. Possible No Orders.
Dec 2022,Aroma,Foodee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
Dec 2022,Aroma,Future Foods,0.0,10002.71,2.79,0.0,0.0,0.0,6689.93,3457.46,0.0,0.0,0.0,"Transaction Types: {'Adjustment', 'Delivery'}
Adjustment Orders: {'#465820988065197', '#102921014297145', '#4DB24', '#22AB4', '#EA14F', '#e997c98d', '#f91e5141', '#e874d49c', '#CB304', '#C0ED9', '#4CBBD', '#bcb73bfd', '#489420904365114', '#FC71B', '#f4780edc', '#5f85bffb', '#dfb39571', '#56b87e9b', '#3d0ad88a', '#53E74', '#335ea659', '#903621081826374', '#97F1E', '#8c978714', '#020526eb', '#aad97430', '#d067798a', '#1A18C', '#82c41acd', '#35b01e45', '#f67fa6e9', '#21211f77', '#EBAE6', '#708e3adf', '#19fb240a', '#c34af6bf', '#f6a2bc32', '#9efdbb69', '#3541ac38', '#B670E', '#3FD85', '#8946E', '#e42105aa', '#6fa5d7bf', '#cd668214', '#63ACA', '#ec6dbbe2', '#03d8a3c2', '#56B97', '#28EF6', '#a4b8e73e', '#FD91B', '#06049624', '#235221060919547', '#69b5eee2', '#e712fb3b', '#b3fbb81f', '#74030332', '#a4538126', '#143a8b4d', '#1F732', '#94b8c97e', '#cf26a0d9', '#3E993', '#792921035442353', '#690720943613963', '#7b768891', '#321186ae', '#AD86F', '#5edc3775', '#b353f36c', '#19B1F', '#78c6c1be', '#63A9B', '#91B0C', '#15D37', '#a3d75ee3', '#a3e73bcd', '#153cb2e6', '#5436C8FB', '#edad1508', '#08E87', '#f6f4176b', '#228F2', '#712b38a9', '#87EA4', '#2F65E', '#851521032809197', '#53199', '#834bbfd5', '#151a5001', '#0e941df8', '#A8F5C', '#454f9891', '#670f0653', '#340721073461985', '#57B48', '#044321137819666', '#84123', '#595E6', '#8bec841e', '#98ddfea4', '#427A0', '#9da7538c', '#14409219', '#12047', '#b6b673b9', '#05709af1', '#f20c54e5', '#9332F', '#A4E8B', '#d1e0d684', '#C5F41', '#034421134610095', '#f1078bd1', '#134b2845', '#7F6B9', '#ca6fbb61', '#9f941ef1', '#96238', '#BED3B', '#343e7f59', '#7d38e3ed', '#92854a8a', '#67969553', '#7264B', '#947420965166577', '#742321078075646', '#4ce5d594', '#d6a5071b', '#3ddc0d6f', '#8D48B', '#8b5f58ed', '#44bcbda2', '#3EC37', '#c7e6d564', '#567d283d', '#a1390e85', '#de6103f5', '#00dfc6c7', '#0ce740be', '#9f5bded8', '#4e448eb1', '#da917a95', '#E55C5', '#fcabbbca', '#7DBD8', '#bbbac728', '#c004790b', '#580521053267031', '#ff8817e9', '#d91cce1d', '#1db41be1', '#DB554', '#07ad9312', '#BDE0B', '#697e95ba', '#a1eb7265', '#55bb110c', '#2B456', '#AE748', '#d63ebf24', '#2419a846', '#ca191edc', '#5f7177b8', '#FFFAD', '#a729740d', '#bb326d55', '#0e702702', '#f21530c1', '#dd79fa6b', '#a3b1d8ad', '#85f8790b', '#532e9b0b', '#9a5132c9', '#aef2d29e', '#742321068091558', '#fdbaf839', '#4B96A', '#a1f77f7d', '#44eeefc9', '#80b617ef', '#ade2bc77', '#50029', '#E995A', '#07BC4', '#7B910', '#8e5399b7', '#581321069880345', '#221ce7bc', '#e930b053', '#3ac9c9bd', '#ca89559c', '#f59ddb3d', '#A328E', '#efbb1198', '#63ba63cf', '#bedaa79a', '#A8B96', '#b1c8ab79', '#272020949956209', '#9c04f7cc', '#362de247', '#1A5F2', '#460121063058459', '#BAC1D', '#639d1840', '#235D4', '#a218ad39', '#937ffa62', '#4c76e213', '#EA559', '#758b4292', '#0af6e5d9', '#3cd98e4d', '#2BC36', '#ff010a00', '#4add0da6', '#99442365', '#c67bf086', '#7d4a738e', '#0BF65', '#6fb81ef2', '#CED4B', '#7a592464', '#e27b262b', '#272020989952482', '#213dcba3', '#e8032809', '#855ee918', '#9cc57284', '#214e00cc', '#592821080648957', '#29839ff0', '#7852a12c', '#00AC6', '#8B6AE', '#f0eca9c8', '#863C2', '#9838ef88', '#8ded80c5', '#dac2227e', '#292f72d7', '#C590A', '#94201', '#59FDA8CD', '#2C67C', '#8A80D', '#1a83dc35', '#8546823d', '#483221161959589', '#ae5efd3f', '#947420925190860', '#05f7db95', '#0d9033d4', '#c203d161', '#986A6', '#D78D5', '#41fa28fb', '#628B1', '#863821088649439', '#884541be', '#036621156152951', '#a9e4bdb6', '#8cbfbb74', '#33bd744c', '#340921032288626', '#665920906052364', '#9fad23fe', '#0b53f78e', '#8F19F', '#d29b3a70', '#80b63dee', '#b58c6cb9', '#510A8', '#399785a4', '#571fdad0', '#6ea134ef', '#09658', '#9e9c617e', '#fa695d3f', '#ef46cd43', '#d5c7c938', '#6AF5D', '#F7B42', '#00F65', '#E516B', '#EBDE1', '#fe317282', '#d693db55', '#10F71', '#2FD83886', '#947420955191985', '#60006ccc', '#5904B', '#168d1b42', '#6C8FC', '#02127', '#9d6427c7', '#FE9D5', '#19f61019', '#7b1a1430', '#6E614', '#DFB7F', '#44a1ccc7', '#770520909060418', '#C4F1E', '#178ce9a7', '#12c9268d', '#70414661', '#49C27', '#938021142851128', '#ada8401b', '#BD002', '#46C6A', '#8a4caff2', '#c89b53a2', '#0b319b01', '#6761fb04', '#d736de12', '#BE6AB', '#650420982770149', '#071221051258708', '#592821150648520', '#398A1', '#034421074611738', '#6E9A3', '#2D413', '#a770a313', '#e396b085', '#a90b37fe', '#8ff8f2de', '#792920995447145', '#81ae7529', '#A8CA8', '#f147f17f', '#8fc544d4', '#56f91b08', '#11528', '#bb0ccc6d', '#a034e97d', '#e49c9b2b', '#1ec24eee', '#7df69b3c', '#3e04c466', '#742321088071387', '#7be9158e', '#ADDAD', '#e8a48b15', '#E6CF3', '#41351e55', '#0f653b3a', '#265020958136699', '#272021049953097', '#60f7381e', '#28986'}
adjustments || -125.16
reimbursement adjustments || 0.0
VR STORE | ORDERS | TOTAL
20491 Alton Pkwy, Suite B, Lake Forest, CA 92630 | 359 | 9999.92
"
