Period,Location,Provider,Cash,Credit,Tip,Delivery_Fees,Tax,Taxes_Withheld,Payout,Commission,Merchant_Services,Adjustments,Subtotal,Notes
Jul 2022,Aroma,Beyond Menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Check against email.
No BM file found - could mean no orders this month."
Jul 2022,Aroma,Bitcoin Pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Bitcoin File Found. Possible No Orders.
Jul 2022,Aroma,Cater2Me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
Jul 2022,Aroma,Delivery.Com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No file found. Verify $0 sales for this partner this month.
Jul 2022,Aroma,Doordash,0.0,0.0,224.55,0.0,1832.46,0.0,-2935.72,3001.87,0.0,0.0,0.0,"Transaction types found: [] 
Net Adjustments: $0.0 Payout Records Total: $0.0 Marketing Fees: $158.4.
DD Drive: $79.92. 8 orders."
Jul 2022,Aroma,Eatstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No ES file found - could mean no orders this month.
Jul 2022,Aroma,Ezcater,0.0,3492.05,357.14,135.0,212.42,0.0,2688.68,717.13,86.24,0.0,0.0,
Jul 2022,Aroma,Fooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Fooda File Found. Possible No Orders.
Jul 2022,Aroma,Foodee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
Jul 2022,Aroma,Future Foods,0.0,16283.88,3.51,0.0,-411.1,0.0,10785.76,5508.68,0.0,0.0,0.0,"Transaction Types: {'Delivery', 'Miscellaneous'}
Adjustment Orders: {'', '#262019586430716', '#AE82C', '#1AAD7', '#2957dae2', '#3EEC7', '#0DC7E', '#5958c01f', '#132619387481919', '#30EFE', '#4D832', '#b0890cf1', '#04108351', '#1ddab827', '#C0A96', '#5039b49a', '#269819603770340', '#84BD9', '#8209F', '#4552adca', '#0458ce30', '#69a7a18a', '#3c62e7f9', '#fad5e474', '#B5AB9', '#f764fa0d', '#4df4dc4f', '#772c91d8', '#e6dd4b5b', '#2175b6ed', '#051b2919', '#e5512b17', '#d541e84c', '#e892114f', '#E0CE5', '#c0402130', '#aac58d35', '#96B14', '#152019389624023', '#99dacc31', '#2E9F2', '#9B19E', '#BFED9', '#348819441626349', '#66E38', '#71E5F', '#284fe671', '#39efded2', '#4c8ee74f', '#045dd270', '#04F36', '#1BCA0', '#3a596586', '#c4897218', '#02F30', '#544019477749946', '#26244', '#e7b26a0c', '#80768', '#920019443108064', '#f633e1b4', '#dc3392e3', '#429619461368583', '#07b8a40c', '#71031341', '#2B77E', '#ed2acd51', '#5947459a', '#ecaf64c7', '#774119461977402', '#2CF40', '#125719492196534', '#44788e6b', '#447619473640356', '#688B3', '#3635D', '#5888f4e4', '#8404E', '#da320397', '#b461f4d1', '#14481041', '#526919579322102', '#E44B2', '#ac8ffc03', '#0305d098', '#4a628ce3', '#51929a40', '#a0269b13', '#709E4', '#ec620be9', '#10752b98', '#9bf00097', '#CEDBE', '#087E4', '#dbda7c48', '#23036', '#49F82', '#54835229', '#6E96C', '#6C479', '#4BC80', '#DF5B3', '#13191198', '#4b903d27', '#6d0c668d', '#529619403199669', '#F5E62', '#DB455', '#8EEBD', '#B22D5', '#ec386553', '#629119531724985', '#58594', '#F5774', '#d4007639', '#B7001', '#aaf7dd22', '#5FB10', '#55bcb3ee', '#45378cfd', '#9b1ee5c6', '#78710f5e', '#91592a16', '#A7EE1', '#f36ebc57', '#415A4', '#02CEA', '#79660', '#102daca8', '#3CD02', '#72ca29aa', '#F23E4', '#10231f34', '#A9D2B', '#9900F', '#3EFD5', '#72E8D', '#E8EE3', '#f364b57b', '#af7e789d', '#7365a2d6', '#DF7D4', '#f88c6f33', '#a5368b4f', '#839819616656842', '#426170b7', '#24C2B', '#E1BBD', '#b89336a7', '#A7F39', '#0b9e47fe', '#DAE5D', '#03dce298', '#f557db79', '#D0AF1', '#ea9506dc', '#1445edc6', '#BDADD', '#a0962f74', '#228219387755674', '#4CE6E', '#de5979da', '#6d6a2ea9', '#36647', '#6d0a6106', '#1c83a1fd', '#CE2D9', '#64205', '#0660736f', '#41444124', '#17A61', '#290819351794162', '#91B57', '#98CDB', '#69945', '#1BBE0', '#374e6c88', '#178919372933990', '#10C79', '#471E8', '#37ad9954', '#793619472870123', '#3f69a115', '#9BCF0', '#2f1009c4', '#6b5683e8', '#BEF09', '#C6B03', '#9e5a7d07', '#2310a0e2', '#09d41d83', '#b7b72e96', '#d3a5a471', '#93aaf7dd', '#447619583648121', '#F0EE0', '#1A8C0', '#181b40bf', '#5a4523bd', '#801ed718', '#715419572827175', '#0876c582', '#543319434033628', '#82902aec', '#99c17d91', '#080fefdf', '#69B45', '#49a99abc', '#387dba50', '#330BB', '#97b84076', '#47b9cacc', '#b03fae58', '#b4c0cda3', '#06e503bc', '#9a8bb28b', '#f79000c2', '#fdd1b8b0', '#b7f941ab', '#aa9981fb', '#3070846e', '#72462c84', '#62ab69f4', '#3a57e55d', '#1e1f70ab', '#5765f8b2', '#faef0afc', '#7d779f61', '#adbb8c73', '#feb54eac', '#326419544738426', '#73A76', '#203980a4', '#A3CA6', '#4bb88183', '#ac91c505', '#38100', '#e901af80', '#087adf51', '#637E0', '#8516D', '#2FC7A', '#EE196', '#c30203f1', '#512219432133080', '#a824bbb1', '#e60d9362', '#70DDA', '#52141', '#1cc08788', '#2b28f341', '#95290230', '#3d6f3cfd', '#130219535923906', '#5030b34e', '#C3D21', '#9def6886', '#8e0a3b2a', '#11d2f69c', '#EC5F2', '#765019388325430', '#81A48', '#93464c11', '#60129f22', '#553f5ec4', '#deab4a6f', '#858d3520', '#39B8F', '#C33C4', '#34a561a7', '#81197a5c', '#917460da', '#922719373912707', '#52398e70', '#293C8', '#6d6bd7a8', '#888829fb', '#c7508d95', '#6A805', '#54fcda6f', '#c71a97ad', '#9E863', '#A3D6E', '#9A1D7', '#9f597d55', '#4C896', '#2ED13', '#0b77b1bd', '#194339bd', '#CF7DC', '#2cc5625a', '#3E033', '#86725c8b', '#A48D2', '#3014adb7', '#e4245e07', '#2d316ad4', '#e3201e7f', '#4F625', '#95f33949', '#659219410238134', '#906919625379893', '#2bcca546', '#64D6B', '#36044', '#e89304ec', '#ACFF0', '#860bd5e6', '#79a44e62', '#CD1FA', '#e71ac21f', '#8ff5402b', '#1F42A', '#9482e77e', '#F0449', '#E6709', '#1fac3795', '#4b2a0211', '#5032D', '#14421aee', '#14496', '#0838817a', '#0C52E', '#383bac77', '#038adeff', '#B43D4', '#9830ad70', '#90527ade', '#F0ABD', '#13378872', '#d8d65e48', '#c6bb96e2', '#A5CE7', '#1B376', '#754E6', '#c1556f70', '#e5f61d77', '#0c9217df', '#c68891f5', '#7c58a1db', '#20745', '#0F1CE', '#941ad07b', '#51c84882', '#05BE6', '#B67A2', '#787519435431657', '#197919413829572', '#202cd4be', '#81ae368c', '#a41a9cba', '#958519539931474', '#00dcebfc', '#36A4E', '#A184A', '#d588096c', '#d6eb21ce', '#3ca217ff', '#6f6b4178', '#c2128396', '#f1a62396', '#b3c4c864', '#158E1', '#5aa3129c', '#caf36c2f', '#A7033', '#6ea62e83', '#A8492', '#7592920d', '#DFF34', '#dfdac336', '#e3bc5524', '#20fe16c8', '#d2993dd3', '#654626af', '#5435994a', '#E1857', '#551e4942', '#43f15643', '#A9E8C', '#4727ecba', '#361B5', '#f67d615f', '#860351d7', '#87254839', '#e905dedb', '#FDEA5', '#73a4a973', '#349119416129112', '#CB732', '#d8633bde', '#11433', '#344A0', '#8FEB6', '#5a78e71f', '#c5698c44', '#840219425924366', '#935419576531833', '#0BABE', '#690019529909302', '#b87ef96b', '#6EFFA', '#95fb6a90', '#839DD', '#4cc8f0b2', '#C8105', '#CBBF1', '#f748cb12', '#FFF05', '#ba952c87', '#872ca69a', '#037acb00', '#165519435009582', '#47050b34', '#2D8DC', '#98ec6cba', '#AA924', '#BAEE6', '#3BE48', '#38752', '#935419576532563', '#86756', '#406ecb38', '#6d8bb6b0', '#1b7af754', '#FFDDB', '#841619453911437', '#ebb49fb8', '#C73F9', '#cd1a344f', '#07833e40', '#154a7190', '#9af74262', '#687419466685389', '#bc7aeac0', '#406a0566', '#91212', '#9338ebc3', '#A7166', '#2644ce96', '#98E01', '#690e572a', '#A05E5', '#5BC7F', '#03e455ba', '#188183ea', '#99573659', '#420719595567671', '#798819638886195', '#245acbff', '#86A38', '#e8fcbab0', '#363d22b5', '#f2d8c984', '#509b37e7', '#066019640172716', '#02e44110', '#b7d32a6f', '#87d6aacf', '#68ff5061', '#3cef52fc', '#f0bfa959', '#4EA5F', '#332919545295369', '#1c5cdcff', '#9639e5f7', '#BEAB9', '#690019469907466', '#725EF', '#b3d083d5', '#B7D94', '#4DEF9', '#71ca9d2b', '#0D0AA', '#C195B', '#6f98d73f', '#01752', '#6677F', '#9FA07', '#617ad9c7', '#00133', '#0CF7A', '#4258E', '#464119609029911', '#4d8ea67a', '#de823e1e', '#EDCF3', '#8f688fa7', '#C8CAB', '#cf9993ea', '#8d4d9729', '#41c57a86', '#2961C', '#4B1CE', '#6c7ef3e1', '#b6e17feb', '#114EF', '#79a1951d', '#f7c2ad83', '#c11c188a', '#993e6dbb', '#1506A', '#C456A', '#369a07cf', '#50e76ee3', '#B4BC2', '#14763', '#715419552826410', '#e4751d41', '#1359C', '#ECB4B', '#4b109eec', '#C011F', '#77A48', '#ddce4651', '#0d768880', '#79e807a9', '#CF6E1', '#C40C5', '#61916d59', '#F387A', '#86e36223', '#a9c4730c', '#61521', '#2dadc7d4', '#3b0ac7cd', '#42527', '#47640', '#1c921fe8', '#5E660', '#072419428824970', '#E5755', '#cc16af98', '#b2e0ab94', '#509119429442932', '#8EFFA', '#97512', '#133B3', '#3DF65', '#8698B', '#f3920ec9', '#2D50E', '#52A29', '#a9961a79', '#7CB5C', '#d2d5dd03', '#90EB9', '#b345e845', '#056219351465345', '#375CE', '#082419547347022', '#1D395', '#9fa3f577', '#7e306f95', '#e621eb7d', '#e9687752', '#8b26b0a5', '#f20a040c', '#6D1F0', '#ac5a2eae', '#EF515', '#433619635357401', '#443C4', '#77FF6', '#C2FCE', '#508d1c16', '#24975142', '#55a707fb', '#f6c931a2', '#ee37fa80', '#58d519cf', '#06BA9', '#103919612707986', '#603C8', '#7E0FC', '#FC532', '#3E48C', '#451D3', '#07a71d59', '#0616045c', '#57dfd14d', '#3A256', '#741D8', '#C94B7', '#211819643883882', '#4A1EA', '#7A3C6', '#B6DE6', '#0c2b1864', '#1f26b5e1', '#F0E41', '#0D8C9', '#8dce3e26', '#2d1b3b98', '#bd6080cb', '#51625ab3', '#0aca1c80', '#0CC47', '#8BE34', '#3add6e6c', '#51C31', '#3544B', '#85d9e622', '#a529fa83', '#ec64ee3e', '#CA3C5', '#62d6fe35', '#0BA97', '#596e853b', '#3912A', '#0d563ccf', '#96970', '#116d15bc', '#05ECD', '#706d0214', '#56877fa5', '#2162E', '#217f27a9', '#03D4E'}
adjustments || -93.98
reimbursement adjustments || 0.0
missed transaction types || {'Miscellaneous'}
VR STORE | ORDERS | TOTAL
20491 Alton Pkwy, Suite B, Lake Forest, CA 92630 | 619 | 16280.37
"
