Period,Location,Provider,Cash,Credit,Tip,Delivery_Fees,Tax,Taxes_Withheld,Payout,Commission,Merchant_Services,Adjustments,Subtotal,Notes
Jun 2022,Aroma,Beyond Menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Check against email.
No BM file found - could mean no orders this month."
Jun 2022,Aroma,Bitcoin Pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Bitcoin File Found. Possible No Orders.
Jun 2022,Aroma,Cater2Me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
Jun 2022,Aroma,Delivery.Com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No file found. Verify $0 sales for this partner this month.
Jun 2022,Aroma,Doordash,0.0,0.0,49.24,0.0,1485.99,0.0,-2873.59,2776.31,0.0,0.0,0.0,"Transaction types found: [] 
Net Adjustments: $0.0 Payout Records Total: $0.0 Marketing Fees: $146.52."
Jun 2022,Aroma,Eatstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No ES file found - could mean no orders this month.
Jun 2022,Aroma,Ezcater,0.0,3075.06,228.3,130.0,194.89,0.0,2354.3,642.48,78.28,0.0,0.0,
Jun 2022,Aroma,Fooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Fooda File Found. Possible No Orders.
Jun 2022,Aroma,Foodee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
Jun 2022,Aroma,Future Foods,0.0,22155.47,4.04,0.0,-716.06,0.0,14818.11,7225.84,0.0,0.0,0.0,"Transaction Types: {'Reimbursement', 'Adjustment', 'Delivery'}
Adjustment Orders: {'', '#8147bcff', '#645AF', '#A17A9', '#b38bdd52', '#4C897', '#80F5F', '#64810d7b', '#8342F', '#e4a72f60', '#9E3FF', '#c0e14636', '#31a27d0b', '#539F0', '#723B9', '#8936E', '#1721cea5', '#89268', '#9552ff06', '#D2F62', '#883bc45c', '#d84d072c', '#8ef89b97', '#95a2cf01', '#fa6d2bcc', '#AA545', '#baa05a7a', '#1CFF3', '#a06b9e86', '#EF7FB', '#F473D', '#5133F', '#D529B', '#7CA87', '#D26B3', '#1E7F3', '#2B6E3', '#1d81ecc3', '#53ADB', '#3d8c816b', '#5A281', '#CC278', '#cbc0dff2', '#FE584', '#71eb60f9', '#E8174', '#753DB', '#13EDA', '#84ae07ae', '#336119148558423', '#02C4D', '#D7FD3', '#de87e596', '#579be215', '#a772adef', '#B3599', '#f754ddae', '#8c4eac42', '#79748', '#d26b3817', '#c5fa2700', '#80C52', '#15599307', '#df66fe87', '#6be7c651', '#6a87899a', '#b1231378', '#c614228c', '#EAF75', '#8E271', '#1C93A', '#dee73f95', '#79bae7f4', '#FF719', '#205D0', '#3890b9ff', '#BF956', '#81912ee3', '#D8795', '#E8A6D', '#2F110', '#860019167546628', '#8AB7B', '#174227d6', '#17c82c92', '#bb25755a', '#99140', '#2cb456e0', '#841019226277404', '#484f2e71', '#942A3', '#3D096', '#dde95b9f', '#143aee19', '#51D9C', '#5F39D', '#540fe951', '#13f8c6f1', '#EED2F', '#412419065229277', '#47076c46', '#962CB', '#43102e5e', '#A1245', '#7F13D', '#E056D', '#463c559f', '#a1ceac13', '#dac80fb4', '#7472a9be', '#41c4bee4', '#82477', '#78356dc2', '#B621A', '#c22e41fa', '#feff3082', '#20f3ea48', '#a9b1b5da', '#71A74', '#A79EE', '#424a38de', '#127919310548286', '#2a65de2d', '#7ca215f2', '#DB55B', '#2e9fb9b1', '#05694d27', '#fda728f3', '#08D96', '#12067', '#91eae1e6', '#a4782a7d', '#DB058', '#029719081917149', '#5F6D4', '#BD0A0', '#58624c71', '#023AB', '#ff75f80b', '#5a40989e', '#8e5a812f', '#99e7c5b7', '#D9606', '#29D60', '#ad03a8d0', '#12F63', '#252919069942461', '#4D50A', '#F6401', '#f4614767', '#c6c82a76', '#8b44a237', '#976AC', '#e1032a21', '#00A60', '#BC5FB', '#C2695', '#2b9995e3', '#d6f52be3', '#663f097e', '#B6EE5', '#571e6475', '#afbeed7a', '#154819238125435', '#875619287398125', '#f2d08a05', '#AECD5', '#52ec0f9b', '#a2e24dcd', '#05df1eec', '#FC27C', '#C7C2B', '#A694C', '#074319250993190', '#86ef00ca', '#6faeb001', '#5b840bdb', '#8667722a', '#823d87ee', '#e3bab113', '#d2fa2204', '#91f40d01', '#92db62ed', '#4466f072', '#ff79d507', '#73F9A', '#dea551cf', '#6E27D', '#e721c0cb', '#6BD98', '#229E8', '#58CED', '#c5dc16c8', '#586619206374939', '#ed8a9fa5', '#5D123', '#f2f696d2', '#74730', '#48D3D', '#00D5E', '#62f0d7f0', '#3DACF', '#1e1e9728', '#2ac9d57f', '#59A97', '#FAE82', '#1BE88', '#CC5A0', '#D430E', '#0739A', '#DC68C', '#114197bb', '#07BD3', '#44c4c944', '#ec4232fd', '#5e2e51f7', '#502CB', '#6EC8A', '#C5EBF', '#53a111d0', '#130f71d4', '#068aa6bd', '#e89f2995', '#29D84', '#25B07', '#FD677', '#97aa36af', '#840219325923591', '#85EF1', '#62d79e97', '#38598', '#94a166eb', '#C1D12', '#e2a34d1f', '#6071B', '#DD838', '#ed1ca7d4', '#7ccf35ea', '#D5D1A', '#ee534d6d', '#d31499ca', '#7376B', '#18154', '#430fdd75', '#40899', '#E49F8', '#e95c2ffd', '#12046', '#0fa76855', '#3E7BA', '#6c7cbe92', '#604A5', '#8df06b1f', '#d3e1fddf', '#f573f31b', '#AC0C0', '#29cc7d55', '#E0A9E', '#77ABB', '#2D066', '#B90A2', '#EC9E2', '#0F0CD', '#3E2B9', '#F8FC1', '#1eed1a8f', '#a91d6b55', '#ECEC2', '#31b1df23', '#a7514ea0', '#8df40a0d', '#55735', '#ECEA5', '#6f083f6e', '#3E8F8', '#8229F', '#292615dc', '#da63fbd8', '#c4daa452', '#D9687', '#a6110872', '#71d0e50f', '#68864', '#86A1E', '#D4C58', '#9d3fb076', '#1B476', '#06DBE', '#0eaf3d0c', '#b078b123', '#6D9AC', '#2FEBB', '#b0a39b1a', '#53e3f0fe', '#ADFDE', '#9FAD1', '#35506d3a', '#240A2', '#574519161956115', '#0232F', '#6deead17', '#0D763', '#10282', '#D115C', '#F385A', '#CE1B3', '#459A8', '#B21EC', '#F528F', '#ADE09', '#9806bf85', '#573B2', '#1d90dc44', '#54053ef6', '#e0b84d0c', '#222FA', '#498319235386909', '#0442de8b', '#4B71C', '#c1aac769', '#028819066638111', '#29070', '#8f2f5f24', '#76F77', '#00a9093d', '#ABF27', '#9F3DA', '#d063474b', '#a8c9c546', '#6A22D', '#c0f4d0e9', '#34ff31ec', '#3C1EE', '#F7A9F', '#cecc74f5', '#462D2', '#ff391948', '#07823', '#c0a03ae7', '#ba49f3d2', '#E052A', '#fe3b8972', '#1182F', '#caf2b591', '#34B80', '#859f2844', '#82819', '#7258f557', '#AD02D', '#78B86', '#91309', '#A2775', '#22c0ade2', '#DFFB3', '#B5688', '#59211a73', '#455B8', '#b8c8ca39', '#6CA21', '#0dea4621', '#7416A', '#9c6d5407', '#604506e6', '#a0fb77e1', '#dee4bd8b', '#ec4f4208', '#3494E', '#790519104037580', '#5b91d8ab', '#843019183067232', '#b20912fc', '#e663b841', '#107481d4', '#fd6e38e5', '#F8DC2', '#09038c7e', '#ec67aee7', '#7909cfbc', '#6C6E0', '#fca22d90', '#17e5d4c7', '#FAB02', '#00F48', '#E6272', '#16B12', '#cc3d70ab', '#5c65edc5', '#63966', '#077712b9', '#e90239d1', '#019CD', '#CE2E8', '#5d74295b', '#ca035c14', '#3667a749', '#2d6d5d24', '#2a2c501f', '#b017096c', '#97138567', '#2A925', '#d13a0803', '#20820', '#7c9b2c26', '#f8839968', '#02F4E', '#3f2b2211', '#0AE53', '#855092e6', '#de63a72e', '#4817E', '#d861488f', '#2b1cf95e', '#EF472', '#236afe49', '#6d141669', '#4f5e8538', '#987539b7', '#4a03f364', '#68D6A', '#A98BC', '#C1695', '#17df1682', '#33865672', '#5665E', '#55C52', '#3F23A', '#B9558', '#24ED5', '#761b4e95', '#56066', '#c586846e', '#920f3e1f', '#245719208409389', '#f88e4413', '#c1f07167', '#416b871e', '#77AF2', '#a83d8325', '#94BD3', '#48479', '#d7be24e9', '#6112B', '#DEB7C', '#123419309720842', '#E4717', '#FB85A', '#1F4C2', '#763BF', '#6b9ad3d6', '#51e4e9be', '#98E3A', '#301019260849567', '#78107', '#1DBD4', '#795119104237022', '#43f30b48', '#a3fcc026', '#23E15', '#44617', '#b30899ca', '#B5034', '#0BC0D', '#6510c839', '#51A55', '#8191B', '#fa6efee2', '#2AB20', '#4a5d63bc', '#b5d3adaf', '#431519141757554', '#c6d40ffe', '#1589D', '#fba96d88', '#984266cd', '#08abe69a', '#D6003', '#76fe528b', '#6770e4dc', '#28d57084', '#dfa14fe9', '#4BB0A', '#52CF8', '#245C7', '#59F42', '#53048', '#EE636', '#81e10f99', '#eacdf946', '#EAD62', '#d0b66cef', '#de2f8c99', '#a8f34cef', '#85c73a27', '#d6d92aa5', '#87517', '#12c7ab6d', '#162fb4a9', '#b92833ec', '#8E6BF', '#EFE9A', '#6C722', '#1f5c0ecb', '#05ded798', '#E6FD4', '#175C9', '#d374ad2e', '#d4710a09', '#B38F6', '#D6F1F', '#ee98d7db', '#07863552', '#0BCFD', '#278d0487', '#e7c12cdb', '#92c42957', '#1ece3881', '#bcae46b7', '#198B3', '#1831dff1', '#4aaabd72', '#D0F51', '#C4BCE', '#67653', '#231919243430113', '#fcd30667', '#e32e4ba0', '#24571100', '#FC83D', '#B1177', '#bc759715', '#04A26', '#5fd30968', '#e7ab7bf1', '#D7837', '#EB6DB', '#bbf5145b', '#8C337', '#7B13E', '#10455', '#61dd0e62', '#9f893317', '#9728A', '#229BD', '#EF3C7', '#5B0FA', '#9A312', '#a6fb0843', '#3c8803f1', '#6d88455f', '#db5846cd', '#1c2e0c63', '#634a1695', '#7855c8f1', '#fd507a79', '#695be10a', '#c744a39e', '#7FB3D', '#D4A41', '#F221A', '#a0233b72', '#9BB9B', '#753f9d4e', '#afef7627', '#2395B', '#3bd94c88', '#a6f0c72c', '#9F043', '#6ec373d2', '#81737', '#DDAE1', '#3fa08cd6', '#8f5b12fe', '#31309', '#243CD', '#312C1', '#2527bc1e', '#2D4FA', '#538EA', '#9468089a', '#DED07', '#65C61', '#e62b4ac9', '#F956D', '#5BF58', '#9af3f87f', '#CBB61', '#86e3e807', '#F5CA4', '#21CEB', '#f05c8b04', '#55d5d48a', '#7a99d4b6', '#c6efbfb2', '#B5975', '#0B71F', '#2620B', '#4354e8f5', '#0b45e000', '#9dc7f9fe', '#508e83dd', '#b6700a27', '#47103', '#3aa2134e', '#72E6F', '#E841D', '#C40EC', '#5C58E', '#50981b2b', '#141619272479303', '#6A942', '#9d2e675f', '#d27b03af', '#082251ad', '#cef04736', '#04774', '#3eaca6cd', '#974d8ff0', '#B724C', '#3ab61944', '#52f5158c', '#A6EB7', '#52F39', '#1ae7a31d', '#23502d72', '#bf98aa4e', '#76f03790', '#1320A', '#0feeec74', '#F390B', '#177819264609031', '#232FA', '#6AA6C', '#8d4367c4', '#E4383', '#6C7E7', '#294023e2', '#040619343993983', '#129019188790854', '#EB6A3', '#A5EDC', '#16B1A', '#7c347b6a', '#f86beb18', '#4083a4d6', '#7B66F', '#970c09d9', '#8D49B', '#B2F46', '#e19b89ba', '#6C2EA', '#2FE03', '#15DCB', '#E5BAB', '#ec9b3053', '#2ea8d134', '#996E3', '#4C41C', '#8CC48', '#99D39', '#7BEBC', '#EBC02', '#BE0DD', '#E8BF3', '#8c64841d', '#f5abcb2c', '#56BAA', '#6B583', '#1EF37', '#56055', '#3F2D3', '#b3b20aac', '#317B5', '#3cf2482d', '#166819258273726', '#8967041c', '#bc33039e', '#B8822', '#fe0d8e05', '#1b479823', '#ec031557', '#91a13e62', '#FEF33', '#DCEBD', '#5e57199a', '#7E953', '#9D625', '#43F5D', '#6A14C', '#d6e826d8', '#72BAD', '#33B1A', '#101219171769279', '#d87afd5d', '#83BD9', '#9FE4C', '#CFF32', '#8a11748b', '#B6246', '#702E8', '#C7526', '#a96c374a', '#9cab49c6', '#3ef9564d', '#C9FD2', '#b2d8ec73', '#EC279', '#17fc6036', '#094f05d3', '#212819330647101', '#25918396', '#DF628', '#599419255230775', '#e79d8f8c', '#4DB43', '#D7298', '#404347a6', '#6db89ff9', '#AD348', '#aee0e7ac', '#6f4e6971', '#C3334', '#5E196', '#bc0335e3', '#317a55a0', '#AF373', '#d2907f27', '#3eb44687', '#C15C2', '#978F5', '#804219270296823', '#9ce1467d', '#8AFBC', '#00BB0', '#0B7EC', '#39EBD', '#1f9ded2a', '#81163004', '#3ddbeb08', '#fc8cfa58', '#0E61F', '#DA613', '#7ed7817b', '#214e8162', '#b6542fc9', '#DEB6F', '#AD61D', '#7278262f', '#2bcb3cee', '#0a57df3b', '#c51a0e40', '#59735', '#0d08d0a2', '#AFE78', '#7CEE4', '#fab07284', '#05ACB', '#65674243', '#70d3200e', '#5A011', '#46522', '#7553C', '#5CAA5', '#1d96a63f', '#459c6f3b', '#e2f63198', '#f4f3230e', '#6c09a1a3', '#cfe537bd', '#7a121d51', '#438EA', '#72b6a96a', '#708CD', '#D8DE7', '#64bcc6a4', '#D0894', '#83881fab', '#5FFE9', '#a665524e', '#0AC0C', '#42076796', '#0991102e', '#B4FCE', '#2B8E2', '#62ce227c', '#cbed62f2', '#9FB0F', '#19864', '#4ef57001', '#CC92C', '#F1C89', '#CEAFD', '#F5E3D', '#40c9d77e', '#afdacf80', '#4974e34c', '#81b07a01', '#DB0DB', '#491019158538353', '#f900a0b3', '#bd6c6c26', '#790819249924051', '#79E45', '#34a965a7', '#EC3E8', '#F75F1', '#d1c88f32', '#16E44', '#fddcfd3b', '#77EA2', '#7025002a', '#0f368a15', '#E1A5F', '#DCF89', '#D1597', '#FC43A', '#40a1f87e', '#D081D', '#39634237', '#5f9d66b4', '#CB7AE', '#5763A', '#428819282901557', '#37779663', '#39DB2', '#B31D9', '#BA1C4', '#358c2830', '#b93ad490', '#e02160eb', '#D204C', '#e7b48efc', '#661fd932', '#B2A66', '#5330cff9', '#f7e710ed', '#32812adb', '#299819153562878', '#3fa27389', '#33a571ca', '#A6925', '#7D172', '#997919136216758', '#726e2544', '#961FC', '#ebd06833', '#65f21e5d', '#43B30'}
adjustments || -153.74
reimbursement adjustments || 35.67
VR STORE | ORDERS | TOTAL
20491 Alton Pkwy, Suite B, Lake Forest, CA 92630 | 899 | 22151.43
"
